bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,1.181067,,,,,,,,,,,,,,,,,527c7f20-c6f1-4c8e-9e93-51d9337df577,44,,"[43.2, 51.8]",3788773,0,,,,,1.0604538,,Right Foot,,,"[54.9, 72.7]",,Ground Pass,,23.952036,,,Jules Koundé,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,France,771,['e9949c8e-c741-4fd5-9b98-4abf0c458f21'],40,,,,,,,,,,,,,,,,,France,00:00:40.866,Pass,,43.2,51.8,54.9,72.7,,,
,,,,,,,,,,,,,,,0.66556,,,,,,,,,,,,,,,,,dd69a5f0-3e20-44b4-a645-fd665303c134,47,,"[54.9, 72.7]",3788773,0,,,,,-0.4636476,,Right Foot,,,"[63.1, 68.6]",,Ground Pass,,9.167879,,,Corentin Tolisso,,,,,,1,From Kick Off,Jules Koundé,4445.0,Right Back,2,France,771,['dfa81b47-b5e4-4355-83be-f2d7b0b00984'],42,,,,,,,,,,,,,,,,,France,00:00:42.763,Pass,,54.9,72.7,63.1,68.6,,,
,,,,,,,,,,,,,,,1.366296,,,,,,,,,,,,,,,,,c3e74429-b412-4bff-9d50-0500d9181e73,49,,"[63.1, 68.6]",3788773,0,,,,,-3.0178754,,Right Foot,,,"[43.8, 66.2]",,Ground Pass,,19.44865,,,Raphaël Varane,,,,,,1,From Kick Off,Corentin Tolisso,5480.0,Right Wing,2,France,771,['739c2f6a-3feb-4502-a76e-44b9048c2db2'],43,,,,,,,,,,,,,,,,,France,00:00:43.428,Pass,,63.1,68.6,43.8,66.2,,,
,,,,,,,,,,,,,,,1.418777,,,,,,,,,,,,,,,,,9e775cbc-3fbf-4882-a4e8-5b806566cc8b,51,,"[43.8, 66.2]",3788773,0,,,,,-1.0738277,,Right Foot,,,"[50.2, 54.4]",,Ground Pass,,13.42386,,,Paul Pogba,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,France,771,['4649fb0d-a668-4c8a-b1f7-fbfea0ae9aca'],44,,,,,,,,,,,,,,,,,France,00:00:44.795,Pass,,43.8,66.2,50.2,54.4,,,
,,,,,,,,,,,,,,,4.709986,,,,,,,,,,,,,,,,,d33efdd1-7579-4cce-b5af-6b457d491f5b,54,,"[54.0, 69.0]",3788773,0,,,,,0.10308161,,Right Foot,,,"[114.9, 75.3]",,High Pass,,61.224995,,,Jules Koundé,,,,,,1,From Kick Off,Paul Pogba,20004.0,Right Defensive Midfield,2,France,771,['e90327c6-5dab-4118-a2bd-6ae551fe62d5'],48,,,,,,,,,,,,,,,,,France,00:00:48.425,Pass,,54.0,69.0,114.9,75.3,,,
,,,,,,,,,,,,,,,2.170575,,,,,,,,,,,,,,,,,bfb68a29-d986-47be-8d90-4914a102fefd,57,,"[116.4, 75.3]",3788773,0,,,,,-1.769454,,Right Foot,True,,"[107.2, 29.6]",,High Pass,,46.616844,,Incomplete,Karim Benzema,,True,,,,1,From Kick Off,Jules Koundé,4445.0,Right Back,2,France,771,"['584669e7-9f16-4bfe-b9da-9d62818494af', 'f55e335c-46ea-4822-85ad-1cb9a0783f1c']",54,,,,,,,,,,,,,,,,,France,00:00:54.198,Pass,,116.4,75.3,107.2,29.6,,,
,,,,,,,,,,,,,,,1.399411,,,,,,,,,,,,,,,,,ece0f7f0-7218-4c38-8043-4da9c67d8030,60,,"[30.9, 49.6]",3788773,0,,,,,-2.0042906,,Head,,,"[22.8, 32.1]",,High Pass,,19.283672,,,Danilo Luís Hélio Pereira,,,,,Recovery,1,Regular Play,João Filipe Iria Santos Moutinho,3168.0,Right Center Midfield,3,Portugal,780,['676ba02a-e289-47d9-845e-4a0b3e8a1e90'],58,,,,,,,,,,,,,,,,,Portugal,00:00:58.132,Pass,,30.9,49.6,22.8,32.1,,,
,,,,,,,,,,,,,,,1.807892,,,,,,,,,,,,,,,,,998dc8de-7d1b-44e3-bd65-75c7efcd14ea,63,,"[22.8, 32.1]",3788773,1,,,,,-1.743657,,Right Foot,,,"[19.5, 13.2]",,Ground Pass,,19.185932,,,Raphaël Adelino José Guerreiro,,,,,,1,Regular Play,Danilo Luís Hélio Pereira,13621.0,Center Defensive Midfield,3,Portugal,780,['4f221021-a12a-49ee-967c-c91bc25cc56a'],0,,,,,,,,,,,,,,,,,Portugal,00:01:00.307,Pass,,22.8,32.1,19.5,13.2,,,
,,,,,,,,,,,,,,,1.415461,,,,,,,,,,,,,,,,,842a02a8-74e9-404f-a9aa-b88f0b402df4,66,,"[19.5, 13.2]",3788773,1,,,,,1.905258,,Left Foot,,,"[14.6, 27.3]",,Ground Pass,,14.927156,,,Rúben Santos Gato Alves Dias,,,,,,1,Regular Play,Raphaël Adelino José Guerreiro,5209.0,Left Back,3,Portugal,780,['9b26bf54-2672-464d-b382-bc63415c280a'],3,,,,,,,,,,,,,,,,,Portugal,00:01:03.307,Pass,,19.5,13.2,14.6,27.3,,,
,,,,,,,,,,,,,,,1.541083,,,,,,,,,,,,,,,,,5372f618-3b40-4683-b4f4-9772a66998e0,69,,"[14.6, 27.3]",3788773,1,,,,,-1.4482607,,Right Foot,,,"[17.1, 7.0]",,Ground Pass,,20.453362,,,Raphaël Adelino José Guerreiro,,,,,,1,Regular Play,Rúben Santos Gato Alves Dias,5206.0,Left Center Back,3,Portugal,780,['b3dbb97d-f1a8-4ad3-8eef-194c573a97ff'],6,,,,,,,,,,,,,,,,,Portugal,00:01:06.177,Pass,,14.6,27.3,17.1,7.0,,,
