bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,1.792843,,,,,,,,,,,,,,e02da483-e8e6-4455-86c9-116c70ca1f40,49,,"[41.8, 8.5]",3788775,1,,,,,2.9531765,,Right Foot,,,,"[18.2, 13.0]",,Ground Pass,,24.025194,,,,,Milan Škriniar,,,,,,1,From Goal Kick,Marek Hamšík,7025.0,Center Attacking Midfield,5,Slovakia,908,['a9475a87-16d3-441d-8513-12d417d6b7af'],1,,,,,,,,,,,,,,,,Slovakia,00:01:01.942,Pass,,41.8,8.5,18.2,13.0,,,
,,,,,,,,,,,,,,,1.972487,,,,,,,,,,,,,,824c7faf-0db6-474e-8a2c-f2e593fc08e6,52,,"[18.5, 13.0]",3788775,1,,,,,2.0090256,,Right Foot,,,,"[7.3, 36.9]",,Ground Pass,,26.394129,,,,,Martin Dúbravka,,,,,,1,From Goal Kick,Milan Škriniar,6990.0,Left Center Back,5,Slovakia,908,['34f11964-1e22-420f-a7df-033f242647c1'],4,,,,,,,,,,,,,,,,Slovakia,00:01:04.205,Pass,,18.5,13.0,7.3,36.9,,,
,,,,,,,,,,,,,,,2.94454,,,,,,,,,,,,,,7e5391f4-cf51-4af3-97f4-8671543ad7b1,56,,"[7.1, 37.2]",3788775,1,,,,,0.6798802,,Right Foot,,,,"[52.0, 73.5]",,High Pass,,57.7382,,,Unknown,,Lukáš Haraslín,,,,,,1,From Goal Kick,Martin Dúbravka,3711.0,Goalkeeper,5,Slovakia,908,"['c46a83ec-3556-4d0a-926f-e34c87245ab0', 'f038dd7d-5b31-4e4b-9dd4-38c12fe7cb66']",7,,,,,,,,,,,,,,,,Slovakia,00:01:07.055,Pass,True,7.1,37.2,52.0,73.5,,,
,,,,,,,,,,,,,,,3.288118,,,,,,,,,,,,,,f8bd3b8d-aebb-4358-8946-36e5e07607f3,60,,"[54.0, 72.9]",3788775,1,,True,,,-0.058654577,,Right Foot,,,,"[111.9, 69.5]",,High Pass,,57.99974,,,Incomplete,,Ondrej Duda,,,,,Free Kick,1,From Free Kick,Peter Pekarík,9722.0,Right Back,6,Slovakia,908,"['24f916f1-d343-4426-9c49-70f6f269889b', '8c93e7ef-2cb2-4a6d-8987-50e1517d8691']",29,,,,,,,,,,,,,,,,Slovakia,00:01:29.428,Pass,,54.0,72.9,111.9,69.5,,,
,,,,,,,,,,,,,,,1.777881,,,,,,,,,,,,,,24f916f1-d343-4426-9c49-70f6f269889b,62,,"[8.2, 10.6]",3788775,1,,,,,1.7033478,,Right Foot,,,,"[5.4, 31.6]",,Ground Pass,,21.185844,,,,,Unai Simón Mendibil,,,,,Recovery,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,7,Spain,772,"['87d802f1-05cd-47f9-ba8f-35481e9a4295', 'f8bd3b8d-aebb-4358-8946-36e5e07607f3']",32,,,,,,,,,,,,,,,,Spain,00:01:32.716,Pass,,8.2,10.6,5.4,31.6,,,
,,,,,,,,,,,,,,,2.619007,,,,,,,,,,,,,,dffb4e59-a171-4a13-9122-bfe064a14753,65,,"[6.0, 35.2]",3788775,1,,,,,1.3515788,,Right Foot,,,,"[10.3, 54.5]",,Ground Pass,,19.773214,,,,,Eric García Martret,,,,,,1,Regular Play,Unai Simón Mendibil,11748.0,Goalkeeper,7,Spain,772,['0e394737-423a-48c2-99d6-75265b78ae5b'],36,,,,,,,,,,,,,,,,Spain,00:01:36.003,Pass,,6.0,35.2,10.3,54.5,,,
,,,,,,,,,,,,,,,1.303807,,,,,,,,,,,,,,ecac83c5-0c2b-48b9-8c2e-84152d429721,67,,"[11.2, 61.3]",3788775,1,,,,,1.1837183,,Right Foot,,,,"[17.6, 77.0]",,Ground Pass,,16.954351,,,,,César Azpilicueta Tanco,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,7,Spain,772,['6623ffc1-eb3a-4995-8cf5-0d3566aff2ed'],38,,,,,,,,,,,,,,,,Spain,00:01:38.622,Pass,,11.2,61.3,17.6,77.0,,,
,,,,,,,,,,,,,,,0.920243,,,,,,,,,,,,,,f522e225-84a2-4613-85fa-2d666d939f9a,71,,"[8.5, 77.8]",3788775,1,,,,,-1.1558208,,Left Foot,,,,"[14.8, 63.5]",,Low Pass,,15.62626,,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,César Azpilicueta Tanco,3957.0,Right Back,7,Spain,772,"['1047a7f9-d23d-4a86-aafa-10ce2b235fb5', '35bf77f9-cb68-474f-8517-617fa8c74442']",41,,,,,,,,,,,,,,,,Spain,00:01:41.613,Pass,True,8.5,77.8,14.8,63.5,,,
,,,,,,,,,,,,,,,0.719716,,,,,,,,,,,,,,368806de-8d26-4157-b7c3-e672fd10915d,75,,"[16.1, 68.2]",3788775,1,,,,,1.5538487,,Right Foot,,,,"[16.3, 80.0]",,High Pass,,11.801695,,,Out,,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,7,Spain,772,['9bdba9e6-2ed0-49e2-a5e3-52609edf6746'],42,,,,,,,,,,,,,,,,Spain,00:01:42.633,Pass,True,16.1,68.2,16.3,80.0,,,
,,,,,,,,,,,,,,,0.57544,,,,,,,,,,,,,,e9773360-d41e-4d0e-a92d-423cbe4fa933,76,,"[103.8, 0.1]",3788775,1,,True,,,2.1910458,,,,,,"[99.3, 6.4]",,Low Pass,,7.7420926,,,,,Tomáš Hubočan,,,,,Throw-in,1,From Throw In,Róbert Mak,16307.0,Left Wing,8,Slovakia,908,['2bb5cb5e-e27d-479a-b668-cfeafd583097'],48,,,,,,,,,,,,,,,,Slovakia,00:01:48.921,Pass,,103.8,0.1,99.3,6.4,,,
