ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,2.254509,,,,,,,,,,,,,,,,,acea5dc2-51ec-450f-92be-5a303ee26115,3436,,,"[3.8, 44.5]",3795221,91,,,,,0.55638427,,Right Foot,,,,"[48.5, 72.3]",High Pass,,52.639626,,,Incomplete,,Daniel Wass,,,,,,3,From Throw In,Kasper Schmeichel,3815.0,,Goalkeeper,161,Denmark,776,"['43732a5e-dcb8-4801-9bfa-792526062ec6', 'bab7aa76-2712-4bd3-b9ef-43e43934d9c7']",12,,,,,,,,,,,,,,,,Denmark,00:01:12.637,Pass,,3.8,44.5,48.5,72.3,,,
,,,,,,,,,,,,,1.328691,,,,,,,,,,,,,,,,,643b1447-fb92-4960-864b-a6935b598e5f,3440,,,"[49.0, 80.0]",3795221,91,,,,,-1.1678847,,,,,,"[56.8, 61.7]",Low Pass,,19.892963,,,,,Mathias Jensen,,,,,Throw-in,3,From Throw In,Daniel Wass,6797.0,,Right Wing Back,162,Denmark,776,['747bb017-cf3e-4045-994c-a366f607d7a1'],29,,,,,,,,,,,,,,,,Denmark,00:01:29.088,Pass,,49.0,80.0,56.8,61.7,,,
,,,,,,,,,,,,,0.496008,,,,,,,,,,,,,,,,,3e75c57e-0ea8-4177-94be-3f1b82346f70,3443,,,"[57.9, 63.4]",3795221,91,,,,,-0.08047101,,Right Foot,,,,"[64.1, 62.9]",Low Pass,,6.2201285,,,,,Christian Nørgaard,,,,,,3,From Throw In,Mathias Jensen,18722.0,,Right Center Midfield,162,Denmark,776,['52935ca6-532f-4e88-af96-a1840a91c898'],30,,,,,,,,,,,,,,,,Denmark,00:01:30.456,Pass,,57.9,63.4,64.1,62.9,,,
,,,,,,,,,,,,,0.257995,,,,,,,,,,,,,,,,,f3be4ee7-e4e1-4133-9b05-b3d668702901,3446,,,"[64.1, 62.9]",3795221,91,,,,,0.08673834,,Right Foot,,,,"[66.4, 63.1]",Ground Pass,,2.3086793,,,Incomplete,,Yussuf Yurary Poulsen,,,,,,3,From Throw In,Christian Nørgaard,7097.0,,Center Defensive Midfield,162,Denmark,776,"['5924d66c-0022-443c-b414-e23729ede7bd', 'b6be0900-1132-44fd-92d5-5991a951d6d3']",30,,,,,,,,,,,,,,,,Denmark,00:01:30.992,Pass,,64.1,62.9,66.4,63.1,,,
,,,,,,,,,,,,,0.808712,,,,,,,,,,,,,,,,,1d9cef23-84be-412d-8f88-635593514cd6,3451,,,"[48.4, 17.5]",3795221,91,,,,,-1.2757456,,Left Foot,,,,"[51.5, 7.3]",Ground Pass,,10.660675,,,,,Jack Grealish,,,,,,3,Regular Play,Kalvin Phillips,4706.0,,Right Defensive Midfield,163,England,768,['58b178ee-a795-48c3-952d-1424f3378ff1'],33,,,,,,,,,,,,,,,,England,00:01:33.196,Pass,,48.4,17.5,51.5,7.3,,,
,,,,,,,,,,,,,0.741463,,,,,,,,,,,,,,,,,b9b8ca41-437e-4fc6-96fc-494289899d33,3455,,,"[51.9, 8.3]",3795221,91,,,,,2.0600793,,Right Foot,,,,"[47.8, 16.0]",Ground Pass,,8.723532,,,,,Kalvin Phillips,,,,,,3,Regular Play,Jack Grealish,9638.0,,Left Wing,163,England,768,['4c2010a8-8fa4-4321-9c6c-5231782abe84'],34,,,,,,,,,,,,,,,,England,00:01:34.985,Pass,,51.9,8.3,47.8,16.0,,,
,,,,,,,,,,,,,2.41931,,,,,,,,,,,,,,,,,7bf657fb-b63b-4e64-b1ba-027a4bc0cc14,3459,,,"[50.6, 15.6]",3795221,91,,,,,1.4765879,,Left Foot,,,,"[53.0, 41.0]",Ground Pass,,25.513134,,,,,Declan Rice,,,,,,3,Regular Play,Kalvin Phillips,4706.0,,Right Defensive Midfield,163,England,768,['da9d2ed9-ccd7-4f67-ad12-daeb70aa3920'],36,,,,,,,,,,,,,,,,England,00:01:36.442,Pass,,50.6,15.6,53.0,41.0,,,
,,,,,,,,,,,,,1.419203,,,,,,,,,,,,,,,,,6842f52c-6a73-4a8e-a42a-9601e73ba2ea,3462,,,"[55.6, 49.8]",3795221,91,,,,,1.9394922,,Right Foot,,,,"[48.8, 67.4]",Ground Pass,,18.867962,,,,,Kyle Walker,,,,,,3,Regular Play,Declan Rice,3943.0,,Left Defensive Midfield,163,England,768,['45d54ace-996d-4c01-83c7-c4edef5140b0'],40,,,,,,,,,,,,,,,,England,00:01:40.607,Pass,,55.6,49.8,48.8,67.4,,,
,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,ff631502-b250-4229-bcfb-7fd316cf2a9c,3465,,,"[48.8, 67.4]",3795221,91,,,,,-2.1767123,,Right Foot,,,,"[39.1, 53.4]",Ground Pass,,17.032028,,,,,John Stones,,,,,,3,Regular Play,Kyle Walker,3205.0,,Right Back,163,England,768,['fb418d3d-eb2c-42fe-98a3-4ae577362fd3'],43,,,,,,,,,,,,,,,,England,00:01:43.648,Pass,,48.8,67.4,39.1,53.4,,,
,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,290c125c-2645-496b-a1ea-79f27b459eef,3468,,,"[39.1, 53.4]",3795221,91,,,,,-1.8384984,,Right Foot,,,,"[34.3, 35.9]",Ground Pass,,18.146349,,,,,Harry Maguire,,,,,,3,Regular Play,John Stones,3244.0,,Right Center Back,163,England,768,['4bea7a5f-90ad-4690-8816-bd4e8623ac3f'],45,,,,,,,,,,,,,,,,England,00:01:45.801,Pass,,39.1,53.4,34.3,35.9,,,
