ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.422097,,,,,,,,,,,,f4bc5487-2762-4a8c-a88a-444da89ecd84,50,,,"[51.2, 32.3]",3788744,0,,,,-1.6722432,,Right Foot,,,"[49.5, 15.6]",,Ground Pass,,16.786304,,,Granit Xhaka,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Left Center Back,4,Switzerland,773,['0663ff3c-1b9d-4fe6-8ea3-fba1f653a230'],43,,,,,,,,,,,,,,Switzerland,00:00:43.991,Pass,,51.2,32.3,49.5,15.6,,,
,,,,,,,,,,,,,,,,1.157849,,,,,,,,,,,,b14b3e43-ba75-446c-8e7f-757b3f7cb6ff,53,,,"[49.5, 15.6]",3788744,0,,,,-0.6111824,,Left Foot,,,"[64.2, 5.3]",,Ground Pass,,17.949373,,,Ricardo Iván Rodríguez Araya,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,4,Switzerland,773,['b5656f75-349e-4123-ad22-ab6b1c05a210'],46,,,,,,,,,,,,,,Switzerland,00:00:46.244,Pass,,49.5,15.6,64.2,5.3,,,
,,,,,,,,,,,,,,,,1.020362,,,,,,,,,,,,a558dcaa-d290-4f6b-b2d6-aa72627f224d,56,,,"[68.3, 5.5]",3788744,0,,,,2.6436074,,Left Foot,,,"[58.0, 11.1]",,Ground Pass,,11.723907,,,Granit Xhaka,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Wing Back,4,Switzerland,773,['923a7436-bc4b-4c1f-9de6-f3b98de14eda'],49,,,,,,,,,,,,,,Switzerland,00:00:49.138,Pass,,68.3,5.5,58.0,11.1,,,
,,,,,,,,,,,,,,,,0.915391,,,,,,,,,,,,f0b3e1d3-c65b-421b-a104-b01ffc0ca114,60,,,"[58.2, 11.7]",3788744,0,,,,2.536048,,Left Foot,,,"[45.2, 20.7]",,Ground Pass,,15.811388,,,Manuel Obafemi Akanji,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,4,Switzerland,773,"['4d7f3cb0-6372-4275-8848-045c1e96e53c', 'e23db929-4392-42d9-8ead-7601f4bf1162']",52,,,,,,,,,,,,,,Switzerland,00:00:52.139,Pass,True,58.2,11.7,45.2,20.7,,,
,,,,,,,,,,,,,,,,1.366566,,,,,,,,,,,,97c3381e-9b87-4afd-b657-d58d85042670,63,,,"[42.4, 21.8]",3788744,0,,,,1.7931867,,Right Foot,,,"[37.9, 41.7]",,Ground Pass,,20.40245,,,Fabian Lukas Schär,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Left Center Back,4,Switzerland,773,['b3a4adcf-c4aa-436c-901e-6b928f725ee7'],53,,,,,,,,,,,,,,Switzerland,00:00:53.885,Pass,,42.4,21.8,37.9,41.7,,,
,,,,,,,,,,,,,,,,1.423843,,,,,,,,,,,,eb523a6b-0b9f-4dca-a67b-bc91e0532816,67,,,"[47.7, 55.1]",3788744,0,,,,-0.52859676,,Right Foot,,,"[71.5, 41.2]",,Ground Pass,,27.561749,,,Xherdan Shaqiri,,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Center Back,4,Switzerland,773,"['82d06297-74eb-4883-a1da-37eda54ce421', 'e19289fa-db45-4eb3-a1ba-655283cf7924']",59,,,,,,,,,,,,,,Switzerland,00:00:59.378,Pass,True,47.7,55.1,71.5,41.2,,,
,,,,,,,,,,,,,,,,2.520791,,,,,,,,,,,,28e65988-2eaf-40ef-82ca-600aff6f4196,69,,,"[71.5, 41.2]",3788744,1,,,,0.23532379,,Left Foot,,,"[88.6, 45.3]",,Low Pass,,17.584652,Incomplete,,Haris Seferović,,,,,,,1,Regular Play,Xherdan Shaqiri,3533.0,Center Attacking Midfield,4,Switzerland,773,"['c4b21711-1e62-4ad4-b97a-008bc6cabc55', 'e2be76e6-3380-4223-b21d-47b40d55f74c']",0,,,,,,,,,,,,,,Switzerland,00:01:00.802,Pass,,71.5,41.2,88.6,45.3,,,
,,,,,,,,,,,,,,,,1.758144,,,,,,,,,,,,e55854e6-0e55-4376-962e-b7e9d152b5fa,74,,,"[41.5, 16.2]",3788744,1,,,,1.9157157,,Left Foot,,,"[35.5, 32.9]",,Ground Pass,,17.74514,,,Fabian Lukas Schär,,,,,,,1,Regular Play,Manuel Obafemi Akanji,5549.0,Left Center Back,4,Switzerland,773,['3ebe7936-ad7d-4726-9cbe-fe2275eb717c'],13,,,,,,,,,,,,,,Switzerland,00:01:13.065,Pass,,41.5,16.2,35.5,32.9,,,
,,,,,,,,,,,,,,,,1.531875,,,,,,,,,,,,cdb548fb-39a0-4f72-9878-a1776f221670,77,,,"[37.7, 36.7]",3788744,1,,,,1.4209219,,Left Foot,,,"[42.2, 66.5]",,Ground Pass,,30.13785,,,Nico Elvedi,,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Center Back,4,Switzerland,773,['f3002907-b05c-4034-a12c-bf693bef798e'],16,,,,,,,,,,,,,,Switzerland,00:01:16.219,Pass,,37.7,36.7,42.2,66.5,,,
,,,,,,,,,,,,,,,,1.090124,,,,,,,,,,,,2500a816-1cad-4b2f-9da6-a3d99737470c,80,,,"[42.2, 66.5]",3788744,1,,,,-2.2889385,,Right Foot,,,"[33.2, 56.2]",,Ground Pass,,13.678084,,,Fabian Lukas Schär,,,,,,,1,Regular Play,Nico Elvedi,8814.0,Right Center Back,4,Switzerland,773,['85abcfc1-e62d-41e9-aac3-9fb7dbbe60ab'],19,,,,,,,,,,,,,,Switzerland,00:01:19.121,Pass,,42.2,66.5,33.2,56.2,,,
