bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.938399,,,,,,,,,,,,,,81c79092-60d9-4e2d-8ee0-47fa52889ace,68,,"[50.2, 29.4]",3788761,0,,,,-0.53862417,,Right Foot,,,,"[58.4, 24.5]",Ground Pass,,9.552486,,,Marek Hamšík,,,,,,1,From Free Kick,Milan Škriniar,6990.0,Left Center Back,3,Slovakia,908,['6951b99f-0f73-49fc-b082-b471d6d7ad14'],59,,,,,,,,,,,,,,,Slovakia,00:00:59.645,Pass,,50.2,29.4,58.4,24.5,,,
,,,,,,,,,,,,,,,,1.129755,,,,,,,,,,,,,,17991a6e-874a-4c81-953c-c751b7d88ef1,71,,"[58.4, 24.5]",3788761,1,,,,3.075464,,Left Foot,,,,"[43.3, 25.5]",Ground Pass,,15.133077,,,Milan Škriniar,,,,,,1,From Free Kick,Marek Hamšík,7025.0,Center Attacking Midfield,3,Slovakia,908,['c6304809-2a42-4f6b-86a5-b65d55ae4e4a'],0,,,,,,,,,,,,,,,Slovakia,00:01:00.606,Pass,,58.4,24.5,43.3,25.5,,,
,,,,,,,,,,,,,,,,1.691044,,,,,,,,,,,,,,7a2d80f5-30d1-489b-9eb3-6c959c042a2d,77,,"[36.1, 26.9]",3788761,1,,,,2.1084712,,Left Foot,,,,"[26.5, 43.0]",Ground Pass,,18.744865,,,Martin Dúbravka,,,,,Free Kick,1,From Free Kick,Milan Škriniar,6990.0,Left Center Back,4,Slovakia,908,['453f2b3f-3e17-4c49-adb8-14e9584f52e1'],44,,,,,,,,,,,,,,,Slovakia,00:01:44.051,Pass,,36.1,26.9,26.5,43.0,,,
,,,,,,,,,,,,,,,,1.17267,,,,,,,,,,,,,,69418609-6f7f-4421-9b5b-d56d0617d6fc,80,,"[28.1, 42.6]",3788761,1,,,,-1.1328665,,Right Foot,,,,"[34.0, 30.0]",Ground Pass,,13.912944,,,Milan Škriniar,,,,,,1,From Free Kick,Martin Dúbravka,3711.0,Goalkeeper,4,Slovakia,908,['ffdeda27-5b36-452c-baa6-dbd3bdb583a4'],47,,,,,,,,,,,,,,,Slovakia,00:01:47.169,Pass,,28.1,42.6,34.0,30.0,,,
,,,,,,,,,,,,,,,,1.270307,,,,,,,,,,,,,,692907ee-e05d-4a25-bd8f-a17501606569,83,,"[34.0, 30.0]",3788761,1,,,,-1.234761,,Right Foot,,,,"[41.3, 9.1]",Ground Pass,,22.138203,,,Tomáš Hubočan,,,,,,1,From Free Kick,Milan Škriniar,6990.0,Left Center Back,4,Slovakia,908,['aafe0163-309a-42ee-b35f-3982d24aefe4'],49,,,,,,,,,,,,,,,Slovakia,00:01:49.294,Pass,,34.0,30.0,41.3,9.1,,,
,,,,,,,,,,,,,,,,2.512128,,,,,,,,,,,,,,a50f2b47-5e75-43da-9412-5399402499fe,86,,"[43.2, 13.5]",3788761,1,,,,0.6389613,,Right Foot,,,,"[82.1, 42.4]",High Pass,,48.4605,Incomplete,,Juraj Kucka,,,,,,1,From Free Kick,Tomáš Hubočan,4421.0,Left Back,4,Slovakia,908,"['7ded306a-2c54-4dab-8f18-054f23d2a1ee', 'cdbc89ce-d949-4373-a05a-2d53f70ed41c']",54,,,,,,,,,,,,,,,Slovakia,00:01:54.824,Pass,,43.2,13.5,82.1,42.4,,,
,,,,,,,,,,,,,,,,1.527025,,,,,,,,,,,,,,b0d93c1f-3ae6-44ba-a809-da165d50de91,92,,"[90.8, 58.5]",3788761,2,,,,-0.73927706,,Right Foot,,,,"[111.2, 39.9]",High Pass,,27.606522,Pass Offside,,Juraj Kucka,,,,,,1,From Free Kick,Martin Koscelník,28044.0,Right Wing,4,Slovakia,908,['f0b6ff93-9042-40f4-a26a-c763a2eff485'],1,,,,,,,,,,,,,,,Slovakia,00:02:01.031,Pass,,90.8,58.5,111.2,39.9,,,
,,,,,,,,,,,,,,,,1.54124,,,,,,,,,,,,,,7fba4c81-6c26-4853-8fac-ae60b9516d35,94,,"[8.9, 40.2]",3788761,2,,,,0.5043376,,Right Foot,,,,"[24.3, 48.7]",Ground Pass,,17.590054,,,Victor Nilsson Lindelöf,,,,,Free Kick,1,From Free Kick,Robin Olsen,5622.0,Goalkeeper,5,Sweden,790,['e0d1dae2-5741-4e17-8e8d-75b54166d350'],20,,,,,,,,,,,,,,,Sweden,00:02:20.601,Pass,,8.9,40.2,24.3,48.7,,,
,,,,,,,,,,,,,,,,3.605463,,,,,,,,,,,,,,ddca28f0-9e9e-4248-81bf-1161ecbea753,97,,"[43.6, 51.5]",3788761,2,,,,-0.69069546,,Right Foot,,,,"[85.1, 17.2]",High Pass,,53.839947,Incomplete,,Marcus Berg,,,,,,1,From Free Kick,Victor Nilsson Lindelöf,3702.0,Right Center Back,5,Sweden,790,"['1c29c34e-09a2-4966-93fe-26d4f9603671', 'b137b785-22ee-439c-976e-72b7047cfad8']",28,,,,,,,,,,,,,,,Sweden,00:02:28.446,Pass,,43.6,51.5,85.1,17.2,,,
,,,,,,,,,,,,,,,,1.080781,,,,,,,,,,,,,,943096bb-452f-4580-bb23-da7a5416e0cd,102,,"[73.3, 29.8]",3788761,2,,,,-0.60670793,,Right Foot,,,,"[86.7, 20.5]",Low Pass,,16.311039,Incomplete,,Marcus Berg,,,,,Recovery,1,From Free Kick,Kristoffer Olsson,23444.0,Right Center Midfield,5,Sweden,790,"['8837d6b8-d323-4e94-b2ed-9a4ad5a41363', 'dad7ecc8-63b8-402f-8b8e-c1a5474cdb65', 'e5219291-55ab-4e6d-ac98-b9da552a3ccf']",33,,,,,,,,,,,,,,,Sweden,00:02:33.696,Pass,True,73.3,29.8,86.7,20.5,,,
,,,,,,,,,,,,,,,,0.999733,,,,,,,,,,,,,,dad7ecc8-63b8-402f-8b8e-c1a5474cdb65,104,,"[33.4, 59.6]",3788761,2,,,,-0.5059504,,Right Foot,,,,"[40.8, 55.5]",Low Pass,,8.459906,Incomplete,,Patrik Hrošovský,,,,,Recovery,1,From Free Kick,Juraj Kucka,10919.0,Right Center Midfield,5,Sweden,790,"['943096bb-452f-4580-bb23-da7a5416e0cd', 'abb76a80-5938-473d-b92e-364e726828f6', 'af392f4b-3af7-4f84-9547-9a95225be1ad']",34,,,,,,,,,,,,,,,Slovakia,00:02:34.776,Pass,,33.4,59.6,40.8,55.5,,,
,,,,,,,,,,,,,,,,2.214244,,,,,,,,,,,,,,abb76a80-5938-473d-b92e-364e726828f6,107,,"[79.3, 24.6]",3788761,2,,,,-0.032668114,,Right Foot,,,,"[94.6, 24.1]",High Pass,,15.308167,Incomplete,,Alexander Isak,,,,,Interception,1,From Free Kick,Kristoffer Olsson,23444.0,Right Center Midfield,5,Sweden,790,"['3cbe5af9-4616-451d-b240-bda39e1ab9c3', '73d05cf5-8ec8-4e23-ac5d-563def9d993a', 'dad7ecc8-63b8-402f-8b8e-c1a5474cdb65']",35,,,,,,,,,,,,,,,Sweden,00:02:35.776,Pass,,79.3,24.6,94.6,24.1,,,
,,,,,,,,,,,,,,,,1.146847,,,,,,,,,,,,,,de0499b4-233e-4800-abc6-98a354eb0532,115,,"[84.7, 27.5]",3788761,2,,,,1.0784827,1bd5c089-1196-42f8-a2ad-1aec6dd9080c,Right Foot,,,,"[90.6, 38.5]",Low Pass,,12.482388,,,Sebastian Larsson,True,,,,,1,From Free Kick,Emil Peter Forsberg,5625.0,Left Midfield,5,Sweden,790,"['6fec35a5-0116-415e-8f4f-2a69d87b0891', 'a62b455c-54be-4999-9c3e-66aa2b66a10e']",41,,,,,,,,,,,,,,,Sweden,00:02:41.018,Pass,True,84.7,27.5,90.6,38.5,,,
,,,,,,,,,,,,,,,,0.896043,,,,,,,,,,,,,,e6077291-5503-4379-9dfb-fc137bcbea70,121,,"[6.6, 44.7]",3788761,2,True,,,0.5895602,,Right Foot,,,,"[21.4, 54.6]",Ground Pass,,17.805899,,,Ľubomír Šatka,,,,,,1,From Keeper,Martin Dúbravka,3711.0,Goalkeeper,7,Slovakia,908,['8b421f33-a042-4411-b1ac-dd55f7f096b7'],57,,,,,,,,,,,,,,,Slovakia,00:02:57.731,Pass,,6.6,44.7,21.4,54.6,,,
,,,,,,,,,,,,,,,,1.596389,,,,,,,,,,,,,,9f8c7738-b680-4876-8479-3c2ee37ffa7c,123,,"[21.4, 54.4]",3788761,2,,,,-1.4373351,,Right Foot,,,,"[24.3, 32.8]",Ground Pass,,21.793806,,,Milan Škriniar,,,,,,1,Regular Play,Ľubomír Šatka,30397.0,Right Center Back,8,Slovakia,908,['02ce0f69-9580-4e4e-8f58-b9ee795f0a20'],59,,,,,,,,,,,,,,,Slovakia,00:02:59.382,Pass,,21.4,54.4,24.3,32.8,,,
