50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,,,,,,,,e7ce1710-da81-4194-b183-fcc15a5bf5f5,1606,,,"[33.5, 40.5]",3794689,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Joe Rodon,11250.0,Left Center Back,80,Wales,907,['fa14abcf-d9c6-489a-94f5-82c317971e50'],58,,,,,,,,,,,,,,,,,Wales,00:00:58.841,Ball Receipt*,,33.5,40.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,c2110072-de88-4da0-adbd-578e716f0286,1609,,,"[43.3, 14.3]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ben Davies,3086.0,Left Back,80,Wales,907,['493de02b-ddcb-4343-b833-f96918478211'],0,,,,,,,,,,,,,,,,,Wales,00:01:00.227,Ball Receipt*,,43.3,14.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0376f801-c869-4097-b475-7e19bd79b1f3,1612,,,"[56.8, 26.7]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Joe Allen,10931.0,Left Defensive Midfield,80,Wales,907,['7fd51c95-edeb-48c6-84b3-f890265a41e8'],4,,,,,,,,,,,,,,,,,Wales,00:01:04.056,Ball Receipt*,,56.8,26.7,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,01ef9d03-7d09-4b1c-a5fc-fb78e080816f,1616,,,"[40.0, 51.3]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Chris Mepham,4767.0,Right Center Back,80,Wales,907,['3b76e47e-9cb6-476d-bfcb-6fb08eeb7eea'],7,,,,,,,,,,,,,,,,,Wales,00:01:07.263,Ball Receipt*,,40.0,51.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1b57fe9e-431c-4d4f-8ec1-1345ef8106a0,1619,,,"[45.2, 75.6]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Neco Williams,34794.0,Right Back,80,Wales,907,['14b8654d-f901-4c56-bc46-c048350c5be4'],10,,,,,,,,,,,,,,,,,Wales,00:01:10.354,Ball Receipt*,,45.2,75.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4cdbc701-472e-40cf-ab60-ded287661b67,1622,,,"[32.5, 65.2]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Chris Mepham,4767.0,Right Center Back,80,Wales,907,['1b763c5e-53bb-40af-9c18-593b32b1e912'],14,,,,,,,,,,,,,,,,,Wales,00:01:14.031,Ball Receipt*,,32.5,65.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,c4001d44-520d-49ac-b33e-ad3c1a2d55a3,1625,,,"[46.6, 60.3]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Joseff Morrell,22074.0,Right Defensive Midfield,80,Wales,907,['a19058d7-2371-4986-8d50-4f53ce470bce'],16,,,,,,,,,,,,,,,,,Wales,00:01:16.234,Ball Receipt*,,46.6,60.3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,d53ffef9-e7dd-4500-ac97-27b8c24a5fb3,1628,,,"[54.2, 73.6]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Aaron Ramsey,3517.0,Center Attacking Midfield,80,Wales,907,['0de9d4cf-3bbc-4a72-a2cc-471e4c43c708'],20,,,,,,,,,,,,,,,,,Wales,00:01:20.521,Ball Receipt*,,54.2,73.6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,f7eb4f2a-a1b5-4ab9-99a2-2f36a59f48fd,1631,,,"[97.8, 45.2]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Kieffer Roberto Francisco Moore,3853.0,Center Forward,80,Wales,907,['432bb943-6766-41be-b62c-c46b33459c8b'],24,,,,,,,,,,,,,,,,,Wales,00:01:24.729,Ball Receipt*,,97.8,45.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1b4cf65a-68e2-4b84-aacf-059bda4953c6,1636,,,"[17.3, 32.7]",3794689,46,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jannik Vestergaard,8815.0,Left Center Back,81,Denmark,776,['e45a79db-8233-48a3-a5c4-efc8f8f9615d'],32,,,,,,,,,,,,,,,,,Denmark,00:01:32.464,Ball Receipt*,,17.3,32.7,,,,,
