50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,1.417492,,,,,,,,,,,,,783c0e0b-1db5-47c6-9008-f636a4ff2d58,58,,"[41.7, 4.6]",3788756,0,,,,,0.14784937,,Right Foot,,,"[55.8, 6.7]",,Ground Pass,,14.255526,,,,Marcel Sabitzer,,,,,,1,From Free Kick,Martin Hinteregger,8307.0,Left Center Back,5,Austria,915,"['9722b639-bffa-446a-aba3-cb96a9eff9af', 'a7d11a9a-af88-4b4d-932b-0ac1f417dc3f']",44,,,,,,,,,,,,,,Austria,00:00:44.092,Pass,True,41.7,4.6,55.8,6.7,,,
,,,,,,,,,,,,,,,,,,0.918301,,,,,,,,,,,,,6fe12969-1457-4f68-af09-56154a92ee87,61,,"[55.8, 6.7]",3788756,0,,,,,-0.035699114,,Right Foot,,,"[64.2, 6.4]",,Ground Pass,,8.405355,,,,Andreas Ulmer,,,,,,1,From Free Kick,Marcel Sabitzer,8518.0,Left Center Midfield,5,Austria,915,['e19c434b-c40b-4005-9212-7366bbd4b996'],46,,,,,,,,,,,,,,Austria,00:00:46.598,Pass,,55.8,6.7,64.2,6.4,,,
,,,,,,,,,,,,,,,,,,0.926038,,,,,,,,,,,,,bcf94da3-5b2d-4b6a-9c86-c6bbcf75f816,65,,"[63.9, 7.9]",3788756,0,,,,,2.3871124,,Right Foot,,,"[58.9, 12.6]",,Ground Pass,,6.8622155,,Incomplete,,Marcel Sabitzer,,,,,,1,From Free Kick,Andreas Ulmer,8777.0,Left Wing Back,5,Austria,915,"['1569525e-9b49-41f7-b31e-ffd5cb72ba34', '242f7236-8cc5-4537-ae44-1f7d357c0670', 'fa34a575-e4a1-40c9-88b3-e9988214ea75']",48,,,,,,,,,,,,,,Austria,00:00:48.215,Pass,True,63.9,7.9,58.9,12.6,,,
,,,,,,,,,,,,,,,,,,1.254541,,,,,,,,,,,,,f7e2c8f0-ac48-4fcc-9946-74b531464ec1,70,,"[53.4, 32.6]",3788756,0,,,,,2.9200637,,Right Foot,,,"[42.3, 35.1]",,Ground Pass,,11.378049,,,,David Olatukunbo Alaba,,,,,,1,From Free Kick,Konrad Laimer,8506.0,Right Center Midfield,5,Austria,915,['57334587-9edb-4c61-a1f4-e71faaa6df9d'],52,,,,,,,,,,,,,,Austria,00:00:52.273,Pass,,53.4,32.6,42.3,35.1,,,
,,,,,,,,,,,,,,,,,,1.157485,,,,,,,,,,,,,2161ae5a-34a5-480e-a252-f81a46f4cd4e,74,,"[51.5, 24.3]",3788756,0,,,,,-1.2511599,,Left Foot,,,"[56.2, 10.1]",,Ground Pass,,14.957606,,,,Martin Hinteregger,,,,,,1,From Free Kick,David Olatukunbo Alaba,8220.0,Center Back,5,Austria,915,['7671f22b-fd4c-4fba-adc0-0f87faf7643a'],56,,,,,,,,,,,,,,Austria,00:00:56.886,Pass,,51.5,24.3,56.2,10.1,,,
,,,,,,,,,,,,,,,,,,2.108337,,,,,,,,,,,,,98fbfc01-0336-46d6-bb53-980a0eff73f5,77,,"[65.1, 11.0]",3788756,0,,,,,0.36555535,,Left Foot,,,"[94.1, 22.1]",,High Pass,,31.051731,,,,Christoph Baumgartner,,,,,,1,From Free Kick,Martin Hinteregger,8307.0,Left Center Back,5,Austria,915,['09b56a64-7924-4d33-bc47-f1b9282358a6'],59,,,,,,,,,,,,,,Austria,00:00:59.693,Pass,,65.1,11.0,94.1,22.1,,,
,,,,,,,,,,,,,,,,,,0.730582,,,,,,,,,,,,,39f6d460-b034-4aed-bfcf-3111590801fb,81,,"[95.3, 23.4]",3788756,1,,,,,-1.5707964,,Other,,,"[95.3, 14.7]",,Low Pass,,8.7,,,,Andreas Ulmer,,,,,,1,From Free Kick,Christoph Baumgartner,24977.0,Right Center Forward,5,Austria,915,"['0c572a0f-90a6-482e-9469-2afc5319e63f', 'b51e223f-3aaa-4d90-9a2f-765ba2297305']",1,,,,,,,,,,,,,,Austria,00:01:01.909,Pass,True,95.3,23.4,95.3,14.7,,,
,,,,,,,,,,,,,,,,,,5.26241,,,,,,,,,,,,,712dd191-e5a7-450c-ab63-7baf03426da7,93,,"[9.0, 72.8]",3788756,1,,,,,-0.10626486,,Right Foot,,,"[61.5, 67.2]",,High Pass,,52.79782,,Incomplete,,Wout Weghorst,,,,,,1,From Free Kick,Marten de Roon,6994.0,Right Defensive Midfield,5,Austria,915,"['7c0e36d0-b799-4e94-abb1-4f1f63bc0473', 'ecdd8d27-1d41-4b54-b4da-61e046c5cb94']",10,,,,,,,,,,,,,,Netherlands,00:01:10.752,Pass,,9.0,72.8,61.5,67.2,,,
,,,,,,,,,,,,,,,,,,1.545214,,,,,,,,,,,,,4f9e1168-58a9-44d2-a397-3820229bcd15,97,,"[55.8, 20.9]",3788756,1,,,,,1.7404882,,Left Foot,,,"[50.3, 53.0]",,Ground Pass,,32.567776,,,,Aleksandar Dragović,,,,,,1,From Free Kick,David Olatukunbo Alaba,8220.0,Center Back,5,Austria,915,['a48a9093-f607-4a51-b28e-2c44091c657a'],18,,,,,,,,,,,,,,Austria,00:01:18.439,Pass,,55.8,20.9,50.3,53.0,,,
,,,,,,,,,,,,,,,,,,1.260177,,,,,,,,,,,,,01dd1410-27c0-43b9-949f-9f3ca0a672f6,100,,"[50.6, 52.1]",3788756,1,,,,,-1.7452347,,Right Foot,,,"[46.3, 27.7]",,Ground Pass,,24.775997,,,,David Olatukunbo Alaba,,,,,,1,From Free Kick,Aleksandar Dragović,3969.0,Right Center Back,5,Austria,915,['bb859ae1-c0b8-491a-9c83-6dd00ca0c5ba'],22,,,,,,,,,,,,,,Austria,00:01:22.000,Pass,,50.6,52.1,46.3,27.7,,,
