50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,1.748756,,,,,,,,,,,,,,28de030d-6d82-4cb8-9243-48ac9deb577b,62,,"[105.9, 0.1]",3788760,1,,,,,2.8892746,,,,,"[93.1, 3.4]",,Low Pass,,13.218548,,,,Vladimír Darida,,,,,Throw-in,1,From Throw In,Jan Bořil,4875.0,Left Back,5,Czech Republic,912,['69ae6647-4e46-4e2b-b362-f5892249d0cd'],25,,,,,,,,,,,,,,,,Czech Republic,00:01:25.086,Pass,,105.9,0.1,93.1,3.4,,,
,,,,,,,,,,,,,,0.892554,,,,,,,,,,,,,,47285858-2524-4b7e-814b-738db7852dc6,66,,"[96.1, 2.8]",3788760,1,,,,,-0.15602484,,Left Foot,,,"[105.0, 1.4]",,Ground Pass,,9.009439,,,,Jan Bořil,,,,,,1,From Throw In,Vladimír Darida,8579.0,Center Attacking Midfield,5,Czech Republic,912,"['c36ff2dd-eda1-4fcc-bbeb-f50a1358624b', 'e6dfba70-a65a-46dd-add2-70a7352cf715']",28,,,,,,,,,,,,,,,,Czech Republic,00:01:28.135,Pass,True,96.1,2.8,105.0,1.4,,,
,,,,,,,,,,,,,,0.988235,,,,,,,,,,,,,,faa9e64b-0c2b-4c62-9583-555f3d7c76d4,70,,"[103.9, 2.6]",3788760,1,,,,,2.587285,,Right Foot,,,"[91.3, 10.4]",,Ground Pass,,14.818907,,,,Tomáš Holeš,,,,,,1,From Throw In,Jan Bořil,4875.0,Left Back,5,Czech Republic,912,"['02ef774c-97e3-4f3b-b1c6-6ba68e7bd9b7', '04755b9c-b31e-4ae8-91c1-683ba7e88d1c']",30,,,,,,,,,,,,,,,,Czech Republic,00:01:30.343,Pass,True,103.9,2.6,91.3,10.4,,,
,,,,,,,,,,,,,,1.843427,,,,,,,,,,,,,,d91f7650-c9e9-4bf1-9bc0-913a62affbdb,73,,"[91.0, 9.7]",3788760,1,,,,,0.548759,,Right Foot,,,"[110.3, 21.5]",,Ground Pass,,22.62145,,Incomplete,,Jakub Jankto,,,,,,1,From Throw In,Tomáš Holeš,16469.0,Right Center Midfield,5,Czech Republic,912,"['166cd820-7437-481c-99b7-ff48d872cf9f', 'bcd1ab98-9458-404b-9b73-6c93c0e089c6']",31,,,,,,,,,,,,,,,,Czech Republic,00:01:31.371,Pass,,91.0,9.7,110.3,21.5,,,
,,,,,,,,,,,,,,1.535221,,,,,,,,,,,,,,eed112fb-34b8-4617-ac83-f457c901ed38,76,,"[76.6, 0.1]",3788760,1,,,,,1.3375511,,,,,"[80.9, 18.2]",,Low Pass,,18.603764,,Incomplete,,Patrik Schick,,,,,Throw-in,1,From Throw In,Jan Bořil,4875.0,Left Back,6,Czech Republic,912,"['665bfd7f-70e2-42e2-a8d8-051b78c7c0cc', 'bb0d15e9-0aee-4a89-bfd4-f6b302cdf3ae']",45,,,,,,,,,,,,,,,,Czech Republic,00:01:45.783,Pass,,76.6,0.1,80.9,18.2,,,
,,,,,,,,,,,,,,0.743811,,,,,,,,,,,,,,c6b4da8e-9699-44d8-ab91-56edce8f6478,80,,"[63.6, 3.1]",3788760,1,,,,,0.31016806,,Right Foot,,,"[71.4, 5.6]",,Ground Pass,,8.190848,,,,Jan Bořil,,,,,Recovery,1,From Throw In,Tomáš Kalas,13197.0,Left Center Back,6,Czech Republic,912,"['22b99b60-de95-4f08-9145-c5faab2403ea', '5b1090a0-869e-4bfa-8f67-32919cb2f35d']",49,,,,,,,,,,,,,,,,Czech Republic,00:01:49.404,Pass,True,63.6,3.1,71.4,5.6,,,
,,,,,,,,,,,,,,0.955776,,,,,,,,,,,,,,065d7eb0-755a-482f-aee6-6dac62375f8f,84,,"[71.8, 7.1]",3788760,1,,,,,0.0,,Right Foot,,,"[81.3, 7.1]",,Ground Pass,,9.5,,,,Tomáš Souček,,,,,,1,From Throw In,Jan Bořil,4875.0,Left Back,6,Czech Republic,912,"['5e6fa821-0acd-4c8d-9d98-fa7fdf023d26', 'ee164951-692a-4be5-aa66-2b82b6db2114']",51,,,,,,,,,,,,,,,,Czech Republic,00:01:51.080,Pass,True,71.8,7.1,81.3,7.1,,,
,,,,,,,,,,,,,,0.730944,,,,,,,,,,,,,,229ad33b-f72b-4c73-93c3-2d041d0c273d,88,,"[81.5, 7.1]",3788760,1,,,,,-0.6040784,,No Touch,,,"[88.6, 2.2]",,Ground Pass,,8.626702,True,,,Jakub Jankto,,,,,,1,From Throw In,Tomáš Souček,4870.0,Left Center Midfield,6,Czech Republic,912,['903a3dd6-c606-47ee-8c9a-b78526fd68ac'],52,,,,,,,,,,,,,,,,Czech Republic,00:01:52.059,Pass,,81.5,7.1,88.6,2.2,,,
,,,,,,,,,,,,,,0.570491,,,,,,,,,,,,,,40d211e3-d07d-4e8c-b141-860fe9f777a4,91,,"[114.3, 16.2]",3788760,1,,,,,1.6233793,,Left Foot,True,True,"[113.3, 35.2]",,Low Pass,,19.026299,,Incomplete,,Lukáš Masopust,,,,,,1,From Throw In,Jakub Jankto,8095.0,Left Wing,6,Czech Republic,912,"['a25719ef-db98-4991-b56b-61efad671bb3', 'ec468ea1-5e11-4979-8aa1-eb0f38f6415b']",56,,,,,,,,,,,,,,,,Czech Republic,00:01:56.565,Pass,,114.3,16.2,113.3,35.2,,,
,,,,,,,,,,,,,,0.416182,,,,,,,,,,,,,,73b0974e-8ed5-405b-912c-9636d2d10513,100,,"[117.7, 65.5]",3788760,2,,,,,-1.7787548,,Right Foot,,,"[115.4, 54.6]",,Low Pass,,11.1400175,,Incomplete,,,,,,,Recovery,1,From Throw In,Vladimír Darida,8579.0,Center Attacking Midfield,6,Czech Republic,912,['53ae9f38-7482-4f01-b538-d6fefb9df937'],4,,,,,,,,,,,,,,,,Czech Republic,00:02:04.022,Pass,,117.7,65.5,115.4,54.6,,,
