ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.5772,,,,,,,,,,,,35765536-475c-4752-bfb2-7344066b3878,48,,"[65.9, 16.9]",3788746,0,,,,2.1662061,,Right Foot,,,,"[63.8, 20.0]",,Ground Pass,,3.744329,,Incomplete,,Oleksandr Zubkov,,,,,,1,From Throw In,Roman Yaremchuk,23649.0,Center Forward,3,Ukraine,911,"['72b4274e-7a49-4299-9a23-9c1192956154', '8b00dd5d-8597-46da-b80d-d741bad2d489']",55,,,,,,,,,,,,,,Ukraine,00:00:55.732,Pass,,65.9,16.9,63.8,20.0,,,
,,,,,,,,,,,,,,,0.705024,,,,,,,,,,,,72b4274e-7a49-4299-9a23-9c1192956154,50,,"[56.3, 60.1]",3788746,0,,,,-1.5954827,,Right Foot,,,True,"[56.1, 52.0]",,Low Pass,,8.1024685,,,,Frenkie de Jong,,,,,Interception,1,From Throw In,Jurriën David Norman Timber,21809.0,Right Center Back,3,Ukraine,911,"['29f51da5-54d4-40ea-a093-2bb90d1d63aa', '35765536-475c-4752-bfb2-7344066b3878']",56,,,,,,,,,,,,,,Netherlands,00:00:56.309,Pass,,56.3,60.1,56.1,52.0,,,
,,,,,,,,,,,,,,,1.091047,,,,,,,,,,,,ef85bbfb-ecbf-4767-af82-cf722c39cc9b,56,,"[46.8, 43.8]",3788746,0,,,True,-0.8218783,,,,,,"[53.4, 36.7]",,Low Pass,,9.693812,,Incomplete,,Jurriën David Norman Timber,,,,,Recovery,1,From Throw In,Frenkie de Jong,8118.0,Left Defensive Midfield,3,Ukraine,911,"['b9511bf6-c18e-48fa-ab2f-f57b8105e661', 'cfff3ec4-a444-42bc-912c-303f0aebc1dc', 'e82c7a3d-b398-49b9-a7ab-f3f3811aef9b']",59,,,,,,,,,,,,,,Netherlands,00:00:59.351,Pass,True,46.8,43.8,53.4,36.7,,,
,,,,,,,,,,,,,,,1.300447,,,,,,,,,,,,7c04b766-f818-40de-a4d0-a0e3a2e653b0,61,,"[70.5, 53.9]",3788746,1,,,,2.009909,,Left Foot,,,,"[64.3, 67.1]",,Ground Pass,,14.583552,,,,Oleksandr Karavaev,,,,,,1,From Throw In,Ruslan Malinovskiy,16557.0,Right Center Midfield,3,Ukraine,911,"['56f9e896-c20c-4979-8e9f-b6a395648ea6', '5f47b159-e9fc-47a1-bcd0-be9a570b1aac']",1,,,,,,,,,,,,,,Ukraine,00:01:01.219,Pass,True,70.5,53.9,64.3,67.1,,,
,,,,,,,,,,,,,,,0.385573,,,,,,,,,,,,b9711771-925f-4c7a-a9e8-7390f356c12f,65,,"[99.5, 62.6]",3788746,1,,,,-1.9117752,,Right Foot,,,,"[98.4, 59.5]",,Ground Pass,,3.2893767,,,,Roman Yaremchuk,,,,,,1,From Throw In,Oleksandr Karavaev,31900.0,Right Back,3,Ukraine,911,"['197f3a94-ab44-4427-9974-aa784e2912e2', '911956f4-753a-436b-993f-0520c650fc7a']",10,,,,,,,,,,,,,,Ukraine,00:01:10.432,Pass,True,99.5,62.6,98.4,59.5,,,
,,,,,,,,,,,,,,,1.479762,,,,,,,,,,,,4cc145a5-6567-4c23-adba-7c54110394fb,68,,"[98.3, 62.4]",3788746,1,,,,0.7170118,,Right Foot,,,,"[110.0, 72.6]",,Ground Pass,,15.52192,,,,Andriy Yarmolenko,,,,,,1,From Throw In,Roman Yaremchuk,23649.0,Center Forward,3,Ukraine,911,['79b9d056-9ad9-4784-bd97-392355e04d34'],11,,,,,,,,,,,,,,Ukraine,00:01:11.568,Pass,,98.3,62.4,110.0,72.6,,,
,,,,,,,,,,,,,,,0.763141,,,,,,,,,,,,6165ec36-a497-4eee-9456-fc8d30a741e5,71,,"[112.1, 70.9]",3788746,1,,,,-1.379489,,Right Foot,True,,,"[117.0, 45.6]",,Ground Pass,,25.770138,,Incomplete,,Oleksandr Karavaev,,,,,,1,From Throw In,Andriy Yarmolenko,8830.0,Right Wing,3,Ukraine,911,"['7b5384bb-1ca2-4445-a8e7-a90eb0067ce5', 'a4b27cea-ca41-464f-8d91-0dc77a2b3fc2']",14,,,,,,,,,,,,,,Ukraine,00:01:14.878,Pass,,112.1,70.9,117.0,45.6,,,
,,,,,,,,,,,,,,,1.231902,,,,,,,,,,,,56fe2955-24d8-4b87-9945-911b5b9aabb2,77,,"[109.9, 57.2]",3788746,1,,,,-1.5454211,,Right Foot,True,,,"[110.4, 37.5]",,Ground Pass,,19.706345,,,,Oleksandr Zubkov,,,,,,1,From Throw In,Roman Yaremchuk,23649.0,Center Forward,3,Ukraine,911,"['651c2d11-0752-4421-8e26-4f6cab402450', '83adc10b-deec-4b53-a1d5-71a08df4c216']",17,,,,,,,,,,,,,,Ukraine,00:01:17.586,Pass,True,109.9,57.2,110.4,37.5,,,
,,,,,,,,,,,,,,,0.769839,,,,,,,,,,,,95588cbb-8977-4d39-89b6-e2ed9c07108c,82,,"[106.4, 38.5]",3788746,1,,,,-3.0555983,,Left Foot,,,,"[94.8, 37.5]",,Ground Pass,,11.6430235,,,,Serhii Sydorchuk,,,,,,1,From Throw In,Oleksandr Zubkov,31892.0,Left Wing,3,Ukraine,911,"['18cc8c19-e14f-4462-86ca-8da4d158e698', 'da84c4c2-d24b-4029-987d-55e62e2c4ecb', 'dcc82155-2097-4eb4-9271-4546b0519b4a']",21,,,,,,,,,,,,,,Ukraine,00:01:21.793,Pass,True,106.4,38.5,94.8,37.5,,,
,,,,,,,,,,,,,,,1.937009,,,,,,,,,,,,4fc78226-fdf8-4954-a8b7-7fa238a31d1a,86,,"[93.4, 33.5]",3788746,1,,,,-1.2490457,,Right Foot,,,,"[97.0, 22.7]",,Ground Pass,,11.384199,,,,Vitalii Mykolenko,,,,,,1,From Throw In,Serhii Sydorchuk,16514.0,Center Defensive Midfield,3,Ukraine,911,"['a112c0c2-8bf6-40bd-b305-7273398c09c6', 'd11914ee-5b2e-438a-b796-54d2ec0634c6']",23,,,,,,,,,,,,,,Ukraine,00:01:23.177,Pass,True,93.4,33.5,97.0,22.7,,,
