ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.468088,,,,,,,,,,,6d5b5ca3-c79f-4ad9-be21-9d295a06532c,68,,,"[57.2, 34.6]",3788763,1,,,,-1.6438369,,Right Foot,,,"[55.4, 10.0]",Ground Pass,,24.665766,,,,Lucas Digne,,,,,,1,From Free Kick,N''Golo Kanté,3961.0,Center Defensive Midfield,6,France,771,['2b1d4845-30f4-4ef0-8f0e-0e0f6f4089b4'],36,,,,,,,,,,,,,,,,France,00:01:36.497,Pass,,57.2,34.6,55.4,10.0,,,
,,,,,,,,,,,,,,,,,1.413261,,,,,,,,,,,515a4ac3-ead0-4c1a-9fea-640685792ada,72,,,"[51.6, 17.9]",3788763,1,,,,2.345206,,Left Foot,,,"[42.6, 27.1]",Ground Pass,,12.87012,,,,Presnel Kimpembe,,,,,,1,From Free Kick,Lucas Digne,6849.0,Left Back,6,France,771,"['a712f8a8-4d13-41f3-9682-7779e43e6aac', 'cb997b72-d360-46fe-9d84-f15227ae557d']",39,,,,,,,,,,,,,,,,France,00:01:39.253,Pass,True,51.6,17.9,42.6,27.1,,,
,,,,,,,,,,,,,,,,,1.410547,,,,,,,,,,,bb141e62-9838-4115-a1e6-3f44a8907059,75,,,"[44.1, 39.1]",3788763,1,,,,1.5161245,,Left Foot,,,"[45.2, 59.2]",Ground Pass,,20.130077,,,,Raphaël Varane,,,,,,1,From Free Kick,Presnel Kimpembe,2999.0,Left Center Back,6,France,771,['a52e5406-e20d-4ba7-bd09-5cc2874f9bf9'],41,,,,,,,,,,,,,,,,France,00:01:41.677,Pass,,44.1,39.1,45.2,59.2,,,
,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,072260a1-1a12-41f8-ae2c-52677cb0e7b7,78,,,"[45.2, 62.6]",3788763,1,,,,0.8245241,,Right Foot,,,"[58.7, 77.2]",Ground Pass,,19.884918,,,,Benjamin Pavard,,,,,,1,From Free Kick,Raphaël Varane,5485.0,Right Center Back,6,France,771,['c2fd0577-6b9d-400d-ab82-afec204757e9'],44,,,,,,,,,,,,,,,,France,00:01:44.094,Pass,,45.2,62.6,58.7,77.2,,,
,,,,,,,,,,,,,,,,,1.488744,,,,,,,,,,,30c81d0a-c018-4027-a9eb-7443c73a4811,82,,,"[58.7, 77.0]",3788763,1,,,,-2.5602124,,Right Foot,,,"[44.7, 67.8]",Ground Pass,,16.752314,,,,Raphaël Varane,,,,,,1,From Free Kick,Benjamin Pavard,5476.0,Right Back,6,France,771,"['ae7eb0ca-7dcf-4319-b1bd-1a53c50c36df', 'c2200a80-4e0c-4046-87e2-ff77977c965e']",46,,,,,,,,,,,,,,,,France,00:01:46.229,Pass,True,58.7,77.0,44.7,67.8,,,
,,,,,,,,,,,,,,,,,1.138112,,,,,,,,,,,c1de8aad-2570-4e88-af94-63c1d7f43302,85,,,"[44.7, 63.3]",3788763,1,,,,-1.6034645,,Left Foot,,,"[43.7, 32.7]",Ground Pass,,30.616335,,,,Presnel Kimpembe,,,,,,1,From Free Kick,Raphaël Varane,5485.0,Right Center Back,6,France,771,['da732151-954b-4b1e-99a4-294b0a380d6f'],48,,,,,,,,,,,,,,,,France,00:01:48.675,Pass,,44.7,63.3,43.7,32.7,,,
,,,,,,,,,,,,,,,,,1.036157,,,,,,,,,,,5112e544-e7ae-4a7a-9acc-e41c84d529c0,88,,,"[48.8, 28.0]",3788763,1,,,,-0.55616623,,Left Foot,,,"[63.6, 18.8]",Ground Pass,,17.426416,,,,Adrien Rabiot,,,,,,1,From Free Kick,Presnel Kimpembe,2999.0,Left Center Back,6,France,771,['9b58413e-24a2-4780-b3d7-060b23f047ef'],51,,,,,,,,,,,,,,,,France,00:01:51.490,Pass,,48.8,28.0,63.6,18.8,,,
,,,,,,,,,,,,,,,,,1.748211,,,,,,,,,,,218438ec-37c1-4d4f-b51e-bae49f5688f3,92,,,"[65.9, 8.3]",3788763,1,,,,2.5197048,,Right Foot,,,"[48.6, 20.7]",Ground Pass,,21.284971,,,,Presnel Kimpembe,,,,,,1,From Free Kick,Adrien Rabiot,3026.0,Left Center Midfield,6,France,771,"['69882de2-99cf-414f-963e-144de315cd54', '6e59762a-6ad0-4fff-92df-3b29b91d32f7']",55,,,,,,,,,,,,,,,,France,00:01:55.216,Pass,True,65.9,8.3,48.6,20.7,,,
,,,,,,,,,,,,,,,,,1.320774,,,,,,,,,,,0b56cb95-0817-4901-bcc4-df6161c1745e,95,,,"[62.9, 20.5]",3788763,2,,,,-0.7542468,,Left Foot,,,"[81.1, 3.4]",Ground Pass,,24.972986,,,,Lucas Digne,,,,,,1,From Free Kick,Presnel Kimpembe,2999.0,Left Center Back,6,France,771,['397edf34-3136-4bd8-b1a9-a8c6e0c9b39b'],0,,,,,,,,,,,,,,,,France,00:02:00.993,Pass,,62.9,20.5,81.1,3.4,,,
,,,,,,,,,,,,,,,,,0.146925,,,,,,,,,,,9d7ee50c-ebb2-49fe-9da0-65d18881490a,98,,,"[81.5, 4.0]",3788763,2,,,,0.0,,Left Foot,,,"[85.4, 4.0]",Ground Pass,,3.9,,Incomplete,,Adrien Rabiot,,,,,,1,From Free Kick,Lucas Digne,6849.0,Left Back,6,France,771,"['c3b06a96-0f3a-4b8c-9c8d-8e2a0f3d1e81', 'de0260a1-8f85-44ee-bd32-e1d660d12552']",2,,,,,,,,,,,,,,,,France,00:02:02.920,Pass,,81.5,4.0,85.4,4.0,,,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,88180c54-8b61-491b-8076-a457cbc4c5d9,105,,,"[55.7, 73.3]",3788763,2,True,,,-2.5713546,,Right Foot,,,"[37.3, 61.5]",Ground Pass,,21.858637,,,,Ádám Nagy,,,,,Free Kick,1,From Free Kick,Endre Botka,31887.0,Right Center Back,8,Hungary,916,['5ac756a5-937c-452d-9aec-11dc60eff022'],17,,,,,,,,,,,,,,,,Hungary,00:02:17.467,Pass,,55.7,73.3,37.3,61.5,,,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,3908be15-c8a7-4ea9-8523-be701f461dcf,107,,,"[37.3, 61.5]",3788763,2,True,,,-1.8216486,,Right Foot,,,"[33.2, 45.5]",Ground Pass,,16.51696,,,,Willi Orban,,,,,,1,From Free Kick,Ádám Nagy,7162.0,Center Defensive Midfield,8,Hungary,916,['03b601a0-e0f3-4166-a219-b304094eb140'],19,,,,,,,,,,,,,,,,Hungary,00:02:19.616,Pass,,37.3,61.5,33.2,45.5,,,
,,,,,,,,,,,,,,,,,2.682839,,,,,,,,,,,63ae1998-bdfe-4224-841c-f1a137f75535,109,,,"[33.2, 45.5]",3788763,2,True,,,-1.3898196,,Right Foot,,,"[37.5, 22.0]",Ground Pass,,23.890165,,,,Attila Szalai,,,,,,1,From Free Kick,Willi Orban,8509.0,Center Back,8,Hungary,916,['ed40d292-5d87-4af8-b3d4-638c954bce8d'],21,,,,,,,,,,,,,,,,Hungary,00:02:21.616,Pass,,33.2,45.5,37.5,22.0,,,
