ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,0.656766,,,,,,,,,,,,,,,9f9b73fe-8ae5-4fd9-83b9-860287c3c3cc,84,,"[108.5, 80.0]",3788762,1,,,,-0.7551044,,,,,,"[113.6, 75.2]",,Low Pass,,7.0035706,,,,Piotr Zieliński,,,,,,Throw-in,1,From Throw In,Kamil Jóźwiak,4673.0,Right Wing Back,7,Poland,789,['ff77b3f1-6455-43ab-b0f6-675fe6f2606d'],21,,,,,,,,,,,,,,,,Poland,00:01:21.147,Pass,,108.5,80.0,113.6,75.2,,,
,,,,,,,,,,,,,,,1.272902,,,,,,,,,,,,,,,4eb78c2d-1e59-4b9a-96ed-88a5af068369,92,,"[11.0, 2.3]",3788762,1,,,,0.096473776,,Right Foot,,,,"[17.2, 2.9]",,Ground Pass,,6.228965,,,,Álvaro Borja Morata Martín,,,,,,,1,From Throw In,Daniel Olmo Carvajal,16532.0,Left Wing,7,Poland,789,"['024a9580-fbe9-4a90-8bff-3bc44eaba466', 'd59d75ef-2d7c-4b57-a8a0-18b5df8d2034']",23,,,,,,,,,,,,,,,,Spain,00:01:23.232,Pass,True,11.0,2.3,17.2,2.9,,,
,,,,,,,,,,,,,,,0.753607,,,,,,,,,,,,,,,5118dafc-a6d5-4d74-9d0c-65e587f0646d,96,,"[19.1, 4.9]",3788762,1,,,,2.6779451,,Right Foot,,,,"[12.3, 8.3]",,Ground Pass,,7.602631,,Incomplete,,,,,,,,,1,From Throw In,Álvaro Borja Morata Martín,3477.0,Center Forward,7,Poland,789,"['9cf37ede-7cce-4199-aac2-fa034fe34b78', 'f513d8cc-d168-4e5f-aec7-b36c92d7cbd8']",25,,,,,,,,,,,,,,,,Spain,00:01:25.104,Pass,True,19.1,4.9,12.3,8.3,,,
,,,,,,,,,,,,,,,0.394702,,,,,,,,,,,,,,,89cf9480-dc8d-4860-9e6a-a0db1b7b13f8,99,,"[105.3, 73.3]",3788762,1,,,,-0.8176451,,Left Foot,,,,"[111.3, 66.9]",,Ground Pass,,8.772685,,,,Karol Świderski,,,,,,,1,From Throw In,Piotr Zieliński,5660.0,Center Defensive Midfield,7,Poland,789,['d718711e-5a81-4555-925a-5d037fc573dc'],26,,,,,,,,,,,,,,,,Poland,00:01:26.404,Pass,,105.3,73.3,111.3,66.9,,,
,,,,,,,,,,,,,,,0.730766,,,,,,,,,,,,,,,8618c31a-4be2-40f2-a1bc-22f098829fba,103,,"[112.3, 65.4]",3788762,1,,,,-2.6322916,,Left Foot,,,,"[104.6, 61.1]",,Low Pass,,8.819297,,,,Piotr Zieliński,,,,,,,1,From Throw In,Karol Świderski,8836.0,Right Center Forward,7,Poland,789,"['470b7b8e-bb99-4d0b-87d9-75916ac3429d', '7301087a-7837-43ea-ac43-b6caa69f8610']",27,,,,,,,,,,,,,,,,Poland,00:01:27.166,Pass,True,112.3,65.4,104.6,61.1,,,
,,,,,,,,,,,,,,,2.016416,,,,,,,,,,,,,,,c1442483-b0c1-43f8-9a72-7aeba254a18b,114,,"[14.0, 10.6]",3788762,1,,,,1.1616402,,Right Foot,,,,"[33.6, 55.8]",,High Pass,,49.26662,,,,Gerard Moreno Balaguero,,,True,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,8,Spain,772,"['0bb2640b-e5a4-4cfc-b5f0-7a2d979fa8d4', '8c031b57-3b60-4ced-a528-5b4aa4087c1a', 'd6de6ccb-f171-4a29-8652-9390e883ce19', 'e5a8ff68-e184-4ce7-93b3-7d0b1193f726']",33,,,,,,,,,,,,,,,,Spain,00:01:33.319,Pass,True,14.0,10.6,33.6,55.8,,,
,,,,,,,,,,,,,,,0.989388,,,,,,,,,,,,,,,7bec83c6-7a5e-43b0-8699-dbc966c42de6,118,,"[35.4, 35.2]",3788762,1,,,,-0.59389645,,Left Foot,,,,"[47.1, 27.3]",,Ground Pass,,14.117365,,,,Pedro González López,,,,,,,1,Regular Play,Gerard Moreno Balaguero,6766.0,Right Wing,8,Spain,772,['a4d4d758-6ceb-461d-a6e5-dc5a4e0337ab'],37,,,,,,,,,,,,,,,,Spain,00:01:37.425,Pass,,35.4,35.2,47.1,27.3,,,
,,,,,,,,,,,,,,,2.19653,,,,,,,,,,,,,,,899a6165-cf92-4ce6-9b07-f6325867e3af,120,,"[47.1, 27.3]",3788762,1,,,,1.3374025,,Right Foot,,,,"[56.3, 66.0]",,Low Pass,,39.77851,,,,Marcos Llorente Moreno,,,,,,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,8,Spain,772,['a15a0696-dc41-4279-84dc-afe3ca7e22bb'],38,,,,,,,,,,,,,,,,Spain,00:01:38.414,Pass,,47.1,27.3,56.3,66.0,,,
,,,,,,,,,,,,,,,0.963621,,,,,,,,,,,,,,,b7d104da-b696-4d48-a2c5-e47602a09b9e,128,,"[80.3, 55.8]",3788762,1,,,,-2.4830267,,Right Foot,,,,"[71.9, 49.3]",,Ground Pass,,10.621205,,,,Rodrigo Hernández Cascante,,,,,,,1,Regular Play,Marcos Llorente Moreno,6840.0,Right Back,8,Spain,772,"['30cb9c66-dd7c-4f34-946f-0c8a7c13b29d', '646936c9-68cd-4c12-b227-fb81a9688cf5']",46,,,,,,,,,,,,,,,,Spain,00:01:46.580,Pass,True,80.3,55.8,71.9,49.3,,,
,,,,,,,,,,,,,,,0.8479,,,,,,,,,,,,,,,0bfa8e44-75e7-4cf0-8e7c-8d76b02cd2ce,131,,"[72.1, 49.3]",3788762,1,,,,-1.671297,,Right Foot,,,,"[70.9, 37.4]",,Ground Pass,,11.960351,,,,Jorge Resurrección Merodio,,,,,,,1,Regular Play,Rodrigo Hernández Cascante,6765.0,Center Defensive Midfield,8,Spain,772,['fd1e5773-8207-44b7-99b8-bfe71985e727'],48,,,,,,,,,,,,,,,,Spain,00:01:48.073,Pass,,72.1,49.3,70.9,37.4,,,
