ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.329664,,,,,,,,,5e90162c-e72b-4b40-8c51-cf032c152aae,54,,"[53.5, 52.8]",3788749,1,,,,,1.0708325,,Right Foot,,,"[65.9, 75.5]",,Ground Pass,,25.866001,,,,Kamil Jóźwiak,,,,,,1,From Free Kick,Bartosz Bereszyński,5673.0,Right Center Back,4,Poland,789,"['3202df5d-d032-41b6-b53b-02f1b3e7c3c8', '95801c01-8ad7-412c-b787-57f1dbdb0a15']",16,,,,,,,,,,,,,,Poland,00:01:16.584,Pass,True,53.5,52.8,65.9,75.5,,,
,,,,,,,,,,,,,,,,,2.139127,,,,,,,,,3c58e026-dd7d-4302-a6b5-6132457a6f9f,69,,"[81.8, 12.2]",3788749,2,,,,,0.86148417,,Left Foot,,,"[112.7, 48.2]",,High Pass,,47.442703,,,,Peter Pekarík,,,,,Free Kick,1,From Free Kick,Marek Hamšík,7025.0,Center Attacking Midfield,6,Slovakia,908,['6e6ead7c-0d35-45db-99a8-8664080d9233'],34,,,,,,,,,,,,,,Slovakia,00:02:34.080,Pass,,81.8,12.2,112.7,48.2,,,
,,,,,,,,,,,,,,,,,1.269931,,,,,,,,,c0fa3d84-7884-4f84-a650-d149087c2b7a,71,,"[113.1, 49.1]",3788749,2,,,,,-1.4683524,,Head,,,"[114.2, 38.4]",,High Pass,,10.756393,,Incomplete,,Milan Škriniar,,,,,,1,From Free Kick,Peter Pekarík,9722.0,Right Back,6,Slovakia,908,"['62d746d3-53f2-4164-98a4-c1832cf9a729', '7fcf4041-b13b-4f7d-b390-0e5952c862c5']",36,,,,,,,,,,,,,,Slovakia,00:02:36.219,Pass,,113.1,49.1,114.2,38.4,,,
,,,,,,,,,,,,,,,,,1.012132,,,,,,,,,76d6c7ad-474e-4814-8515-11ac3f4fc0b8,85,,"[22.3, 67.5]",3788749,2,,,,,0.50066775,,Right Foot,,,"[38.2, 76.2]",,Ground Pass,,18.124569,,,,Mateusz Andrzej Klich,,,,,,1,Regular Play,Kamil Jóźwiak,4673.0,Right Wing Back,7,Poland,789,['e11451df-9245-457b-becd-0ec94898e643'],45,,,,,,,,,,,,,,Poland,00:02:45.372,Pass,,22.3,67.5,38.2,76.2,,,
,,,,,,,,,,,,,,,,,0.06101,,,,,,,,,70e856f1-572a-4b9f-b2c1-811e09585fa0,89,,"[36.3, 76.6]",3788749,2,,,,,-0.36120376,,Right Foot,,,"[40.8, 74.9]",,Low Pass,,4.8104053,,Incomplete,,,,,,,,1,Regular Play,Mateusz Andrzej Klich,9622.0,Right Center Midfield,7,Poland,789,"['097d733e-baa3-49e5-b69e-1d44a1e9036d', '499ae16d-ef6b-4b7d-a077-55a330388f84']",47,,,,,,,,,,,,,,Poland,00:02:47.292,Pass,True,36.3,76.6,40.8,74.9,,,
,,,,,,,,,,,,,,,,,1.826834,,,,,,,,,297121e5-2295-4391-a1e0-6132f517131a,91,,"[58.1, 80.0]",3788749,2,,,,,-2.5876832,,,,,"[40.8, 69.3]",,Low Pass,,20.341583,,,,Bartosz Bereszyński,,,,,Throw-in,1,From Throw In,Kamil Jóźwiak,4673.0,Right Wing Back,8,Poland,789,['0a5bbfcd-c796-4ea7-9bee-e1a7055eadfd'],59,,,,,,,,,,,,,,Poland,00:02:59.966,Pass,,58.1,80.0,40.8,69.3,,,
,,,,,,,,,,,,,,,,,2.265753,,,,,,,,,83a8cb46-9ba8-4215-9690-20bf0ecd3adc,94,,"[40.6, 64.4]",3788749,3,,,,,-1.5835834,,Right Foot,,,"[40.1, 25.3]",,Ground Pass,,39.103195,,,,Jan Bednarek,,,,,,1,From Throw In,Bartosz Bereszyński,5673.0,Right Center Back,8,Poland,789,['92be04f3-b46e-4fb5-adf4-ce530ed6a350'],3,,,,,,,,,,,,,,Poland,00:03:03.021,Pass,,40.6,64.4,40.1,25.3,,,
,,,,,,,,,,,,,,,,,2.057986,,,,,,,,,747e6deb-53ee-4089-a5e5-c21cd5611ec5,97,,"[43.1, 23.2]",3788749,3,,,,,-1.0067804,,Right Foot,,,"[56.7, 1.7]",,Ground Pass,,25.440323,,,,Maciej Rybus,,,,,,1,From Throw In,Jan Bednarek,4626.0,Left Center Back,8,Poland,789,['5276997d-4043-4754-8e8d-c982f2b01bb1'],5,,,,,,,,,,,,,,Poland,00:03:05.962,Pass,,43.1,23.2,56.7,1.7,,,
,,,,,,,,,,,,,,,,,1.07242,,,,,,,,,6dfaa411-2f7b-4569-88a1-754e59ad1087,100,,"[54.9, 2.8]",3788749,3,,,,,2.458063,,Right Foot,,,"[42.5, 12.9]",,Ground Pass,,15.992811,,,,Jan Bednarek,,,,,,1,From Throw In,Maciej Rybus,5672.0,Left Wing Back,8,Poland,789,['19c2320a-e9ab-4507-a5f1-4f7d93966f63'],10,,,,,,,,,,,,,,Poland,00:03:10.233,Pass,,54.9,2.8,42.5,12.9,,,
,,,,,,,,,,,,,,,,,1.456113,,,,,,,,,e7c93e84-278b-443c-bade-5605648fdd56,103,,"[44.5, 16.6]",3788749,3,,,,,1.8576597,,Right Foot,,,"[38.6, 36.6]",,Ground Pass,,20.852098,,,,Kamil Glik,,,,,,1,From Throw In,Jan Bednarek,4626.0,Left Center Back,8,Poland,789,['2279c504-2ab8-49ff-a1fb-fa4b9125be85'],12,,,,,,,,,,,,,,Poland,00:03:12.375,Pass,,44.5,16.6,38.6,36.6,,,
,,,,,,,,,,,,,,,,,2.024489,,,,,,,,,ffb76c77-0464-4c7f-b181-c85386f478b3,106,,"[43.6, 43.1]",3788749,3,,,,,-1.1850936,,Right Foot,,,"[55.7, 13.3]",,Ground Pass,,32.16287,,,,Jan Bednarek,,,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,8,Poland,789,['0263f662-b059-4b75-b532-c4e27ce1de5f'],16,,,,,,,,,,,,,,Poland,00:03:16.165,Pass,,43.6,43.1,55.7,13.3,,,
,,,,,,,,,,,,,,,,,1.030982,,,,,,,,,9cf08906-9b65-4fb8-a75a-05b86d08f795,110,,"[55.8, 13.2]",3788749,3,,,,,0.043138687,,Right Foot,,,"[69.7, 13.8]",,Ground Pass,,13.912944,,,,Piotr Zieliński,,,,,,1,From Throw In,Jan Bednarek,4626.0,Left Center Back,8,Poland,789,['eba22c71-f0b9-4d02-83a2-788f903a6491'],18,,,,,,,,,,,,,,Poland,00:03:18.643,Pass,,55.8,13.2,69.7,13.8,,,
,,,,,,,,,,,,,,,,,0.964397,,,,,,,,,58b4dd1b-aa9c-4f6c-a675-5dc0b651da10,113,,"[68.9, 14.2]",3788749,3,,,,,1.9130919,,Right Foot,,,"[65.8, 22.9]",,Ground Pass,,9.2358,,,,Grzegorz Krychowiak,,,,,,1,From Throw In,Piotr Zieliński,5660.0,Left Center Forward,8,Poland,789,"['80849ca5-4423-4410-96e7-0274b0084e55', '9b9df3d4-8300-4413-8db6-3efe1bbcad3e']",19,,,,,,,,,,,,,,Poland,00:03:19.674,Pass,True,68.9,14.2,65.8,22.9,,,
,,,,,,,,,,,,,,,,,1.111784,,,,,,,,,4776c8d2-45f9-4e2e-84dc-6578774f903a,117,,"[67.9, 14.8]",3788749,3,,,,,-1.091277,,Left Foot,,,"[74.4, 2.3]",,Ground Pass,,14.089003,,,,Maciej Rybus,,,,,,1,From Throw In,Grzegorz Krychowiak,3637.0,Center Defensive Midfield,8,Poland,789,"['0d14adde-76fc-4e3b-a3c9-442b53348129', '338c2b9e-9093-48a7-a223-efef5b453284']",22,,,,,,,,,,,,,,Poland,00:03:22.044,Pass,True,67.9,14.8,74.4,2.3,,,
