ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,"[39.2, 5.3]",,,,,,,,,,,4.175906,,,,,,,,,,,,,,e75f8b15-ef78-472e-a113-9c7459346f09,656,,,"[39.2, 5.1]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio Rüdiger,3167.0,Left Center Back,26,Germany,770,"['4296ea80-fbb6-465e-b867-4f0644c60b96', 'cf0abdb7-a07e-4060-97df-033c02e35baa']",48,,,,,,,,,,,,,,Germany,00:13:48.211,Carry,,39.2,5.1,,,,,
,,"[42.4, 22.0]",,,,,,,,,,,1.320241,,,,,,,,,,,,,,51a9a2df-0591-4ddb-b6b5-c3e858c3e8e9,659,,,"[42.4, 31.2]",3788751,13,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Toni Kroos,5574.0,Left Defensive Midfield,26,Germany,770,"['d50601d8-f399-4e2e-a3e3-afa8c0add00d', 'de3676d0-4852-4cdd-b118-63b079bffb8b', 'ecf4cbb8-b5f4-4382-b850-76abf73831cc']",53,,,,,,,,,,,,,,Germany,00:13:53.931,Carry,True,42.4,31.2,,,,,
,,"[39.8, 45.5]",,,,,,,,,,,0.294492,,,,,,,,,,,,,,b59fa9fc-b459-45f1-85b6-aad16e92984f,670,,,"[39.8, 45.5]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,N''Golo Kanté,3961.0,Center Defensive Midfield,27,France,771,"['9d9e6791-4190-42f4-b604-794254e6c6eb', 'b2e51f99-b72e-4e29-a4fc-f488daf14d06']",6,,,,,,,,,,,,,,France,00:14:06.195,Carry,,39.8,45.5,,,,,
,,"[72.1, 3.4]",,,,,,,,,,,3.885014,,,,,,,,,,,,,,ed1ab55c-7cca-4dad-aa69-c3901450c7a1,673,,,"[38.6, 41.4]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Adrien Rabiot,3026.0,Left Center Midfield,27,France,771,"['12fcfef6-f18b-42fc-85ba-fe9fe647a824', '80df2cea-d896-46e5-bfd8-de31d8160874']",7,,,,,,,,,,,,,,France,00:14:07.211,Carry,,38.6,41.4,,,,,
,,"[44.6, 7.2]",,,,,,,,,,,1.222393,,,,,,,,,,,,,,e67d5110-017f-4368-b98b-79e8aef24929,676,,,"[44.6, 7.2]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lucas Hernández Pi,5484.0,Left Back,27,France,771,"['02eb6642-ab78-4cbd-8073-4c9c433e8823', '40d4abd7-34f7-41a9-9ba1-567c4eed7880']",12,,,,,,,,,,,,,,France,00:14:12.954,Carry,,44.6,7.2,,,,,
,,"[47.3, 9.1]",,,,,,,,,,,0.530836,,,,,,,,,,,,,,567863b1-3796-430f-820e-b961fe828db0,681,,,"[47.3, 9.1]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lucas Hernández Pi,5484.0,Left Back,27,France,771,"['2daa56de-1cfd-4636-b000-4d6f9b40ab2b', '844ef44f-7279-49db-a451-0b482168a8be']",16,,,,,,,,,,,,,,France,00:14:16.487,Carry,,47.3,9.1,,,,,
,,"[40.5, 26.2]",,,,,,,,,,,1.482486,,,,,,,,,,,,,,575168bd-169d-4bb4-bd99-9e8e20b625e8,684,,,"[40.5, 26.2]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Presnel Kimpembe,2999.0,Left Center Back,27,France,771,"['1f90d9ea-3dbd-4a01-a574-0074d334fcab', '61e0572c-83a6-4d2b-8444-d34ff1415be9']",18,,,,,,,,,,,,,,France,00:14:18.448,Carry,,40.5,26.2,,,,,
,,"[43.3, 46.3]",,,,,,,,,,,1.863084,,,,,,,,,,,,,,2110e686-32e2-46a3-886e-003488fd3f95,687,,,"[43.3, 46.3]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Raphaël Varane,5485.0,Right Center Back,27,France,771,"['9af66f3a-0ee7-4079-8e65-0cb8b7867f4a', 'c0f795f5-2831-4b20-a30d-4325648dd1e0']",21,,,,,,,,,,,,,,France,00:14:21.661,Carry,,43.3,46.3,,,,,
,,"[70.0, 63.9]",,,,,,,,,,,2.842902,,,,,,,,,,,,,,3a60df19-586d-44b6-ae15-71a006a7952c,690,,,"[52.7, 69.5]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Benjamin Pavard,5476.0,Right Back,27,France,771,"['82171ef6-1519-4392-befc-cf46b907a2d4', 'e6a9a2e9-8d5c-4192-9dc3-4194ca2b9a60']",25,,,,,,,,,,,,,,France,00:14:25.255,Carry,,52.7,69.5,,,,,
,,"[65.3, 73.9]",,,,,,,,,,,1.198059,,,,,,,,,,,,,,177c2c03-0aaa-432a-8bc9-f44336f1f65c,693,,,"[67.7, 75.2]",3788751,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antoine Griezmann,5487.0,Right Wing,27,France,771,"['6db49fdf-5328-4029-b8bd-31d34e9a8361', 'c6ff6847-fbfe-46c2-aa88-fc96f6dfb681', 'ed5509cc-46d7-4724-add4-880e84b818ac']",29,,,,,,,,,,,,,,France,00:14:29.063,Carry,True,67.7,75.2,,,,,
