50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.11167,,,,,,,,,,,,1db35dde-77e0-4d4e-ab68-85d2b03d9593,2348,,"[56.6, 1.0]",3795108,57,,,,,0.9385518,,Right Foot,,,,"[69.2, 18.2]",,Ground Pass,,21.32135,Incomplete,,Gerard Moreno Balaguero,,,,,,2,Regular Play,Daniel Olmo Carvajal,16532.0,Left Wing,101,Spain,772,"['576a3c53-2eec-4720-94d8-0281a0995039', 'a7c3a535-2991-4ccd-9531-5bba9e0cdc3c']",3,,,,,,,,,,,,,,,Spain,00:12:03.036,Pass,,56.6,1.0,69.2,18.2,,,
,,,,,,,,,,,,,,,,,1.043075,,,,,,,,,,,,45d938b6-0cd9-47d6-8a54-9d71a8acadc3,2351,,"[48.7, 14.8]",3795108,57,,,,,-1.8236027,,Left Foot,,,,"[45.6, 2.8]",,Low Pass,,12.39395,,,Jordi Alba Ramos,,,,,Recovery,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,101,Spain,772,['432c45ed-5188-4bc2-8524-064e96b57620'],5,,,,,,,,,,,,,,,Spain,00:12:05.837,Pass,,48.7,14.8,45.6,2.8,,,
,,,,,,,,,,,,,,,,,1.028382,,,,,,,,,,,,4063a70a-bbd4-46ee-9199-f1ef8323d775,2354,,"[45.6, 2.8]",3795108,57,,,,,-0.069886,,Left Foot,,,,"[55.6, 2.1]",,Ground Pass,,10.02447,,,Daniel Olmo Carvajal,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,101,Spain,772,['c142fe8d-2d2c-48a1-a16e-bde49045ae85'],6,,,,,,,,,,,,,,,Spain,00:12:06.960,Pass,,45.6,2.8,55.6,2.1,,,
,,,,,,,,,,,,,,,,,1.563807,,,,,,,,,,,,bd95bf5e-d517-442e-8154-f55fe226e3ca,2359,,"[57.5, 0.1]",3795108,57,,True,,,1.6744238,,,,,,"[56.2, 12.6]",,Low Pass,,12.567418,,,Daniel Olmo Carvajal,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,102,Spain,772,['cc920aa4-3edf-4fba-9b05-fc85283f725d'],22,,,,,,,,,,,,,,,Spain,00:12:22.721,Pass,,57.5,0.1,56.2,12.6,,,
,,,,,,,,,,,,,,,,,0.901825,,,,,,,,,,,,4a6e8e42-460b-4267-8fa4-31f93b91b171,2368,,"[67.1, 19.1]",3795108,57,,,,,-2.227092,,Left Foot,,,,"[54.7, 3.0]",,Ground Pass,,20.321663,,,Jordi Alba Ramos,,,,,,2,From Throw In,Gerard Moreno Balaguero,6766.0,Center Forward,102,Spain,772,['d89b686c-8d70-4c9e-b322-8671df0c9adb'],25,,,,,,,,,,,,,,,Spain,00:12:25.912,Pass,,67.1,19.1,54.7,3.0,,,
,,,,,,,,,,,,,,,,,0.696371,,,,,,,,,,,,2a02d44c-752c-47ab-bb48-1aa075d424c2,2371,,"[54.7, 3.0]",3795108,57,,,,,0.23602368,,Left Foot,,,,"[62.6, 4.9]",,Ground Pass,,8.125269,,,Pedro González López,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,102,Spain,772,['4d24ce9d-f8d0-4906-a779-9d7cae0de66a'],28,,,,,,,,,,,,,,,Spain,00:12:28.644,Pass,,54.7,3.0,62.6,4.9,,,
,,,,,,,,,,,,,,,,,0.509771,,,,,,,,,,,,530fc01a-5e6a-4c0b-94b5-e553da8c1e15,2375,,"[63.7, 4.8]",3795108,57,,,,,2.4203267,,Right Foot,,,,"[57.9, 9.9]",,Ground Pass,,7.7233415,,,Jordi Alba Ramos,,,,,,2,From Throw In,Pedro González López,30486.0,Left Center Midfield,102,Spain,772,['916a0740-10a2-49b4-abe3-1b52fb056c49'],29,,,,,,,,,,,,,,,Spain,00:12:29.381,Pass,,63.7,4.8,57.9,9.9,,,
,,,,,,,,,,,,,,,,,0.967032,,,,,,,,,,,,b305921f-a951-40f2-891d-cc50f151ca18,2378,,"[62.7, 11.3]",3795108,57,,,,,0.1867738,,Left Foot,,,,"[75.4, 13.7]",,Ground Pass,,12.924783,Unknown,,,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,102,Spain,772,,30,,,,,,,,,,,,,,,Spain,00:12:30.488,Pass,,62.7,11.3,75.4,13.7,,,
,,,,,,,,,,,,,,,,,1.594213,,,,,,,,,,,,f3b00514-dfe4-40a5-9bd4-bf7feed766f4,2382,,"[73.1, 16.2]",3795108,57,,,,,2.7209294,,Left Foot,,,,"[50.3, 26.4]",,Ground Pass,,24.97759,,,Pau Francisco Torres,,,,,Free Kick,2,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,103,Spain,772,['3163df45-c9d2-4d33-aff5-134722f38909'],44,,,,,,,,,,,,,,,Spain,00:12:44.936,Pass,,73.1,16.2,50.3,26.4,,,
,,,,,,,,,,,,,,,,,1.354287,,,,,,,,,,,,244227f1-170f-4fbd-af13-f768b08b8397,2385,,"[50.1, 26.4]",3795108,57,,,,,1.54887,,Left Foot,,,,"[50.6, 49.2]",,Ground Pass,,22.805481,,,Aymeric Laporte,,,,,,2,From Free Kick,Pau Francisco Torres,6892.0,Left Center Back,103,Spain,772,['ca9f44a6-475e-4fa5-be4e-768f9f7ddeaa'],47,,,,,,,,,,,,,,,Spain,00:12:47.695,Pass,,50.1,26.4,50.6,49.2,,,
