50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,1.014509,,,,,,,,,,8253f637-5ec1-4be6-bf5a-c977ab7e4761,48,,"[81.8, 4.4]",3795187,0,,,,2.921099,,Left Foot,,,,"[76.0, 5.7]",,Ground Pass,,5.9439044,,,,Raheem Sterling,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,3,England,768,['91f8e523-38cb-4ee4-9d2d-6ba61383f683'],41,,,,,,,,,,,,,,England,00:00:41.645,Pass,,81.8,4.4,76.0,5.7,,,
,,,,,,,,,,,,,,,,,,1.532485,,,,,,,,,,048dc148-b125-4f6f-b772-706083c197d2,52,,"[73.8, 6.2]",3795187,0,,,,3.0207963,,Right Foot,,,,"[56.5, 8.3]",,Ground Pass,,17.42699,,,,Harry Maguire,,,,,,1,Regular Play,Raheem Sterling,3233.0,Left Wing,3,England,768,"['5827d994-0364-4e17-8ec5-e28d22261f67', '9534fe66-f37f-4b99-a0e4-5b48a5593d25']",43,,,,,,,,,,,,,,England,00:00:43.195,Pass,True,73.8,6.2,56.5,8.3,,,
,,,,,,,,,,,,,,,,,,1.541467,,,,,,,,,,89598950-cdda-4a02-8b48-3a01631136e8,55,,"[50.9, 9.4]",3795187,0,,,,1.6840223,,Right Foot,,,,"[47.5, 39.3]",,Ground Pass,,30.09269,,,,John Stones,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['172060f8-46f5-4718-a523-51205c3fe77a'],45,,,,,,,,,,,,,,England,00:00:45.912,Pass,,50.9,9.4,47.5,39.3,,,
,,,,,,,,,,,,,,,,,,1.790823,,,,,,,,,,7dd0368c-1797-49a1-b5dc-4987791876dc,58,,"[48.0, 47.0]",3795187,0,,,,1.0732155,,Right Foot,,,,"[63.1, 74.8]",,Ground Pass,,31.636213,,,,Kyle Walker,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['e53b6cb1-4be8-43ea-b516-e55ffbfd57dd'],48,,,,,,,,,,,,,,England,00:00:48.345,Pass,,48.0,47.0,63.1,74.8,,,
,,,,,,,,,,,,,,,,,,1.130112,,,,,,,,,,d7f7adeb-f46f-4da9-aee4-17edeb8b3690,61,,"[63.4, 74.8]",3795187,0,,,,0.1798535,,Right Foot,,,,"[76.6, 77.2]",,Ground Pass,,13.416408,,,,Jadon Sancho,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Back,3,England,768,['1f8d2bfc-4597-4ea4-81a2-e82526ccc44f'],53,,,,,,,,,,,,,,England,00:00:53.250,Pass,,63.4,74.8,76.6,77.2,,,
,,,,,,,,,,,,,,,,,,1.523267,,,,,,,,,,279487de-5c32-44b2-82a8-62d2e8b24cdd,64,,"[71.1, 77.6]",3795187,0,,,,3.070845,,Right Foot,,,,"[58.4, 78.5]",,Ground Pass,,12.73185,,,,Kyle Walker,,,,,,1,Regular Play,Jadon Sancho,12423.0,Right Wing,3,England,768,['8e899b74-a91b-46c5-add6-9db72aff6714'],56,,,,,,,,,,,,,,England,00:00:56.162,Pass,,71.1,77.6,58.4,78.5,,,
,,,,,,,,,,,,,,,,,,2.029936,,,,,,,,,,e6cb7af5-ab69-46ef-af8b-dc8d901f4bbe,67,,"[56.9, 77.6]",3795187,0,,,,-1.6931331,,Right Foot,,,,"[52.4, 41.0]",,Ground Pass,,36.875603,,,,John Stones,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Back,3,England,768,['778ab5bd-d5e2-487f-9a4e-60cfa9b43db9'],59,,,,,,,,,,,,,,England,00:00:59.028,Pass,,56.9,77.6,52.4,41.0,,,
,,,,,,,,,,,,,,,,,,2.078373,,,,,,,,,,b436f7f1-f599-496d-a8c2-7ec305572dbb,70,,"[52.4, 41.0]",3795187,1,,,,-1.1263771,,Left Foot,,,,"[64.4, 15.8]",,Ground Pass,,27.911287,,,,Harry Maguire,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['94f85b5e-ab4b-42c6-8334-72d6fe83d310'],1,,,,,,,,,,,,,,England,00:01:01.098,Pass,,52.4,41.0,64.4,15.8,,,
,,,,,,,,,,,,,,,,,,0.989523,,,,,,,,,,530fe47c-177b-4be0-9bf9-ea5e8004122c,74,,"[77.5, 14.1]",3795187,1,,,,-0.5864828,,Right Foot,,,,"[92.7, 4.0]",,Ground Pass,,18.249657,,,,Luke Shaw,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,"['7452674c-0fe3-4423-8c09-4f7a2b460de9', 'f832e0d4-f5d8-492c-bcf3-7a02e5bf078a']",5,,,,,,,,,,,,,,England,00:01:05.152,Pass,True,77.5,14.1,92.7,4.0,,,
,,,,,,,,,,,,,,,,,,0.816581,,,,,,,,,,02a23afa-d8bc-4d1f-bc90-482b7f85da53,77,,"[94.6, 4.9]",3795187,1,,,,1.4012681,,Left Foot,,,,"[96.5, 16.0]",,Ground Pass,,11.261438,,,,Raheem Sterling,,,,,,1,Regular Play,Luke Shaw,3382.0,Left Back,3,England,768,['78e813c6-c18e-4cf1-928c-b15d7db1968f'],7,,,,,,,,,,,,,,England,00:01:07.784,Pass,,94.6,4.9,96.5,16.0,,,
