bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,"[98.5, 23.3]",,,,,,,,,,,,3.826677,,,,,,,,,,,,a79889f3-873e-4c84-9cee-bcff01a03686,1631,,"[94.9, 33.9]",3788770,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Eljif Elmas,16535.0,Center Attacking Midfield,68,North Macedonia,2358,"['25016d68-3d37-458c-9d1e-ff2a0b958e6c', 'c4881f4e-a3b8-43d2-bb96-82cf30a3fb89']",58,,,,,,,,,,,,,,North Macedonia,00:38:58.198,Carry,,94.9,33.9,,,,,
,,,,,,"[30.3, 41.4]",,,,,,,,,,,,3.643602,,,,,,,,,,,,e2eff8a6-3a0c-4351-9570-6faedcfb4901,1640,,"[20.6, 38.5]",3788770,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Matthijs de Ligt,8069.0,Center Back,69,Netherlands,941,"['a452e75a-2ef3-441a-b814-dbd0546a4c78', 'c4a89e7e-a8fb-4311-94c0-d00ff61161ca']",22,,,,,,,,,,,,,,Netherlands,00:39:22.061,Carry,,20.6,38.5,,,,,
,,,,,,"[37.1, 8.3]",,,,,,,,,,,,1.521494,,,,,,,,,,,,973774d0-1a2d-4f00-8064-8d45963012ee,1647,,"[31.0, 14.2]",3788770,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Daley Blind,3311.0,Left Center Back,69,Netherlands,941,"['0f485905-555d-47f4-964a-531b3fc3e33c', '54f3d972-47f6-4b2e-9e83-1a647957dec7']",32,,,,,,,,,,,,,,Netherlands,00:39:32.394,Carry,,31.0,14.2,,,,,
,,,,,,"[40.5, 46.8]",,,,,,,,,,,,0.588888,,,,,,,,,,,,620f005f-4c26-4497-9830-85129774d97c,1652,,"[39.1, 48.8]",3788770,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Darko Velkovski,30644.0,Right Center Back,70,North Macedonia,2358,"['8c62281e-7a5f-4f31-9a68-5a5cf0227453', '95d3c775-f0c7-43b9-9445-0c0fc0ebf07c']",38,,,,,,,,,,,,,,North Macedonia,00:39:38.148,Carry,,39.1,48.8,,,,,
,,,,,,"[61.6, 11.4]",,,,,,,,,,,,3.893339,,,,,,,,,,,,feeb9e89-843f-49bb-886a-7b8581b6910d,1657,,"[52.5, 18.3]",3788770,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eljif Elmas,16535.0,Center Attacking Midfield,70,North Macedonia,2358,"['85b0879f-3d86-4ec1-9ea1-aeef530807f8', 'cd239023-9cab-46a2-a2fb-dd289044367e']",42,,,,,,,,,,,,,,North Macedonia,00:39:42.365,Carry,,52.5,18.3,,,,,
,,,,,,"[87.9, 2.4]",,,,,,,,,,,,1.00048,,,,,,,,,,,,b079dbce-1f75-45c0-a261-b7900b27b090,1660,,"[81.5, 2.1]",3788770,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ezgjan Alioski,4713.0,Left Back,70,North Macedonia,2358,"['6a40da15-7a2d-441f-851b-bc68d471f082', 'da8042fb-6ab4-4ede-b75f-2a604c13f8b3']",48,,,,,,,,,,,,,,North Macedonia,00:39:48.298,Carry,,81.5,2.1,,,,,
,,,,,,"[75.3, 73.3]",,,,,,,,,,,,2.089177,,,,,,,,,,,,bf2be60a-0f37-4273-9510-5721d5f52abf,1674,,"[75.5, 72.2]",3788770,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Donyell Malen,15582.0,Left Center Forward,72,Netherlands,941,"['3d4b1165-8647-4c75-82c0-a3e40b36cf97', '94edbdd9-3ed1-4a3e-8975-6535afcefe44', 'ab5e0908-7cef-402e-94c3-55a573dc1fb4', 'cef0d305-b488-451a-830e-b5ca5b8b107c']",55,,,,,,,,,,,,,,Netherlands,00:40:55.642,Carry,True,75.5,72.2,,,,,
,,,,,,"[88.6, 38.8]",,,,,,,,,,,,0.270944,,,,,,,,,,,,f503b23b-3fef-4152-8b80-f316a25d05a7,1684,,"[86.2, 37.3]",3788770,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ryan Gravenberch,23230.0,Left Defensive Midfield,73,Netherlands,941,"['20858d75-7910-4571-afdc-5b195e117c25', '62c9d64d-2b99-4777-bef8-a7fece2e9ee6', '662973d0-3be2-451f-a588-c0d9999ba512']",10,,,,,,,,,,,,,,Netherlands,00:41:10.834,Carry,True,86.2,37.3,,,,,
,,,,,,"[7.7, 38.5]",,,,,,,,,,,,1.525435,,,,,,,,,,,,0850c348-3e6a-45e7-b01c-a1307555ef0f,1688,,"[6.7, 38.7]",3788770,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stole Dimitrievski,21397.0,Goalkeeper,74,North Macedonia,2358,"['7ba32d4f-254e-405a-94ee-dbfc1d094eaa', '99d63266-6bfe-4e2a-bde2-8c8c0a16c0eb']",14,,,,,,,,,,,,,,North Macedonia,00:41:14.005,Carry,,6.7,38.7,,,,,
,,,,,,"[20.5, 62.6]",,,,,,,,,,,,1.779634,,,,,,,,,,,,a8588b01-7c98-498b-9771-1e920948b44d,1691,,"[14.2, 61.2]",3788770,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stefan Ristovski,10592.0,Right Back,74,North Macedonia,2358,"['2edba062-f9b4-477d-852c-4c1f313cb2cd', 'ac628b0d-ed9a-4ce3-9b5d-22b9fcd0c2f0']",17,,,,,,,,,,,,,,North Macedonia,00:41:17.094,Carry,,14.2,61.2,,,,,
