ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.277214,,,,,,,,,,,,a343d134-767e-4728-816a-e07bf140c7da,56,,"[25.4, 60.4]",3788741,1,,,,,0.8077825,,Right Foot,,,"[38.5, 74.1]",,High Pass,,18.95521,,,,Kenan Karaman,,,,,,1,Regular Play,Merih Demiral,23558.0,Right Center Back,6,Turkey,909,['1a85215f-6fba-4deb-9201-f4db5b7ddc9c'],2,,,,,,,,,,,,,,Turkey,00:01:02.026,Pass,,25.4,60.4,38.5,74.1,,,
,,,,,,,,,,,,,,,,0.00414,,,,,,,,,,,,88922e0f-48b1-4d88-a94e-71567bec281c,60,,"[41.7, 76.0]",3788741,1,,,,,0.0,,Right Foot,,,"[45.7, 76.0]",,Low Pass,,4.0,,Incomplete,,Yusuf Yazıcı,,,,,,1,Regular Play,Kenan Karaman,8541.0,Right Midfield,6,Turkey,909,"['b1e5df0e-2f7b-464a-9f74-721b5bde3bfb', 'f3349ec5-86ea-4dbf-bd74-9ab67e28d574']",4,,,,,,,,,,,,,,Turkey,00:01:04.860,Pass,,41.7,76.0,45.7,76.0,,,
,,,,,,,,,,,,,,,,2.885991,,,,,,,,,,,,4f2688c7-da68-4f45-ac4d-ea990fbaa880,63,,"[64.3, 80.0]",3788741,1,,True,,,-2.664129,,,,,"[41.3, 68.1]",,Low Pass,,25.89614,,,,Merih Demiral,,,,,Throw-in,1,From Throw In,Mehmet Zeki Çelik,10349.0,Right Back,7,Turkey,909,['80dcef9a-13c7-4030-aeac-180c5ab9add2'],13,,,,,,,,,,,,,,Turkey,00:01:13.885,Pass,,64.3,80.0,41.3,68.1,,,
,,,,,,,,,,,,,,,,1.843121,,,,,,,,,,,,6ed19dd9-2684-4556-b2a5-c4be7d2048b9,65,,"[37.5, 64.1]",3788741,1,,,,,-2.317253,,Right Foot,,,"[15.3, 40.1]",,Ground Pass,,32.69312,,,,Uğurcan Çakır,,,,,,1,From Throw In,Merih Demiral,23558.0,Right Center Back,7,Turkey,909,['6d7ff446-694d-4ec4-ad36-1ff832200e85'],18,,,,,,,,,,,,,,Turkey,00:01:18.221,Pass,,37.5,64.1,15.3,40.1,,,
,,,,,,,,,,,,,,,,3.384064,,,,,,,,,,,,10d736cd-b935-40cd-ab9b-c83fca3fb5fc,68,,"[15.6, 41.2]",3788741,1,,,,,0.53985804,,Right Foot,,,"[68.0, 72.6]",,High Pass,,61.087807,,,,Kenan Karaman,,,,,,1,From Throw In,Uğurcan Çakır,30357.0,Goalkeeper,7,Turkey,909,['4f47f3ca-3c12-43f4-8b7d-1ad8cbd02423'],22,,,,,,,,,,,,,,Turkey,00:01:22.657,Pass,,15.6,41.2,68.0,72.6,,,
,,,,,,,,,,,,,,,,1.578937,,,,,,,,,,,,86c3125a-52b8-4caa-90a6-900a7e3419e7,72,,"[30.0, 0.1]",3788741,1,,True,,,2.2381885,,,,,"[12.9, 21.8]",,Low Pass,,27.627884,,,,Gianluigi Donnarumma,,,,,Throw-in,1,From Throw In,Giorgio Chiellini,6954.0,Left Center Back,8,Italy,914,['a00380f3-c3a0-4999-b0b9-484e8f96f5c1'],32,,,,,,,,,,,,,,Italy,00:01:32.900,Pass,,30.0,0.1,12.9,21.8,,,
,,,,,,,,,,,,,,,,1.893492,,,,,,,,,,,,8bf44833-21ad-4078-97aa-0db9d8157fe0,74,,"[15.4, 28.1]",3788741,1,,,,,1.2198496,,Right Foot,,,"[26.2, 57.6]",,Ground Pass,,31.414806,,,,Alessandro Florenzi,,,,,,1,From Throw In,Gianluigi Donnarumma,7036.0,Goalkeeper,8,Italy,914,['4adcf413-2b48-4d8d-988e-5acfd7b298fe'],37,,,,,,,,,,,,,,Italy,00:01:37.189,Pass,,15.4,28.1,26.2,57.6,,,
,,,,,,,,,,,,,,,,1.774589,,,,,,,,,,,,8c53b1c9-e2ee-4ba6-8c4f-ad36f6e9980d,77,,"[45.1, 70.8]",3788741,1,,,,,-2.075783,,Right Foot,,,"[36.2, 54.7]",,Ground Pass,,18.396194,,,,Leonardo Bonucci,,,,,,1,From Throw In,Alessandro Florenzi,6964.0,Right Back,8,Italy,914,['3fc34501-ae50-413f-a3b2-75a270e89dcd'],45,,,,,,,,,,,,,,Italy,00:01:45.271,Pass,,45.1,70.8,36.2,54.7,,,
,,,,,,,,,,,,,,,,1.677235,,,,,,,,,,,,2721d3f5-57b8-404e-a7ba-924d2828b93e,80,,"[41.0, 49.7]",3788741,1,,,,,-1.3158445,,Right Foot,,,"[50.2, 14.4]",,Ground Pass,,36.47917,,,,Giorgio Chiellini,,,,,,1,From Throw In,Leonardo Bonucci,7173.0,Right Center Back,8,Italy,914,['711bc31f-dd42-4d5a-85ab-2006adbf0a61'],48,,,,,,,,,,,,,,Italy,00:01:48.740,Pass,,41.0,49.7,50.2,14.4,,,
,,,,,,,,,,,,,,,,0.974406,,,,,,,,,,,,56244851-3916-408e-a0ec-cd35d74a666c,83,,"[55.2, 12.9]",3788741,1,,,,,-0.67828286,,Left Foot,,,"[65.5, 4.6]",,Ground Pass,,13.228001,,,,Leonardo Spinazzola,,,,,,1,From Throw In,Giorgio Chiellini,6954.0,Left Center Back,8,Italy,914,['431ce773-b19c-473b-865d-43ce830c74ee'],51,,,,,,,,,,,,,,Italy,00:01:51.721,Pass,,55.2,12.9,65.5,4.6,,,
