ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,cfb44ab6-c20d-4c1c-9b0e-909a8c47d207,60,,"[14.2, 5.1]",3788758,1,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Vitalii Mykolenko,20827.0,Left Back,5,North Macedonia,2358,,11,,,,,,,,,,,,,,,,Ukraine,00:01:11.957,Ball Recovery,,14.2,5.1,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,508f7de4-3d7f-452b-b400-7656a9500e06,102,,"[47.7, 23.6]",3788758,2,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Oleksandr Zinchenko,3575.0,Left Center Midfield,7,Ukraine,911,['26f91440-9a63-4f5b-b4c4-aa28adec8013'],15,,,,,,,,,,,,,,,,Ukraine,00:02:15.183,Ball Recovery,,47.7,23.6,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,77dc5c5f-9371-4cba-a59c-8918a4be5b74,113,,"[54.2, 29.8]",3788758,2,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ezgjan Alioski,4713.0,Left Wing Back,7,Ukraine,911,['d4328f61-31e9-4793-8e52-6a0987b2e969'],19,,,,,,,,,,,,,,,,North Macedonia,00:02:19.991,Ball Recovery,,54.2,29.8,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b4854fd2-47ca-4fa2-aa62-5290e51670cd,197,,"[98.8, 54.7]",3788758,4,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Oleksandr Karavaev,31900.0,Right Back,11,Ukraine,911,,2,,,,,,,,,,,,,,,,Ukraine,00:04:02.795,Ball Recovery,,98.8,54.7,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8e1a2dd5-df72-41a1-891b-038e16a12e3f,212,,"[76.2, 21.7]",3788758,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stefan Spirovski,46909.0,Center Defensive Midfield,13,North Macedonia,2358,,2,,,,,,,,,,,,,,,,North Macedonia,00:05:02.992,Ball Recovery,,76.2,21.7,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,06c55b65-bb36-49f5-bfb2-85259b4afc99,302,,"[111.3, 49.4]",3788758,7,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Oleksandr Karavaev,31900.0,Right Back,15,Ukraine,911,,15,,,,,,,,,,,,,,,,Ukraine,00:07:15.684,Ball Recovery,,111.3,49.4,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b144fa37-933d-419e-9546-0d42c5bbb1ca,307,,"[6.5, 33.9]",3788758,7,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Eljif Elmas,16535.0,Left Center Forward,15,Ukraine,911,,16,,,,,,,,,,,,,,,,North Macedonia,00:07:16.448,Ball Recovery,,6.5,33.9,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ad51d255-c2c0-4a69-916a-5efce3137f69,341,,"[12.6, 7.4]",3788758,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Vitalii Mykolenko,20827.0,Left Back,18,North Macedonia,2358,,3,,,,,,,,,,,,,,,,Ukraine,00:09:03.366,Ball Recovery,,12.6,7.4,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a7d5eb8e-e922-4c3d-9173-4ea57a2f22c7,364,,"[12.3, 8.3]",3788758,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mykola Shaparenko,21294.0,Right Center Midfield,20,Ukraine,911,,38,,,,,,,,,,,,,,,,Ukraine,00:09:38.250,Ball Recovery,,12.3,8.3,,,,,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9514fd2b-c8ac-475f-bf3f-1cf1c7f53182,399,,"[62.1, 2.8]",3788758,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Goran Pandev,7146.0,Right Center Forward,22,North Macedonia,2358,,31,,,,,,,,,,,,,,,,North Macedonia,00:10:31.816,Ball Recovery,,62.1,2.8,,,,,
