50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,1.472696,,,,,,,,,,,,,,7036d794-30c4-4060-87d5-22251b49e264,59,,,"[39.0, 44.4]",3795109,2,,,,,1.3946311,,Left Foot,,,,"[42.4, 63.5]",,Ground Pass,,19.400257,,,Pierre-Emile Højbjerg,,,,,,,1,Other,Andreas Christensen,3959.0,Right Center Back,6,Denmark,776,['86fde31e-15f9-47e0-a155-c161d6f4c865'],5,,,,,,,,,,,,,,,,Denmark,00:02:05.794,Pass,,39.0,44.4,42.4,63.5,,,
,,,,,,,,,,,,,,,,,,,2.75097,,,,,,,,,,,,,,8f55a66e-fcea-48a8-9b50-f8c9ed42d43f,63,,,"[41.8, 61.8]",3795109,2,,,,,-2.675509,,Right Foot,,,,"[9.0, 45.3]",,Ground Pass,,36.716347,,,Kasper Schmeichel,,,,,,,1,Other,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,6,Denmark,776,"['76d1e493-453b-485a-811a-bc2acabedfce', '9b651c2d-ef87-4bf4-916f-2f9aeb6cd820']",8,,,,,,,,,,,,,,,,Denmark,00:02:08.552,Pass,True,41.8,61.8,9.0,45.3,,,
,,,,,,,,,,,,,,,,,,,2.831203,,,,,,,,,,,,,,36fc9e77-386b-4d31-94a8-e7144d7ed78d,66,,,"[8.4, 42.7]",3795109,2,,,,,-1.0476707,,Right Foot,,,,"[30.2, 4.9]",,High Pass,,43.635765,,,Joakim Mæhle,,,,,,,1,Other,Kasper Schmeichel,3815.0,Goalkeeper,6,Denmark,776,['ebbacee7-894e-4786-afa7-2dadb9f86d58'],17,,,,,,,,,,,,,,,,Denmark,00:02:17.420,Pass,,8.4,42.7,30.2,4.9,,,
,,,,,,,,,,,,,,,,,,,1.79771,,,,,,,,,,,,,,d3b58dbe-ff26-4f8c-ae2c-67bc9ef028d1,69,,,"[36.0, 4.0]",3795109,2,,,,,2.56112,,Right Foot,,,,"[20.6, 14.1]",,Ground Pass,,18.416569,,,Jannik Vestergaard,,,,,,,1,Other,Joakim Mæhle,16554.0,Left Wing Back,6,Denmark,776,['506ddefb-195a-41ef-87fd-fc3f054ef6cf'],21,,,,,,,,,,,,,,,,Denmark,00:02:21.820,Pass,,36.0,4.0,20.6,14.1,,,
,,,,,,,,,,,,,,,,,,,1.323266,,,,,,,,,,,,,,09113676-c5ab-4942-a678-e8ffd5760d0b,72,,,"[20.6, 20.9]",3795109,2,,,,,1.6872878,,Right Foot,,,,"[18.4, 39.7]",,Ground Pass,,18.928286,,,Simon Thorup Kjær,,,,,,,1,Other,Jannik Vestergaard,8815.0,Left Center Back,6,Denmark,776,['1811af68-ec13-439d-b07f-d0a661e56037'],25,,,,,,,,,,,,,,,,Denmark,00:02:25.388,Pass,,20.6,20.9,18.4,39.7,,,
,,,,,,,,,,,,,,,,,,,3.17654,,,,,,,,,,,,,,5cc20189-2975-48ce-94f3-5cc4674daffb,75,,,"[19.1, 40.4]",3795109,2,,,,,0.44334227,,Right Foot,,,,"[76.8, 67.8]",,High Pass,,63.87527,,,Jens Stryger Larsen,,,,,,,1,Other,Simon Thorup Kjær,5534.0,Center Back,6,Denmark,776,['2bba1816-b791-4963-9964-60e300485404'],28,,,,,,,,,,,,,,,,Denmark,00:02:28.405,Pass,,19.1,40.4,76.8,67.8,,,
,,,,,,,,,,,,,,,,,,,1.163859,,,,,,,,,,,,,,dc8d205a-a87e-4f8e-b1a8-c11d561d607a,77,,,"[76.8, 67.8]",3795109,2,,,,True,-2.101012,,,,,,"[73.4, 62.0]",,High Pass,,6.7230945,Incomplete,,,,,,,,,1,Other,Jens Stryger Larsen,5524.0,Right Wing Back,6,Denmark,776,"['130148c9-b81e-49d7-adca-ed82d8dadc2f', '36cb7c97-b0e7-446a-8786-2e9702a7fe86']",31,,,,,,,,,,,,,,,,Denmark,00:02:31.582,Pass,True,76.8,67.8,73.4,62.0,,,
,,,,,,,,,,,,,,,,,,,0.832046,,,,,,,,,,,,,,130148c9-b81e-49d7-adca-ed82d8dadc2f,79,,,"[46.7, 18.1]",3795109,2,,True,,,-0.19032854,,Head,,,,"[57.6, 16.0]",,Low Pass,,11.1004505,,,Antonín Barák,,,,,,Recovery,1,Regular Play,Tomáš Holeš,16469.0,Right Center Midfield,7,Czech Republic,912,"['42d0ebaa-76a7-47b2-8975-74225e65863a', 'dc8d205a-a87e-4f8e-b1a8-c11d561d607a']",32,,,,,,,,,,,,,,,,Czech Republic,00:02:32.746,Pass,,46.7,18.1,57.6,16.0,,,
,,,,,,,,,,,,,,,,,,,1.278538,,,,,,,,,,,,,,126b137a-4c65-4c77-bdcd-8db2c366a28c,85,,,"[64.4, 72.7]",3795109,2,,,,,-2.283154,,Right Foot,,,,"[62.5, 70.5]",,Ground Pass,,2.9068885,Unknown,,Pierre-Emile Højbjerg,,,,,,,1,Regular Play,Mikkel Damsgaard,24443.0,Right Attacking Midfield,7,Czech Republic,912,['0e49b281-9afe-4f05-854e-c386ccc313c8'],37,,,,,,,,,,,,,,,,Denmark,00:02:37.058,Pass,,64.4,72.7,62.5,70.5,,,
,,,,,,,,,,,,,,,,,,,2.221784,,,,,,,,,,,,,,8ccf28c3-6c16-420a-915d-85315dcd5916,89,,,"[61.9, 71.2]",3795109,2,,,,,-0.23494136,,Right Foot,,,,"[99.5, 62.2]",,Ground Pass,,38.662125,Incomplete,,Martin Braithwaite Christensen,,,,,,Free Kick,1,From Free Kick,Andreas Christensen,3959.0,Right Center Back,8,Denmark,776,"['2ffad554-8236-4e32-ac5c-f6c0be2d1602', '908a8043-15fa-48a0-8374-6237479ec878']",57,,,,,,,,,,,,,,,,Denmark,00:02:57.811,Pass,,61.9,71.2,99.5,62.2,,,
