50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,0.826986,,,,,,,,,,,,,,c78ded98-a774-43cf-8881-402b96b08ef8,1892,,,"[3.8, 23.1]",3788752,46,,,,-1.6771892,,Left Foot,,,"[2.7, 12.8]",,Ground Pass,10.358571,,,,,Attila Szalai,,,,,Recovery,2,From Goal Kick,András Schäfer,42822.0,Left Center Midfield,94,Hungary,916,"['6ae56130-fa18-4f6c-a79c-6f332eb93873', '8756b3f3-bd0a-455d-ad27-f4bcfa46bb59']",14,,,,,,,,,,,,,,,Hungary,00:01:14.039,Pass,True,3.8,23.1,2.7,12.8,,,
,,,,,,,,,,,,,,,,,,,1.270351,,,,,,,,,,,,,,4e3766c3-4632-406e-a397-66735cdbe6a6,1895,,,"[2.7, 12.8]",3788752,46,,,,1.709436,,Left Foot,,,"[1.5, 21.4]",,Low Pass,8.683317,,,,,András Schäfer,,,,,,2,From Goal Kick,Attila Szalai,46376.0,Left Center Back,94,Hungary,916,['1c0b0e5d-090d-47ba-8b46-f925a8161c5f'],15,,,,,,,,,,,,,,,Hungary,00:01:15.017,Pass,,2.7,12.8,1.5,21.4,,,
,,,,,,,,,,,,,,,,,,,1.607444,,,,,,,,,,,,,,e9579d3c-c7fb-4959-b8eb-c85159df9c2d,1897,,,"[1.5, 21.4]",3788752,46,,,,-1.0097713,,Left Foot,,,"[10.8, 6.6]",,High Pass,17.479416,,,,,Attila Szalai,,,,,,2,From Goal Kick,András Schäfer,42822.0,Left Center Midfield,94,Hungary,916,['0da0cbc2-6023-43d1-855c-4cdfca4f6788'],16,,,,,,,,,,,,,,,Hungary,00:01:16.287,Pass,,1.5,21.4,10.8,6.6,,,
,,,,,,,,,,,,,,,,,,,0.145754,,,,,,,,,,,,,,699fdfba-558d-4a3f-9fc0-521b06369720,1903,,,"[114.5, 73.5]",3788752,46,,,,-1.6030432,,Right Foot,,,"[114.3, 67.3]",,Low Pass,6.203225,,,Incomplete,,,,,,,,2,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,95,Portugal,780,['eebce88e-4794-425a-a0c9-73909c800173'],20,,,,,,,,,,,,,,,Portugal,00:01:20.279,Pass,,114.5,73.5,114.3,67.3,,,
,,,,,,,,,,,,,,,,,,,1.797918,,,,,,,,,,,,,,17f44214-0d18-45f4-ac97-788be61bf9fb,1905,,,"[120.0, 80.0]",3788752,46,,,,-1.8187512,73bb4111-6706-4f98-a0f3-b15cd892d1cf,Left Foot,,,"[108.0, 32.6]",,High Pass,48.895397,,,,True,Kléper Laveran Lima Ferreira,True,True,Outswinging,,Corner,2,From Corner,Bruno Miguel Borges Fernandes,5204.0,Center Attacking Midfield,96,Portugal,780,['53cd1443-1988-460b-9189-0f29fcb8e163'],51,,,,,,,,,,,,,,,Portugal,00:01:51.894,Pass,,120.0,80.0,108.0,32.6,,,
,,,,,,,,,,,,,,,,,,,0.995333,,,,,,,,,,,,,,340b76b9-c1a0-4f64-add5-2e6f62f95b97,1920,,,"[3.8, 72.2]",3788752,47,,,,0.7022569,,Right Foot,,,"[10.3, 77.7]",,Ground Pass,8.514693,,,,,László Kleinheisler,,,,,,2,From Corner,Endre Botka,31887.0,Right Center Back,96,Portugal,780,['62811110-2d9f-4fdb-9467-6326e0828254'],6,,,,,,,,,,,,,,,Hungary,00:02:06.948,Pass,,3.8,72.2,10.3,77.7,,,
,,,,,,,,,,,,,,,,,,,0.911817,,,,,,,,,,,,,,551022d7-f22a-4d7d-9a4a-a6c4b9a344a3,1926,,,"[105.2, 0.1]",3788752,47,,,,0.5880026,,,,,"[112.4, 4.9]",,Low Pass,8.653323,,,,,Diogo José Teixeira da Silva,,,,,Throw-in,2,From Throw In,Raphaël Adelino José Guerreiro,5209.0,Left Back,97,Portugal,780,['53b67267-0d73-41a8-85d5-4d6c7d1fa793'],23,,,,,,,,,,,,,,,Portugal,00:02:23.702,Pass,,105.2,0.1,112.4,4.9,,,
,,,,,,,,,,,,,,,,,,,0.852465,,,,,,,,,,,,,,69ce84f2-f150-43a9-be05-2134f157c76b,1929,,,"[112.4, 4.8]",3788752,47,,,,-2.7138577,,Other,,,"[105.6, 1.7]",,Low Pass,7.4732857,,,,,Raphaël Adelino José Guerreiro,,,,,,2,From Throw In,Diogo José Teixeira da Silva,9929.0,Left Wing,97,Portugal,780,"['281b8582-547a-4fac-bbc6-79a7bcf6e5f1', '50fc1b79-2087-4247-b096-cf010bd34ca1']",24,,,,,,,,,,,,,,,Portugal,00:02:24.614,Pass,True,112.4,4.8,105.6,1.7,,,
,,,,,,,,,,,,,,,,,,,0.690377,,,,,,,,,,,,,,175c61b0-d987-4066-9e5f-69a48e3031b8,1932,,,"[105.6, 1.7]",3788752,47,,,,1.5707964,,Left Foot,,,"[105.6, 5.8]",,Ground Pass,4.1,,,,,Diogo José Teixeira da Silva,,,,,,2,From Throw In,Raphaël Adelino José Guerreiro,5209.0,Left Back,97,Portugal,780,['3b8536ee-5f28-4e98-a97a-7a02a62650ac'],25,,,,,,,,,,,,,,,Portugal,00:02:25.894,Pass,,105.6,1.7,105.6,5.8,,,
,,,,,,,,,,,,,,,,,,,1.002046,,,,,,,,,,,,,,bd54a1a8-bb39-4484-a3b3-cf221cb728ed,1934,,,"[105.6, 5.8]",3788752,47,,,,-0.24497867,,Left Foot,,,"[112.8, 4.0]",,Ground Pass,7.4215903,,,Incomplete,,Raphaël Adelino José Guerreiro,,,,,,2,From Throw In,Diogo José Teixeira da Silva,9929.0,Left Wing,97,Portugal,780,"['026a7815-70e9-41e6-8e9e-70dc0c8cd7ff', '34adc286-56c3-4e5c-89df-9f65bd60a0e4']",26,,,,,,,,,,,,,,,Portugal,00:02:26.584,Pass,,105.6,5.8,112.8,4.0,,,
