50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,"[58.3, 9.0]",,,,,,,,,,,,1.316119,,,,,,,,,,,,,1fccf51f-6885-47a7-80d4-b5c3723a7f9b,3440,,,"[62.1, 6.8]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kieran Tierney,10540.0,Left Center Back,170,Scotland,942,"['7b55e130-63d8-4c49-9e17-ab331aee421d', '8e91d47a-fe29-4779-b684-1c99c51aaa58', 'f35c13bc-b2fc-4a2f-b6f2-67c470f74149']",14,,,,,,,,,,,,,,,Scotland,00:43:14.095,Carry,True,62.1,6.8,,,,,
,,,,"[37.3, 25.0]",,,,,,,,,,,,1.656792,,,,,,,,,,,,,e5743740-ee13-4bc9-bc15-ea3b21a53550,3444,,,"[46.9, 24.3]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Scott McKenna,10002.0,Right Center Back,170,Scotland,942,"['03bc9955-bfad-486e-92f1-ab164a888bfb', 'b2c03274-6046-4633-a88e-664279bb6f6f']",16,,,,,,,,,,,,,,,Scotland,00:43:16.499,Carry,,46.9,24.3,,,,,
,,,,"[21.6, 50.4]",,,,,,,,,,,,0.715835,,,,,,,,,,,,,76a399ef-eeff-438a-9b80-bee730942ea6,3447,,,"[20.2, 49.2]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,David Marshall,9645.0,Goalkeeper,170,Scotland,942,"['9b856e76-4325-4558-bce7-0e6ce5b6550b', 'a5e40dad-0adf-4ae2-8efe-4a6377a7b5b6']",21,,,,,,,,,,,,,,,Scotland,00:43:21.197,Carry,,20.2,49.2,,,,,
,,,,"[54.4, 30.3]",,,,,,,,,,,,2.911092,,,,,,,,,,,,,598d194c-954a-4686-9f1c-a1ea6972a7c7,3450,,,"[37.2, 37.5]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Callum McGregor,10534.0,Center Defensive Midfield,170,Scotland,942,"['29fa4b9d-328b-4a43-99e1-d0c9a2f35ad5', 'ff7dbef1-0f1b-4c47-9771-f0ddc8248a4e']",23,,,,,,,,,,,,,,,Scotland,00:43:23.128,Carry,,37.2,37.5,,,,,
,,,,"[62.6, 22.0]",,,,,,,,,,,,0.750018,,,,,,,,,,,,,d9447b05-d5d6-4960-b5ae-a0db4d19130e,3455,,,"[57.9, 24.6]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Callum McGregor,10534.0,Center Defensive Midfield,170,Scotland,942,"['3de6bb88-3295-40f9-8ef6-9204ff5727a2', '81308d01-6cc7-471a-80fa-318e75f7e77d', 'd443e638-9037-4f40-9d53-cc65b4f7a07d']",27,,,,,,,,,,,,,,,Scotland,00:43:27.496,Carry,True,57.9,24.6,,,,,
,,,,"[70.0, 6.4]",,,,,,,,,,,,2.311763,,,,,,,,,,,,,d90c209d-c75d-443e-b1b4-7a9444f205dc,3459,,,"[70.0, 6.4]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ryan Fraser,3581.0,Left Center Midfield,170,Scotland,942,"['54b61a25-85d1-4199-aef7-6b43361d9e03', '929f4a18-4145-456f-b4fc-863e05499816']",29,,,,,,,,,,,,,,,Scotland,00:43:29.584,Carry,,70.0,6.4,,,,,
,,,,"[91.3, 5.4]",,,,,,,,,,,,3.530723,,,,,,,,,,,,,29868e7d-b645-4257-9893-3e6c97e78b71,3464,,,"[85.1, 7.6]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Callum McGregor,10534.0,Center Defensive Midfield,170,Scotland,942,"['4d614279-e7c9-459a-a189-5a4d9722f9a6', '925a54c8-0b2f-4ddb-bc7c-bab1c6623fcf', 'cda8e68a-cba5-457f-9b01-096a43cf2d92']",34,,,,,,,,,,,,,,,Scotland,00:43:34.147,Carry,True,85.1,7.6,,,,,
,,,,"[57.0, 21.3]",,,,,,,,,,,,1.263944,,,,,,,,,,,,,dbc1110c-89b8-4c18-a372-64a2edf1068a,3470,,,"[58.3, 16.2]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Andrew Robertson,3655.0,Left Back,171,Scotland,942,"['96466681-f455-44f9-a388-e3af8ef5d367', 'b9a037d5-70e6-4d1a-83de-5de1ea5cec63']",44,,,,,,,,,,,,,,,Scotland,00:43:44.471,Carry,,58.3,16.2,,,,,
,,,,"[50.3, 44.6]",,,,,,,,,,,,0.04,,,,,,,,,,,,,5d5fcb5b-4cf8-44a3-ad60-bbb8c9e0c584,3473,,,"[50.3, 44.6]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Scott McKenna,10002.0,Right Center Back,171,Scotland,942,"['1879e2d7-abb2-4c46-a407-7ec1398764a6', 'e6874748-c939-4fb4-853d-b5777b768ea9']",47,,,,,,,,,,,,,,,Scotland,00:43:47.981,Carry,,50.3,44.6,,,,,
,,,,"[68.6, 47.0]",,,,,,,,,,,,0.980787,,,,,,,,,,,,,45b19bb4-33a5-4870-971d-d504800f481d,3476,,,"[68.8, 47.8]",3788771,88,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,John McGinn,9974.0,Center Attacking Midfield,171,Scotland,942,"['3989862b-8e89-4a0a-b73f-44a2cf7ed64e', '4d01910b-fa2e-4270-8eeb-9959831f18ed']",49,,,,,,,,,,,,,,,Scotland,00:43:49.445,Carry,,68.8,47.8,,,,,
