ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,2.372732,,,,,,,,,,,,,,7da2b12d-49fc-4b9a-ba2e-8a2c4e94f589,1893,,,"[55.4, 76.0]",3788754,45,,,,-0.61916137,,Left Foot,,,"[72.8, 63.6]",,Low Pass,,21.36633,,,,,Breel-Donald Embolo,,,,,,1,Regular Play,Kevin Mbabu,16027.0,Right Wing Back,77,Switzerland,773,['951f2d9c-002b-4ec4-ad51-b4c858419304'],17,,,,,,,,,,,,,,,Switzerland,00:45:17.939,Pass,,55.4,76.0,72.8,63.6,,,
,,,,,,,,,,,,,,,,2.137427,,,,,,,,,,,,,,93e78be7-2377-4e6a-9e45-5c8df6e1d14d,1897,,,"[71.3, 62.6]",3788754,45,,,,-1.4325533,,Right Foot,,,"[74.5, 39.6]",,High Pass,,23.221542,,,,,Xherdan Shaqiri,,,,,,1,Regular Play,Breel-Donald Embolo,5545.0,Left Center Forward,77,Switzerland,773,['d5943c9c-02cd-4dff-bd02-2a65ea38304f'],20,,,,,,,,,,,,,,,Switzerland,00:45:20.328,Pass,,71.3,62.6,74.5,39.6,,,
,,,,,,,,,,,,,,,,0.730225,,,,,,,,,,,,,,caae797c-62f6-4dc3-983e-f6f63d2c4081,1899,,,"[74.5, 43.4]",3788754,45,,,,2.328804,,Head,,,"[67.4, 50.9]",,Low Pass,,10.327633,,,,,Granit Xhaka,,,,,,1,Regular Play,Xherdan Shaqiri,3533.0,Center Attacking Midfield,77,Switzerland,773,['7771e2f1-141c-4130-8712-3c5558b601ff'],22,,,,,,,,,,,,,,,Switzerland,00:45:22.466,Pass,,74.5,43.4,67.4,50.9,,,
,,,,,,,,,,,,,,,,1.149239,,,,,,,,,,,,,,32fa39d7-ab47-4e24-9634-9fcd20f603b7,1902,,,"[67.0, 51.4]",3788754,45,,,,-1.5521069,,Left Foot,,,"[67.2, 40.7]",,Ground Pass,,10.701869,,,,,Xherdan Shaqiri,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,77,Switzerland,773,['7268592d-ca77-44a1-9cb6-de5163e174a4'],23,,,,,,,,,,,,,,,Switzerland,00:45:23.849,Pass,,67.0,51.4,67.2,40.7,,,
,,,,,,,,,,,,,,,,1.019982,,,,,,,,,,,,,,58168174-cefd-4f27-812d-5786cf6c697c,1906,,,"[63.6, 35.1]",3788754,45,,,,1.7263912,,Left Foot,,,"[62.0, 45.3]",,Ground Pass,,10.324728,,,,,Granit Xhaka,,,,,,1,Regular Play,Xherdan Shaqiri,3533.0,Center Attacking Midfield,77,Switzerland,773,['179333d8-340c-4670-8f75-ed51782a8e0e'],27,,,,,,,,,,,,,,,Switzerland,00:45:27.414,Pass,,63.6,35.1,62.0,45.3,,,
,,,,,,,,,,,,,,,,1.26421,,,,,,,,,,,,,,e6a7fdc8-cdf0-44bf-b5b7-98348eea79e2,1909,,,"[63.8, 44.6]",3788754,45,,,,-1.0749018,,Left Foot,,,"[70.4, 32.4]",,Ground Pass,,13.870832,,,,,Xherdan Shaqiri,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,77,Switzerland,773,['78878807-2a97-45d9-99f6-a7850e98a628'],29,,,,,,,,,,,,,,,Switzerland,00:45:29.696,Pass,,63.8,44.6,70.4,32.4,,,
,,,,,,,,,,,,,,,,1.410139,,,,,,,,,,,,,,8991dc37-b86f-41df-88c4-0c0a2f82079e,1913,,,"[66.5, 36.5]",3788754,45,,,,2.3617194,,Right Foot,,,"[57.4, 45.5]",,Ground Pass,,12.798828,,,,,Fabian Lukas Schär,,,,,,1,Regular Play,Xherdan Shaqiri,3533.0,Center Attacking Midfield,77,Switzerland,773,['713153e5-2232-42f7-bcd2-94d2aa549273'],33,,,,,,,,,,,,,,,Switzerland,00:45:33.554,Pass,,66.5,36.5,57.4,45.5,,,
,,,,,,,,,,,,,,,,0.986784,,,,,,,,,,,,,,ba990a01-9252-4b54-ade3-c08f21db7b48,1917,,,"[63.6, 56.8]",3788754,45,,,,-0.36947116,,Right Foot,,,"[84.0, 48.9]",,Ground Pass,,21.876244,,,Incomplete,,Breel-Donald Embolo,,,,,,1,Regular Play,Fabian Lukas Schär,5537.0,Center Back,77,Switzerland,773,"['45c32361-0305-4209-b044-5f8ee8fa75ae', '8c26ada0-3e39-46d0-8667-a3508d38533e', 'a8af4c8a-93f2-4b03-ba7f-edecfa8a1c4f']",37,,,,,,,,,,,,,,,Switzerland,00:45:37.017,Pass,True,63.6,56.8,84.0,48.9,,,
,,,,,,,,,,,True,,,,,1.185293,,,,,,,,,,,,,,8c26ada0-3e39-46d0-8667-a3508d38533e,1919,,,"[36.1, 31.2]",3788754,45,,,,-0.32606086,,Left Foot,,,"[50.0, 26.5]",,Ground Pass,,14.673104,,,,,Ciro Immobile,,,,,Interception,1,From Counter,Manuel Locatelli,7038.0,Left Center Midfield,78,Italy,914,"['6bd38223-9396-4b25-9f5f-3ca1308c5048', 'ba990a01-9252-4b54-ade3-c08f21db7b48']",38,,,,,,,,,,,,,,,Italy,00:45:38.003,Pass,,36.1,31.2,50.0,26.5,,,
,,,,,,,,,,,,,,,,2.012178,,,,,,,,,,,,,,bff5d9f3-551d-4fac-96c4-0a6383068f50,1923,,,"[64.1, 27.3]",3788754,45,,,,-0.9041035,,Right Foot,,,"[78.5, 9.0]",,Ground Pass,,23.286263,,,,,Lorenzo Insigne,,,,,,1,From Counter,Ciro Immobile,7788.0,Center Forward,78,Italy,914,"['d8d36822-1528-4aa7-bdc5-3c855a63cdf8', 'f61b79b6-de18-411d-9037-ac27bfaf25e6']",41,,,,,,,,,,,,,,,Italy,00:45:41.327,Pass,True,64.1,27.3,78.5,9.0,,,
