ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,1.091131,,,,,,,,,,,,175aaf0a-2a80-4fca-848a-213e6f0d36d3,46,,,"[41.8, 51.0]",3788776,0,,,,,0.77948105,,Head,,,,"[50.3, 59.4]",,Low Pass,,11.950314,,,Kristoffer Olsson,,,,,Recovery,1,Regular Play,Victor Nilsson Lindelöf,3702.0,Right Center Back,4,Sweden,790,"['4d2a73b8-89e3-4fc2-b7af-49285962e826', '8e13a083-d352-4598-8e9d-eaa6c07be9ae']",38,,,,,,,,,,,,,,Sweden,00:00:38.375,Pass,,41.8,51.0,50.3,59.4,,,
,,,,,,,,,,,,,,1.095706,,,,,,,,,,,,362af604-7d7e-456c-a3d9-5e6c34dcaceb,48,,,"[50.3, 59.4]",3788776,0,,,,,2.3702781,,Left Foot,,,,"[39.5, 69.9]",,Ground Pass,,15.062868,,,Mikael Lustig,,,,,,1,Regular Play,Kristoffer Olsson,23444.0,Right Defensive Midfield,4,Sweden,790,['c84fdfbd-27ea-42b7-a617-50c7de454aec'],39,,,,,,,,,,,,,,Sweden,00:00:39.466,Pass,,50.3,59.4,39.5,69.9,,,
,,,,,,,,,,,,,,1.802844,,,,,,,,,,,,0429309c-52fe-4b36-a5d7-12e07803bb75,51,,,"[42.5, 74.2]",3788776,0,,,,,-0.34701005,,Right Foot,,,,"[79.0, 61.0]",,High Pass,,38.81353,Incomplete,,,,,,,,1,Regular Play,Mikael Lustig,5612.0,Right Back,4,Sweden,790,['06a8ef86-a59e-4392-bc8b-3719cda806f1'],42,,,,,,,,,,,,,,Sweden,00:00:42.468,Pass,,42.5,74.2,79.0,61.0,,,
,,,,,,,,,,,,,,0.830744,,,,,,,,,,,,06a8ef86-a59e-4392-bc8b-3719cda806f1,52,,,"[41.1, 19.1]",3788776,0,,,,,-0.03612885,,Head,,,,"[49.4, 18.8]",,Low Pass,,8.30542,,,Grzegorz Krychowiak,,,,,Recovery,1,Regular Play,Jan Bednarek,4626.0,Left Center Back,5,Poland,789,"['0429309c-52fe-4b36-a5d7-12e07803bb75', '6451952e-8dc8-45a2-98ce-4c04d839e548']",44,,,,,,,,,,,,,,Poland,00:00:44.270,Pass,,41.1,19.1,49.4,18.8,,,
,,,,,,,,,,,,,,0.720895,,,,,,,,,,,,5640d2e4-7186-46ca-a3a2-cd7eb5bdd847,55,,,"[49.8, 14.5]",3788776,0,,,,,-1.2315037,,Right Foot,,,,"[53.4, 4.3]",,Ground Pass,,10.816654,,,Tymoteusz Puchacz,,,,,,1,Regular Play,Grzegorz Krychowiak,3637.0,Right Defensive Midfield,5,Poland,789,['56306b52-cf65-438a-92ca-6b3580ffaafd'],46,,,,,,,,,,,,,,Poland,00:00:46.473,Pass,,49.8,14.5,53.4,4.3,,,
,,,,,,,,,,,,,,0.946827,,,,,,,,,,,,ea39e00a-4eac-4eb6-8c5d-6f1e0eb4178c,59,,,"[53.4, 4.3]",3788776,0,,,,,0.48118967,,Left Foot,,,,"[64.7, 10.2]",,Ground Pass,,12.747549,,,Mateusz Andrzej Klich,,,,,,1,Regular Play,Tymoteusz Puchacz,8737.0,Left Wing Back,5,Poland,789,"['258ed39a-9e09-4091-8f1a-d13672735aff', 'cf2080b4-b276-4977-b9eb-381f3f11e3ba']",47,,,,,,,,,,,,,,Poland,00:00:47.847,Pass,True,53.4,4.3,64.7,10.2,,,
,,,,,,,,,,,,,,0.981001,,,,,,,,,,,,0e570506-506f-4713-9dfe-dbe4e18c585d,65,,,"[64.8, 80.0]",3788776,1,,,,,-0.92037493,,,,,,"[71.8, 70.8]",,Low Pass,,11.560277,,,Sebastian Larsson,,,,,Throw-in,1,From Throw In,Mikael Lustig,5612.0,Right Back,6,Sweden,790,['d2c77add-df80-4704-a009-1e7b20d91445'],10,,,,,,,,,,,,,,Sweden,00:01:10.498,Pass,,64.8,80.0,71.8,70.8,,,
,,,,,,,,,,,,,,0.993806,,,,,,,,,,,,18a78ad8-86f7-4a83-a48c-3500b459e6dc,67,,,"[71.8, 70.8]",3788776,1,,,,,2.1160235,,Right Foot,,,,"[68.1, 76.9]",,Low Pass,,7.1344237,,,Mikael Lustig,,,,,,1,From Throw In,Sebastian Larsson,5617.0,Right Midfield,6,Sweden,790,['bbcdd676-d701-4163-aba6-a2fe645b2711'],11,,,,,,,,,,,,,,Sweden,00:01:11.479,Pass,,71.8,70.8,68.1,76.9,,,
,,,,,,,,,,,,,,0.597914,,,,,,,,,,,,51fe055b-4650-43d9-a7ae-5f3dea1e4c14,69,,,"[69.8, 76.7]",3788776,1,,,,,-1.4478245,,Right Foot,,,,"[70.9, 67.8]",,Ground Pass,,8.96772,,,Sebastian Larsson,,,,,,1,From Throw In,Mikael Lustig,5612.0,Right Back,6,Sweden,790,['e6c20db7-941a-4121-a373-131da23a0b3a'],12,,,,,,,,,,,,,,Sweden,00:01:12.472,Pass,,69.8,76.7,70.9,67.8,,,
,,,,,,,,,,,,,,1.048322,,,,,,,,,,,,7e43d3f2-02dc-47bc-b6b5-79ba4cfbab7b,71,,,"[71.8, 67.8]",3788776,1,,,,,0.7853982,,Right Foot,,,,"[79.8, 75.8]",,Ground Pass,,11.313708,,,Mikael Lustig,,,,,,1,From Throw In,Sebastian Larsson,5617.0,Right Midfield,6,Sweden,790,['e1b93619-c43f-43bb-9b36-e3efcd2de7e0'],13,,,,,,,,,,,,,,Sweden,00:01:13.070,Pass,,71.8,67.8,79.8,75.8,,,
