ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.871205,,,,,,,,,,6abbe5e5-fc42-43cd-b508-914f960e5742,60,,,"[48.3, 41.2]",3788748,1,,,,,0.18485703,,Left Foot,,,,"[60.6, 43.5]",,Ground Pass,,12.513193,,Incomplete,,Patrik Schick,,,,,,1,From Throw In,Alex Král,23452.0,Right Defensive Midfield,3,Scotland,942,"['372cac0a-81c6-4ec5-9269-ddd288f62f9a', 'a224b3c1-609a-4ac5-b07b-cf0c457ae945']",8,,,,,,,,,,,,,,,Czech Republic,00:01:08.126,Pass,,48.3,41.2,60.6,43.5,,,
,,,,,,,,,,,,,,,,1.419016,,,,,,,,,,8ec5c25f-8bce-4779-9b1e-4e6597209cd0,64,,,"[63.1, 40.9]",3788748,1,,,,,-1.5497468,,Right Foot,,,,"[63.7, 12.4]",,High Pass,,28.506315,,,,Andrew Robertson,,,,,,1,From Throw In,Grant Hanley,9481.0,Center Back,3,Scotland,942,['015a8bc2-fb98-41ac-85fe-e837032a7b28'],10,,,,,,,,,,,,,,,Scotland,00:01:10.179,Pass,,63.1,40.9,63.7,12.4,,,
,,,,,,,,,,,,,,,,1.313418,,,,,,,,,,58ea0513-3937-4e83-9ed0-e42b65ade185,67,,,"[70.8, 6.4]",3788748,1,,,,,0.33305863,,Left Foot,,,,"[89.3, 12.8]",,Ground Pass,,19.57575,,,,Stuart Armstrong,,,,,,1,From Throw In,Andrew Robertson,3655.0,Left Wing Back,3,Scotland,942,['f56bc0f2-4d57-4b2e-a79d-423f433efbb8'],13,,,,,,,,,,,,,,,Scotland,00:01:13.019,Pass,,70.8,6.4,89.3,12.8,,,
,,,,,,,,,,,,,,,,2.016062,,,,,,,,,,3be66b44-56ac-4c16-ae70-d18cf5da3288,72,,,"[90.3, 12.8]",3788748,1,,,,,-0.7662922,,Left Foot,,,,"[98.3, 5.1]",,Ground Pass,,11.103603,,,,Andrew Robertson,,,,,,1,From Throw In,Stuart Armstrong,10285.0,Left Center Midfield,3,Scotland,942,"['a7b33dc7-c580-4e84-80b3-e8906d9c5505', 'aa2eaf6f-db74-413b-8c2f-34b7e0eb2728', 'e8633849-b81d-4d1a-95ee-613784688653']",15,,,,,,,,,,,,,,,Scotland,00:01:15.039,Pass,True,90.3,12.8,98.3,5.1,,,
,,,,,,,,,,,,,,,,4.105228,,,,,,,,,,2d55feba-d48d-4dba-9c65-b26a28698742,75,,,"[98.9, 5.8]",3788748,1,,,,,1.3890023,,Left Foot,True,,,"[111.4, 73.8]",,High Pass,,69.13935,,,,"Stephen O""Donnell",,True,,,,1,From Throw In,Andrew Robertson,3655.0,Left Wing Back,3,Scotland,942,"['94aef120-63eb-4943-a3e8-65da3ca338ef', 'deb31bd3-8884-4577-a434-8acb7eca0753']",17,,,,,,,,,,,,,,,Scotland,00:01:17.055,Pass,True,98.9,5.8,111.4,73.8,,,
,,,,,,,,,,,,,,,,1.612733,,,,,,,,,,e478de08-ff97-4f82-9c19-fea1b30f1858,78,,,"[110.7, 75.1]",3788748,1,,,,,-2.8711565,,Right Foot,,,,"[90.5, 69.5]",,Ground Pass,,20.96187,,,,Jack Hendry,,,,,,1,From Throw In,"Stephen O""Donnell",9048.0,Right Wing Back,3,Scotland,942,['2d7cb3b1-7096-43e0-adc6-f9ae680db74c'],23,,,,,,,,,,,,,,,Scotland,00:01:23.013,Pass,,110.7,75.1,90.5,69.5,,,
,,,,,,,,,,,,,,,,0.855779,,,,,,,,,,c70a5ed3-fb5b-45a6-811b-843c76ea7e57,81,,,"[91.0, 68.6]",3788748,1,,,,,-0.9775375,,Right Foot,,,,"[102.8, 51.1]",,Low Pass,,21.106634,,Incomplete,,John McGinn,,,,,,1,From Throw In,Jack Hendry,11116.0,Right Center Back,3,Scotland,942,"['3c01c93e-f2fe-4870-8d76-bcb16e049406', 'a222bd15-6bad-43ef-93e2-191e06f1a36b']",25,,,,,,,,,,,,,,,Scotland,00:01:25.685,Pass,,91.0,68.6,102.8,51.1,,,
,,,,,,,,,,,,,,,,2.073348,,,,,,,,,,f0091188-347a-464a-a621-d8ce88fe7684,89,,,"[78.5, 10.3]",3788748,1,,,,,2.566704,,Right Foot,,,,"[57.2, 24.1]",,Ground Pass,,25.379717,,,,Liam Cooper,,,,,,1,From Throw In,Andrew Robertson,3655.0,Left Wing Back,3,Scotland,942,"['2cd93c9b-2f31-4f9a-a965-02f08d31d1b4', '3319598c-b296-464f-8306-95feeb1dc708']",31,,,,,,,,,,,,,,,Scotland,00:01:31.790,Pass,True,78.5,10.3,57.2,24.1,,,
,,,,,,,,,,,,,,,,1.024327,,,,,,,,,,31b4ea0d-33f2-4648-8bcf-cef50935864d,91,,,"[57.2, 24.1]",3788748,1,,,,,-0.9042385,,Right Foot,,,,"[63.1, 16.6]",,Ground Pass,,9.542537,,,,Stuart Armstrong,,,,,,1,From Throw In,Liam Cooper,9621.0,Left Center Back,3,Scotland,942,['924f31f9-14ed-49cf-88c9-68ab08d04506'],33,,,,,,,,,,,,,,,Scotland,00:01:33.863,Pass,,57.2,24.1,63.1,16.6,,,
,,,,,,,,,,,,,,,,1.896643,,,,,,,,,,9b95f8c2-3c49-459b-8121-dc7649537994,94,,,"[63.1, 10.5]",3788748,1,,,,,-0.16347644,,Right Foot,,,,"[92.2, 5.7]",,Low Pass,,29.49322,,,,Ryan Christie,,,,,,1,From Throw In,Stuart Armstrong,10285.0,Left Center Midfield,3,Scotland,942,['944341cc-e61c-4f6a-86f9-782482e49185'],37,,,,,,,,,,,,,,,Scotland,00:01:37.084,Pass,,63.1,10.5,92.2,5.7,,,
