50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.145205,,,,,,,,,,,,bf30aecd-9962-48c5-9a14-702913b26323,1305,,,"[62.2, 67.5]",3788747,32,,,,2.1493206,,Right Foot,,,,"[55.8, 77.3]",,Ground Pass,,11.7046995,,,Stefan Ristovski,,,,,,1,From Free Kick,Aleksandar Trajkovski,30512.0,Left Center Forward,77,North Macedonia,2358,"['13a38647-4d14-4845-9fee-9aef647fe903', '525e0ff8-669c-4bb8-a5ba-d4d5d434388f']",8,,,,,,,,,,,,,,North Macedonia,00:32:08.082,Pass,True,62.2,67.5,55.8,77.3,,,
,,,,,,,,,,,,,,,,0.948948,,,,,,,,,,,,8cf830ea-c53f-407e-a288-e8d065659c8b,1309,,,"[64.5, 69.8]",3788747,32,,,,-2.3633885,,Right Foot,,,,"[57.5, 62.9]",,Ground Pass,,9.829039,,,Enis Bardhi,,,,,,1,From Free Kick,Stefan Ristovski,10592.0,Right Center Back,77,North Macedonia,2358,['e29594e1-c045-4aba-8580-31e3859909f1'],11,,,,,,,,,,,,,,North Macedonia,00:32:11.096,Pass,,64.5,69.8,57.5,62.9,,,
,,,,,,,,,,,,,,,,3.81791,,,,,,,,,,,,b372ba2a-f273-4d02-b4c7-b7621501fc8e,1312,,,"[59.7, 62.3]",3788747,32,,,,-1.9092518,,Right Foot,,,,"[42.1, 12.3]",,Ground Pass,,53.007168,,,Visar Musliu,,True,,,,1,From Free Kick,Enis Bardhi,6782.0,Right Center Midfield,77,North Macedonia,2358,['dee8b155-1666-4254-aa52-5693e6be8af9'],14,,,,,,,,,,,,,,North Macedonia,00:32:14.249,Pass,,59.7,62.3,42.1,12.3,,,
,,,,,,,,,,,,,,,,1.261376,,,,,,,,,,,,4a33687e-4b15-4cf1-a475-bfaa2220555a,1314,,,"[42.1, 11.7]",3788747,32,,,,-0.6673061,,Left Foot,,,,"[48.7, 6.5]",,Ground Pass,,8.402381,,,Ezgjan Alioski,,,,,,1,From Free Kick,Visar Musliu,46906.0,Left Center Back,77,North Macedonia,2358,['35bf0917-ca9d-4053-ba0b-63affe887e30'],18,,,,,,,,,,,,,,North Macedonia,00:32:18.067,Pass,,42.1,11.7,48.7,6.5,,,
,,,,,,,,,,,,,,,,5.019265,,,,,,,,,,,,69aaa9bf-3979-406f-8d4f-56781fa1f76d,1317,,,"[54.8, 7.9]",3788747,32,,,,1.9045583,,Left Foot,,,,"[41.0, 47.7]",,Low Pass,,42.124577,,,Stefan Ristovski,,,,,,1,From Free Kick,Ezgjan Alioski,4713.0,Left Wing Back,77,North Macedonia,2358,['8a5b5cb8-6181-475d-bc8c-88cf21bba1e5'],20,,,,,,,,,,,,,,North Macedonia,00:32:20.825,Pass,,54.8,7.9,41.0,47.7,,,
,,,,,,,,,,,,,,,,2.301706,,,,,,,,,,,,dcf6c665-2793-4e4e-b5be-dee38a1a43ff,1320,,,"[28.9, 72.5]",3788747,32,,,,-1.7343229,,Right Foot,,,,"[25.6, 52.5]",,Ground Pass,,20.270422,,,Darko Velkovski,,,,,,1,From Free Kick,Stefan Ristovski,10592.0,Right Center Back,77,North Macedonia,2358,['d291edac-f8a5-4592-b8e1-958640f26893'],27,,,,,,,,,,,,,,North Macedonia,00:32:27.214,Pass,,28.9,72.5,25.6,52.5,,,
,,,,,,,,,,,,,,,,1.795937,,,,,,,,,,,,551a8d65-1691-4e07-8c91-87d7a04d7975,1323,,,"[37.7, 55.0]",3788747,32,,,,1.3593454,,Right Foot,,,,"[41.8, 74.1]",,Ground Pass,,19.535097,,,Stefan Ristovski,,,,,,1,From Free Kick,Darko Velkovski,30644.0,Center Back,77,North Macedonia,2358,['1b491fff-8ed9-4ec2-a32e-24ebf713e6bc'],32,,,,,,,,,,,,,,North Macedonia,00:32:32.252,Pass,,37.7,55.0,41.8,74.1,,,
,,,,,,,,,,,,,,,,3.211749,,,,,,,,,,,,82e51c2b-f5b0-4599-920a-b9853c8673e6,1326,,,"[41.8, 74.1]",3788747,32,,,,-2.5550804,,Right Foot,,,,"[10.8, 53.5]",,Ground Pass,,37.220425,,,Stole Dimitrievski,,,,,,1,From Free Kick,Stefan Ristovski,10592.0,Right Center Back,77,North Macedonia,2358,['b52fc3d6-d69b-4bac-ae27-1a02e91ba20c'],34,,,,,,,,,,,,,,North Macedonia,00:32:34.780,Pass,,41.8,74.1,10.8,53.5,,,
,,,,,,,,,,,,,,,,2.975012,,,,,,,,,,,,dc00a736-ef5b-4ec4-ae3d-da99e601c2b3,1329,,,"[12.5, 45.0]",3788747,32,,,,-0.72774965,,Right Foot,,,,"[62.9, 0.1]",,High Pass,,67.499405,Out,,Ezgjan Alioski,,True,,,,1,From Free Kick,Stole Dimitrievski,21397.0,Goalkeeper,77,North Macedonia,2358,['6c6e41c7-02ae-49d3-808a-4172e8abf371'],42,,,,,,,,,,,,,,North Macedonia,00:32:42.546,Pass,,12.5,45.0,62.9,0.1,,,
,,,,,,,,,,,,,,,,1.663248,,,,,,,,,,,,9b21e4e0-521c-4422-b59c-99a4a6a6952d,1331,,,"[55.3, 80.0]",3788747,32,,,,-2.023918,,,,,,"[46.0, 60.9]",,Low Pass,,21.243822,,,Aleksandar Dragović,,,,,Throw-in,1,From Throw In,Stefan Lainer,8779.0,Right Wing Back,78,Austria,915,['2445f0fa-e606-4057-875a-bfa15150b96c'],50,,,,,,,,,,,,,,Austria,00:32:50.406,Pass,,55.3,80.0,46.0,60.9,,,
