ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,2.232695,,,,,,,,,,5e1ff5b2-bd49-408c-b191-70f3b81d7fef,68,,"[34.3, 19.2]",3788768,0,,,,,0.5215228,,Right Foot,,,"[52.4, 29.6]",,Low Pass,,20.875105,,,,,Robin Lod,,,,,,1,Regular Play,Joel Pohjanpalo,9725.0,Left Center Forward,3,Finland,1835,"['3e1b4868-1ca0-4539-8ce9-51d24f633d02', '7aaf9722-8d3c-4abf-b748-917e80dd113b']",52,,,,,,,,,,,,,,Finland,00:00:52.162,Pass,True,34.3,19.2,52.4,29.6,,,
,,,,,,,,,,,,,,,1.268362,,,,,,,,,,15ddc43b-81da-4604-9e82-b44fe1990995,76,,"[71.4, 12.8]",3788768,1,,,,,1.5909956,,Right Foot,,,"[71.2, 22.7]",,Ground Pass,,9.90202,,,,,Eden Hazard,,,,,,1,Regular Play,Axel Witsel,5642.0,Left Defensive Midfield,4,Belgium,782,['68fc4b59-b518-41fc-8c1d-d8cb2f0aa7fd'],1,,,,,,,,,,,,,,Belgium,00:01:01.566,Pass,,71.4,12.8,71.2,22.7,,,
,,,,,,,,,,,,,,,3.31522,,,,,,,,,,3f690f44-4757-4187-88ba-8d7c0c5e458d,79,,"[70.5, 23.0]",3788768,1,,,,,1.5173101,,Right Foot,,,"[73.3, 75.3]",,High Pass,,52.374897,,,,,Leandro Trossard,,True,,,,1,Regular Play,Eden Hazard,3621.0,Left Attacking Midfield,4,Belgium,782,['fdafc596-87ad-4876-ae6f-9aa9fe78d6a2'],4,,,,,,,,,,,,,,Belgium,00:01:04.865,Pass,,70.5,23.0,73.3,75.3,,,
,,,,,,,,,,,,,,,1.520856,,,,,,,,,,f56c4fc9-1902-434c-8ebe-1758aafe31ac,82,,"[72.8, 75.3]",3788768,1,,,,,-3.0438657,,Right Foot,,,"[62.6, 74.3]",,Ground Pass,,10.248902,,,,,Jason Denayer,,,,,,1,Regular Play,Leandro Trossard,16559.0,Right Wing Back,4,Belgium,782,['e0ec7825-bd08-40cd-ae00-aae03a72c9c6'],10,,,,,,,,,,,,,,Belgium,00:01:10.105,Pass,,72.8,75.3,62.6,74.3,,,
,,,,,,,,,,,,,,,1.490832,,,,,,,,,,4be158cf-ee7b-4cfa-91e3-cec6c8ecf27b,85,,"[62.6, 74.5]",3788768,1,,,,,-1.8329161,,Right Foot,,,"[57.1, 54.0]",,Ground Pass,,21.224985,,,,,Anga Dedryck Boyata,,,,,,1,Regular Play,Jason Denayer,13116.0,Right Center Back,4,Belgium,782,['316297cc-3c27-4dae-aed7-0210bc0d5caf'],12,,,,,,,,,,,,,,Belgium,00:01:12.100,Pass,,62.6,74.5,57.1,54.0,,,
,,,,,,,,,,,,,,,2.008105,,,,,,,,,,457da2ee-8d01-4d68-9039-1f483cbbcd8b,88,,"[60.7, 47.5]",3788768,1,,,,,-1.437144,,Right Foot,,,"[63.9, 23.7]",,Ground Pass,,24.014162,,,,,Thomas Vermaelen,,,,,,1,Regular Play,Anga Dedryck Boyata,5639.0,Center Back,4,Belgium,782,['7ffa9103-0000-4c33-a35d-600994340fa7'],14,,,,,,,,,,,,,,Belgium,00:01:14.428,Pass,,60.7,47.5,63.9,23.7,,,
,,,,,,,,,,,,,,,1.278725,,,,,,,,,,3213c77c-f8de-4259-8e0a-b7cb9512f175,91,,"[70.8, 20.0]",3788768,1,,,,,-0.6830177,,Left Foot,,,"[86.9, 6.9]",,Ground Pass,,20.756205,,,,,Nacer Chadli,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,4,Belgium,782,['447b0c3b-79d1-4588-98ce-1de9e30bce12'],18,,,,,,,,,,,,,,Belgium,00:01:18.727,Pass,,70.8,20.0,86.9,6.9,,,
,,,,,,,,,,,,,,,1.502137,,,,,,,,,,343ecb91-a40b-4eaa-8390-9204636e1992,94,,"[86.9, 6.6]",3788768,1,,,,,2.2296023,,Right Foot,,,"[77.3, 19.0]",,Ground Pass,,15.681837,,,,,Axel Witsel,,,,,,1,Regular Play,Nacer Chadli,4831.0,Left Wing Back,4,Belgium,782,['fb03a84e-8af8-40d7-ba79-a56f7f6eff83'],20,,,,,,,,,,,,,,Belgium,00:01:20.917,Pass,,86.9,6.6,77.3,19.0,,,
,,,,,,,,,,,,,,,2.904474,,,,,,,,,,20a83424-5108-4e7b-8e57-666277ae4517,97,,"[69.4, 20.3]",3788768,1,,,,,1.5587728,,Right Foot,,,"[70.0, 70.2]",,Ground Pass,,49.903606,,,,,Jason Denayer,,True,,,,1,Regular Play,Axel Witsel,5642.0,Left Defensive Midfield,4,Belgium,782,['dbccb388-37d5-4b5a-b2b5-8cc7272f1fa8'],24,,,,,,,,,,,,,,Belgium,00:01:24.490,Pass,,69.4,20.3,70.0,70.2,,,
,,,,,,,,,,,,,,,1.204008,,,,,,,,,,9b61e6cb-d2ec-4567-8603-5252eb0789e9,100,,"[78.7, 70.1]",3788768,1,,,,,0.8874051,,Right Foot,,,"[84.4, 77.1]",,Ground Pass,,9.027182,,,,,Leandro Trossard,,,,,,1,Regular Play,Jason Denayer,13116.0,Right Center Back,4,Belgium,782,['f1c4dca6-8aaa-4b03-aa3d-2b55424b46d3'],28,,,,,,,,,,,,,,Belgium,00:01:28.979,Pass,,78.7,70.1,84.4,77.1,,,
