50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.557288,,,,,,,,,,,,,cf55e698-77a5-4604-af07-a4de9145b1bd,65,,,"[23.5, 17.3]",3794690,1,,,,-0.61466295,,Right Foot,,,"[42.2, 4.1]",,Ground Pass,,22.889517,,,,Pavel Kadeřábek,,,,,,1,From Goal Kick,Tomáš Kalas,13197.0,Left Center Back,4,Czech Republic,912,['04856f31-c7a3-4828-9e8b-6c3f4ffcdf62'],13,,,,,,,,,,,,,,,,,Czech Republic,00:01:13.590,Pass,,23.5,17.3,42.2,4.1,,,
,,,,,,,,,,,,,,,,,0.518963,,,,,,,,,,,,,9a289837-d69d-4d30-9944-b389f4c06296,68,,,"[70.9, 9.8]",3794690,1,,,,0.648755,,Right Foot,,,"[80.0, 16.7]",,Ground Pass,,11.420157,,,,Patrik Schick,,,,,,1,From Goal Kick,Pavel Kadeřábek,9397.0,Left Back,4,Czech Republic,912,['fe0f1cc3-1701-4e0f-8129-0d1e6e233ce7'],19,,,,,,,,,,,,,,,,,Czech Republic,00:01:19.931,Pass,,70.9,9.8,80.0,16.7,,,
,,,,,,,,,,,,,,,,,1.532677,,,,,,,,,,,,,a41808f9-fe7d-4fd9-8f89-09530f1452bf,71,,,"[80.0, 16.7]",3794690,1,,,,-1.4659194,,Left Foot,,,"[81.6, 1.5]",,Ground Pass,,15.283978,,,,Petr Ševčík,,,,,,1,From Goal Kick,Patrik Schick,7044.0,Center Forward,4,Czech Republic,912,['6a767d3b-dcc8-4e7f-b8ba-cc2f4e5eeaa4'],20,,,,,,,,,,,,,,,,,Czech Republic,00:01:20.490,Pass,,80.0,16.7,81.6,1.5,,,
,,,,,,,,,,,,,,,,,1.322119,,,,,,,,,,,,,d206a900-0415-43e7-ab1e-203db0179a5e,74,,,"[84.4, 7.8]",3794690,1,,,,2.2187684,1fc16571-a096-46d4-931f-6f76fdcd903f,Right Foot,,,"[76.3, 18.5]",,Ground Pass,,13.420135,,,,Tomáš Holeš,True,,,,,1,From Goal Kick,Petr Ševčík,23454.0,Left Midfield,4,Czech Republic,912,['02deb152-459c-47c7-89c1-159012564ec1'],25,,,,,,,,,,,,,,,,,Czech Republic,00:01:25.254,Pass,,84.4,7.8,76.3,18.5,,,
,,,,,,,,,,,,,,,,,1.228146,,,,,,,,,,,,,3ce96883-66a3-46c3-8056-95055041a578,79,,,"[7.0, 36.1]",3794690,1,,,,-1.194306,,Right Foot,,,"[10.4, 27.5]",,Ground Pass,,9.247703,,,,Daley Blind,,,,,Goal Kick,1,From Goal Kick,Maarten Stekelenburg,20201.0,Goalkeeper,5,Netherlands,941,['b3544848-2245-4c4f-93b2-88a80950282d'],39,,,,,,,,,,,,,,,,,Netherlands,00:01:39.829,Pass,,7.0,36.1,10.4,27.5,,,
,,,,,,,,,,,,,,,,,1.178507,,,,,,,,,,,,,555a13b0-5ceb-47cf-b95d-bcfbaa2407fb,81,,,"[10.4, 27.5]",3794690,1,,,,1.8963636,,Left Foot,,,"[5.1, 43.2]",,Ground Pass,,16.570456,,,,Maarten Stekelenburg,,,,,,1,From Goal Kick,Daley Blind,3311.0,Left Center Back,5,Netherlands,941,['4822ea7b-63f2-469f-abd7-9c2cbeeca262'],41,,,,,,,,,,,,,,,,,Netherlands,00:01:41.057,Pass,,10.4,27.5,5.1,43.2,,,
,,,,,,,,,,,,,,,,,3.158779,,,,,,,,,,,,,bdd0f35c-e97c-4fd1-9659-63f3d5a13bb0,84,,,"[4.3, 43.2]",3794690,1,,,,0.54127735,,Right Foot,,,"[55.7, 74.1]",,High Pass,,59.973076,,Incomplete,,Denzel Dumfries,,,,,,1,From Goal Kick,Maarten Stekelenburg,20201.0,Goalkeeper,5,Netherlands,941,"['5a0692ce-2252-481d-bf79-b47c96162149', '7bfb8d28-f891-40db-8f6e-90c8a00fc47c']",44,,,,,,,,,,,,,,,,,Netherlands,00:01:44.598,Pass,,4.3,43.2,55.7,74.1,,,
,,,,,,,,,,,,,,,,,1.85407,,,,,,,,,,,,,7bfb8d28-f891-40db-8f6e-90c8a00fc47c,86,,,"[64.4, 6.0]",3794690,1,,,,-0.23240949,,Head,,,"[81.3, 2.0]",,High Pass,,17.366922,,Incomplete,,Petr Ševčík,,,,,Recovery,1,From Goal Kick,Pavel Kadeřábek,9397.0,Left Back,5,Netherlands,941,"['6db4a55d-432e-4adb-aebe-a5aab036dfef', 'bdd0f35c-e97c-4fd1-9659-63f3d5a13bb0', 'c0e6c3c6-4804-411f-96e1-3ee9db19c7aa']",47,,,,,,,,,,,,,,,,,Czech Republic,00:01:47.757,Pass,,64.4,6.0,81.3,2.0,,,
,,,,,,,,,,,,,,,,,1.089418,,,,,,,,,,,,,698db55d-6d0f-4b0d-b249-26f693500798,90,,,"[74.3, 6.8]",3794690,1,,,,-1.8203833,,Other,,,"[73.0, 1.7]",,Low Pass,,5.263079,,,,Petr Ševčík,,,,,Recovery,1,Regular Play,Tomáš Souček,4870.0,Right Center Midfield,6,Czech Republic,912,['029cf760-9875-4084-8060-b1fe8fa84c63'],51,,,,,,,,,,,,,,,,,Czech Republic,00:01:51.262,Pass,,74.3,6.8,73.0,1.7,,,
,,,,,,,,,,,,,,,,,0.965712,,,,,,,,,,,,,c70006ba-a890-4255-9bab-600d9695cb45,93,,,"[72.5, 1.1]",3794690,1,,,,2.9018495,,Left Foot,,,"[63.5, 3.3]",,Ground Pass,,9.264988,,,,Pavel Kadeřábek,,,,,,1,Regular Play,Petr Ševčík,23454.0,Left Midfield,6,Czech Republic,912,['b5656917-dffb-424d-9ef8-37cca3fdb408'],52,,,,,,,,,,,,,,,,,Czech Republic,00:01:52.431,Pass,,72.5,1.1,63.5,3.3,,,
,,,,,,,,,,,,,,,,,1.052283,,,,,,,,,,,,,97d8e6d0-cc6a-4ab6-a0d0-798ec772d6f0,96,,,"[64.8, 4.4]",3794690,1,,,,0.3643313,,Right Foot,,,"[76.6, 8.9]",,Ground Pass,,12.628935,,,,Patrik Schick,,,,,,1,Regular Play,Pavel Kadeřábek,9397.0,Left Back,6,Czech Republic,912,['0609f6f0-ddfe-48bc-b4d4-4ea695f0d8ab'],54,,,,,,,,,,,,,,,,,Czech Republic,00:01:54.208,Pass,,64.8,4.4,76.6,8.9,,,
