50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,1.007314,,,,,,,,,,,,,be0df1a7-62e9-4e9a-b571-e95135e0a30c,52,,,"[118.3, 64.8]",3788765,1,,,,,-1.6961203,,Right Foot,,,,"[116.7, 52.1]",,Ground Pass,,12.80039,,Incomplete,,Haris Seferović,,,,,,1,From Throw In,Xherdan Shaqiri,3533.0,Center Attacking Midfield,5,Switzerland,773,"['352dde8a-0cfe-464e-ab57-40282df56293', '762c7889-2abc-4ab7-8074-bbdbef63abb8', 'e8120236-4ebb-4d9c-8a9a-38ffafb5895c']",18,,,,,,,,,,,,,,,Switzerland,00:01:18.700,Pass,True,118.3,64.8,116.7,52.1,,,
,,,,,,,,,,,,,,,2.102141,,,,,,,,,,,,,f31fa77c-86ff-45c2-8083-d6b9c42d11e1,56,,,"[2.6, 24.1]",3788765,1,,,,,-0.6550264,,Left Foot,,,,"[31.5, 1.9]",,High Pass,,36.44242,,,,Hakan Çalhanoğlu,,,,,,1,From Throw In,Merih Demiral,23558.0,Right Center Back,5,Switzerland,773,['6b52256a-4ba8-43fb-a828-a0011803b435'],20,,,,,,,,,,,,,,,Turkey,00:01:20.620,Pass,,2.6,24.1,31.5,1.9,,,
,,,,,,,,,,,,,,,0.952222,,,,,,,,,,,,,87c2e32e-a676-4c46-98c2-8bad94a59189,59,,,"[29.8, 3.1]",3788765,1,,,,,1.8259788,,Right Foot,,,,"[27.4, 12.3]",,Low Pass,,9.507892,,Incomplete,,İrfan Can Kahveci,,,,,,1,From Throw In,Hakan Çalhanoğlu,7039.0,Left Midfield,5,Switzerland,773,"['2496fc7f-3d46-43bb-95ad-01b23c395ce1', 'bd17ad44-8d88-4c87-a555-109e2d086da8']",22,,,,,,,,,,,,,,,Turkey,00:01:22.802,Pass,,29.8,3.1,27.4,12.3,,,
,,,,,,,,,,True,,,,,1.408036,,,,,,,,,,,,,bd17ad44-8d88-4c87-a555-109e2d086da8,62,,,"[92.7, 67.8]",3788765,1,,,,,0.1061568,,Right Foot,,,,"[104.9, 69.1]",,Low Pass,,12.269067,,Incomplete,,Breel-Donald Embolo,,,,,Interception,1,From Throw In,Remo Freuler,6983.0,Right Defensive Midfield,5,Switzerland,773,"['03c08b56-dad6-448d-ba51-cb3a4949c8a7', '39e6a720-9e70-4a33-bdf7-aba8a23f3224', '87c2e32e-a676-4c46-98c2-8bad94a59189', '976f4244-3df3-4c7c-8d9c-025778754312']",23,,,,,,,,,,,,,,,Switzerland,00:01:23.755,Pass,True,92.7,67.8,104.9,69.1,,,
,,,,,,,,,,,,,,,2.04398,,,,,,,,,,,,,b1ea1a53-3acf-4188-a3e1-279740185ac3,74,,,"[13.1, 33.7]",3788765,1,,,,,-1.1058118,,Keeper Arm,,,,"[28.1, 3.8]",,Ground Pass,,33.451607,,,,Mert Müldür,,,,,,1,Regular Play,Uğurcan Çakır,30357.0,Goalkeeper,6,Turkey,909,['02e49995-51bb-4bbf-a8d3-fea87303cfcb'],35,,,,,,,,,,,,,,,Turkey,00:01:35.123,Pass,,13.1,33.7,28.1,3.8,,,
,,,,,,,,,,,,,,,0.500545,,,,,,,,,,,,,d88c43bf-0789-44ac-9b11-ba41d9d9849e,77,,,"[45.8, 1.9]",3788765,1,,,,,1.5707964,,Left Foot,,,,"[45.8, 6.6]",,Ground Pass,,4.7,,,,Hakan Çalhanoğlu,,,,,,1,Regular Play,Mert Müldür,10826.0,Left Back,6,Turkey,909,['1334b233-d3a8-4913-a7f6-add9053221f9'],41,,,,,,,,,,,,,,,Turkey,00:01:41.993,Pass,,45.8,1.9,45.8,6.6,,,
,,,,,,,,,,,,,,,0.887047,,,,,,,,,,,,,578cadd7-2a43-4eb0-8a22-3fbe32cb6c82,80,,,"[45.8, 6.6]",3788765,1,,,,,-1.1562895,,Right Foot,,,,"[48.0, 1.6]",,Ground Pass,,5.4626,,,,Mert Müldür,,,,,,1,Regular Play,Hakan Çalhanoğlu,7039.0,Left Midfield,6,Turkey,909,['25274dec-a8a5-4ae1-aa81-a05184619823'],42,,,,,,,,,,,,,,,Turkey,00:01:42.693,Pass,,45.8,6.6,48.0,1.6,,,
,,,,,,,,,,,,,,,1.074778,,,,,,,,,,,,,21811ef5-11e8-4f87-bb5a-00b610a0ab08,83,,,"[48.0, 1.6]",3788765,1,,,,,0.9758854,,Right Foot,,,,"[57.0, 14.9]",,Ground Pass,,16.058954,,,,İrfan Can Kahveci,,,,,,1,Regular Play,Mert Müldür,10826.0,Left Back,6,Turkey,909,['e9491dda-562d-4f4f-b9dd-e7072b45ccf3'],43,,,,,,,,,,,,,,,Turkey,00:01:43.741,Pass,,48.0,1.6,57.0,14.9,,,
,,,,,,,,,,,,,,,0.882149,,,,,,,,,,,,,79ffff61-7a56-4f93-b469-0e87aef5bb89,87,,,"[90.3, 6.6]",3788765,1,,,,,2.5431738,c795cbb6-11d3-4e96-b783-d68502a60db6,Left Foot,,,,"[83.7, 11.1]",,Ground Pass,,7.9881163,,,,Burak Yılmaz,True,,,,,1,Regular Play,İrfan Can Kahveci,30311.0,Left Center Midfield,6,Turkey,909,['2a60e99a-1fc8-4496-a292-927ce221a6eb'],51,,,,,,,,,,,,,,,Turkey,00:01:51.353,Pass,,90.3,6.6,83.7,11.1,,,
,,,,,,,,,,,,,,,1.342969,,,,,,,,,,,,,f07e6e8d-4d54-4e1d-850a-c10fef7d1b0f,93,,,"[120.0, 0.1]",3788765,2,,,,,1.7332411,,Right Foot,,,,"[114.1, 36.1]",,High Pass,True,36.48027,,Incomplete,,Ozan Tufan,,,Inswinging,,Corner,1,From Corner,Hakan Çalhanoğlu,7039.0,Left Midfield,7,Turkey,909,"['c5a8e95a-d154-41c8-994b-e7ca29ba12a6', 'e132820a-43b3-4b07-9029-b1a50cfd7e5d']",22,,,,,,,,,,,,,,,Turkey,00:02:22.167,Pass,,120.0,0.1,114.1,36.1,,,
,,,,,,,,,,,,,,,1.383241,,,,,,,,,,,,,56173d10-e242-42a3-a2a7-b76526178211,97,,,"[84.3, 39.5]",3788765,2,,,,,-3.0883884,,Head,,,,"[67.4, 38.6]",,Low Pass,,16.923948,,,,Kaan Ayhan,,,,,Recovery,1,From Corner,Mehmet Zeki Çelik,10349.0,Right Back,7,Turkey,909,['4d38fb0c-1963-4c59-bb63-63013b3e4f75'],26,,,,,,,,,,,,,,,Turkey,00:02:26.777,Pass,,84.3,39.5,67.4,38.6,,,
,,,,,,,,,,,,,,,0.747694,,,,,,,,,,,,,e8c3dec9-b0c8-4176-b276-11dfd3d71dd6,100,,,"[66.4, 38.6]",3788765,2,,,,,1.196752,,Right Foot,,,,"[70.6, 49.3]",,Ground Pass,,11.4947815,,,,Mehmet Zeki Çelik,,,,,,1,From Corner,Kaan Ayhan,12293.0,Center Defensive Midfield,7,Turkey,909,['3a667df1-fa4b-4eba-82f0-4b9523defc1d'],29,,,,,,,,,,,,,,,Turkey,00:02:29.379,Pass,,66.4,38.6,70.6,49.3,,,
,,,,,,,,,,,,,,,3.196436,,,,,,,,,,,,,44ad1a76-f1a5-474b-be12-3ccf440eb922,105,,,"[67.9, 51.5]",3788765,2,,,,,-3.1072812,,Right Foot,,,,"[24.2, 50.0]",,Ground Pass,,43.725735,,,,Uğurcan Çakır,,,,,,1,From Corner,Mehmet Zeki Çelik,10349.0,Right Back,7,Turkey,909,"['3d63bbba-3775-4f81-8e70-281b44120bb3', '77dcfa0a-42d7-47c6-91d3-91a1f40e093d']",32,,,,,,,,,,,,,,,Turkey,00:02:32.822,Pass,True,67.9,51.5,24.2,50.0,,,
,,,,,,,,,,,,,,,3.592644,,,,,,,,,,,,,d8808b2e-bd1e-46b8-8e2c-5726fd5255bc,108,,,"[28.1, 49.6]",3788765,2,,,,,-0.6341129,,Right Foot,,,,"[91.6, 2.9]",,High Pass,,78.82347,,Incomplete,,Hakan Çalhanoğlu,,True,,,,1,From Corner,Uğurcan Çakır,30357.0,Goalkeeper,7,Turkey,909,"['63a4fb5a-d5b0-46e8-9f80-054d1a2f2f8c', 'ac293684-644a-4301-8265-72df342984b3']",39,,,,,,,,,,,,,,,Turkey,00:02:39.265,Pass,,28.1,49.6,91.6,2.9,,,
,,,,,,,,,,,,,,,2.029889,,,,,,,,,,,,,63a4fb5a-d5b0-46e8-9f80-054d1a2f2f8c,110,,,"[28.5, 77.2]",3788765,2,,,,True,-0.016127633,,,,,,"[40.9, 77.0]",,High Pass,,12.401613,,Incomplete,,,,,,,Interception,1,From Corner,Silvan Widmer,7796.0,Right Wing Back,7,Turkey,909,"['98525145-1281-48e2-a4ff-17afa7b80475', 'd8808b2e-bd1e-46b8-8e2c-5726fd5255bc', 'ef792a24-0e27-4ace-9abe-2c4e7ae5a198']",42,,,,,,,,,,,,,,,Switzerland,00:02:42.857,Pass,True,28.5,77.2,40.9,77.0,,,
,,,,,,,,,,,,,,,0.903577,,,,,,,,,,,,,c09b0d99-6cc2-4b01-939e-c1b0e46a80f8,114,,,"[86.7, 11.5]",3788765,2,,,,,2.3837104,,Left Foot,,,,"[81.1, 16.8]",,Ground Pass,,7.7103825,,,,Burak Yılmaz,,,,,,1,From Corner,İrfan Can Kahveci,30311.0,Left Center Midfield,7,Turkey,909,['c70f04a0-ea79-464d-b68f-e56b9c92ff60'],46,,,,,,,,,,,,,,,Turkey,00:02:46.367,Pass,,86.7,11.5,81.1,16.8,,,
