50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,0.789035,,,,,,,,,,,,,,,,a9d7efa2-def3-4c6b-99b2-2eb07aa1b6dc,52,,,"[18.2, 11.2]",3788769,1,,,,,-1.4268708,,Right Foot,,,,"[19.2, 4.3]",,Ground Pass,,6.9720874,,,,,Joakim Mæhle,,,,,,1,From Throw In,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,8,Denmark,776,['e49ac9ba-85d9-4eda-9d3c-2dc0d5d9a82c'],44,,,,,,,,,,,,,,Denmark,00:01:44.547,Pass,,18.2,11.2,19.2,4.3,,,
,,,,,,,,,,,,,,,,2.530035,,,,,,,,,,,,,,,,b8e6bd53-6cc1-4e7a-9d23-5fbab5bb81e3,55,,,"[19.2, 4.3]",3788769,1,,,,,0.5484113,,Right Foot,,,,"[48.5, 22.2]",,High Pass,,34.335114,,,,,Yussuf Yurary Poulsen,,,,,,1,From Throw In,Joakim Mæhle,16554.0,Left Wing Back,8,Denmark,776,['d006f88d-122f-4d66-b136-cb176a90d293'],45,,,,,,,,,,,,,,Denmark,00:01:45.376,Pass,,19.2,4.3,48.5,22.2,,,
,,,,,,,,,,,,,,,,1.397234,,,,,,,,,,,,,,,,6eb4fc2a-7327-42d7-a6d8-b38fb90ebd76,59,,,"[52.1, 24.2]",3788769,1,,,,,2.3561945,,Left Foot,,,,"[47.3, 29.0]",,Ground Pass,,6.788225,,,,,Mikkel Damsgaard,,,,,,1,From Throw In,Yussuf Yurary Poulsen,5536.0,Center Forward,8,Denmark,776,['34d7a88d-030a-4f24-ab57-d24f5e38cc5b'],47,,,,,,,,,,,,,,Denmark,00:01:47.946,Pass,,52.1,24.2,47.3,29.0,,,
,,,,,,,,,,,,,,,,0.891181,,,,,,,,,,,,,,,,fba25062-f750-46fb-b33f-cad4843ee900,65,,,"[68.9, 39.4]",3788769,1,,,,,2.8590376,,Right Foot,,,,"[62.7, 41.2]",,Ground Pass,,6.456005,,,,,Roman Zobnin,,,,,,1,Regular Play,Magomed Ozdoev,20845.0,Right Defensive Midfield,9,Russia,796,['e0ed08ce-d744-48f3-ae2c-d27f4d290b0c'],51,,,,,,,,,,,,,,Russia,00:01:51.161,Pass,,68.9,39.4,62.7,41.2,,,
,,,,,,,,,,,,,,,,1.290563,,,,,,,,,,,,,,,,73fec572-7504-4f69-af27-531797e2027a,68,,,"[63.8, 32.3]",3788769,1,,,,,-2.728464,,Right Foot,,,,"[49.2, 25.9]",,Ground Pass,,15.941142,,,,,Daler Kuzyaev,,,,,,1,Regular Play,Roman Zobnin,5171.0,Left Defensive Midfield,9,Russia,796,['f961417f-853b-423c-8ba9-e90ba6e5d218'],53,,,,,,,,,,,,,,Russia,00:01:53.795,Pass,,63.8,32.3,49.2,25.9,,,
,,,,,,,,,,,,,,,,1.491005,,,,,,,,,,,,,,,,fe3f8f11-a7ce-40a1-bdc5-b950eed1ce6c,71,,,"[48.7, 25.9]",3788769,1,,,,,1.9281552,,Right Foot,,,,"[40.0, 49.2]",,Ground Pass,,24.87127,,,,,Igor Diveev,,,,,,1,Regular Play,Daler Kuzyaev,5179.0,Left Wing Back,9,Russia,796,['5d9bdaa2-268b-4be5-b6e2-b4aa0e833b49'],55,,,,,,,,,,,,,,Russia,00:01:55.355,Pass,,48.7,25.9,40.0,49.2,,,
,,,,,,,,,,,,,,,,1.501114,,,,,,,,,,,,,,,,549bf9d5-0f8b-4332-ab8b-e795de046822,74,,,"[40.5, 49.5]",3788769,1,,,,,1.2478218,,Right Foot,,,,"[48.7, 74.0]",,Ground Pass,,25.835829,,,,,Georgiy Dzhikiya,,,,,,1,Regular Play,Igor Diveev,31917.0,Center Back,9,Russia,796,['31cf0a7e-56c8-4559-8ab4-56d3bc13fe2d'],57,,,,,,,,,,,,,,Russia,00:01:57.944,Pass,,40.5,49.5,48.7,74.0,,,
,,,,,,,,,,,,,,,,0.783835,,,,,,,,,,,,,,,,c87c8761-c54d-406b-99c3-9c69d00f683b,78,,,"[48.7, 74.0]",3788769,2,,,,,0.13168386,,Right Foot,,,,"[63.8, 76.0]",,Ground Pass,,15.231874,,,,,Mário Figueira Fernandes,,,,,,1,Regular Play,Georgiy Dzhikiya,16583.0,Right Center Back,9,Russia,796,"['911ee9f5-2d66-4361-8cbe-f26cf46ed3cf', 'f8ae47fe-0ae5-4c18-a4ee-86839e9f5d44']",0,,,,,,,,,,,,,,Russia,00:02:00.866,Pass,True,48.7,74.0,63.8,76.0,,,
,,,,,,,,,,,,,,,,1.502321,,,,,,,,,,,,,,,,e1b30706-37e1-4624-956e-3e39086bd203,82,,,"[56.9, 0.1]",3788769,2,,,,,2.4738307,,,,,,"[44.6, 9.8]",,Low Pass,,15.66461,,,,,Jannik Vestergaard,,,,,Throw-in,1,From Throw In,Joakim Mæhle,16554.0,Left Wing Back,10,Denmark,776,['147f7bb1-64db-4486-a714-611fba249cc2'],15,,,,,,,,,,,,,,Denmark,00:02:15.262,Pass,,56.9,0.1,44.6,9.8,,,
,,,,,,,,,,,,,,,,1.915373,,,,,,,,,,,,,,,,3928e3b9-96b7-4de9-b919-dff5e69a248e,85,,,"[45.5, 14.4]",3788769,2,,,,,1.593315,,Right Foot,,,,"[45.0, 36.6]",,Ground Pass,,22.20563,,,,,Simon Thorup Kjær,,,,,,1,From Throw In,Jannik Vestergaard,8815.0,Left Center Back,10,Denmark,776,['94c88035-0e5e-42d7-b372-71bb7204cfab'],18,,,,,,,,,,,,,,Denmark,00:02:18.652,Pass,,45.5,14.4,45.0,36.6,,,
,,,,,,,,,,,,,,,,2.979323,,,,,,,,,,,,,,,,810d3c77-3b88-40ee-b791-e880a70085c3,88,,,"[53.5, 44.1]",3788769,2,,,,,0.66438997,,Right Foot,,,,"[92.7, 74.8]",,High Pass,,49.790863,,,Incomplete,,Daniel Wass,,,,,,1,From Throw In,Simon Thorup Kjær,5534.0,Center Back,10,Denmark,776,"['47dd1dcc-400d-4c27-8f13-74c510e38b46', 'ecfe2c4a-b01a-4744-8ce8-5155d8d57930']",22,,,,,,,,,,,,,,Denmark,00:02:22.923,Pass,,53.5,44.1,92.7,74.8,,,
,,,,,,,,,,,,,,,,2.388713,,,,,,,,,,,,,,,,47dd1dcc-400d-4c27-8f13-74c510e38b46,91,,,"[27.4, 5.3]",3788769,2,,,,True,-0.09666746,,,,,,"[43.9, 3.7]",,Low Pass,,16.577394,,,,,Aleksandr Golovin,,,,,Interception,1,From Counter,Daler Kuzyaev,5179.0,Left Wing Back,11,Russia,796,"['21538b28-09fd-424b-a102-fa14e75ce462', '810d3c77-3b88-40ee-b791-e880a70085c3', 'ea907c8e-360a-4c2a-ae51-3e2520388e92']",25,,,,,,,,,,,,,,Russia,00:02:25.903,Pass,True,27.4,5.3,43.9,3.7,,,
,,,,,,,,,,,,,,,,1.437583,,,,,,,,,,,,,,,,aeaae360-5afc-4dd9-810c-38fd14280448,94,,,"[49.6, 2.5]",3788769,2,,,,,0.36346862,,Right Foot,,,,"[65.9, 8.7]",,Ground Pass,,17.439323,,,,,Artem Dzyuba,,,,,,1,From Counter,Aleksandr Golovin,5177.0,Left Wing,11,Russia,796,['f4b5a4d6-9a07-41cf-8aaa-36d74b3fbaf0'],29,,,,,,,,,,,,,,Russia,00:02:29.061,Pass,,49.6,2.5,65.9,8.7,,,
,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,582117ae-c224-4d6b-9726-7cf0ed5d57c8,102,,,"[54.9, 70.7]",3788769,2,,,,,-3.1242032,,Right Foot,,,,"[43.4, 70.5]",,Ground Pass,,11.501739,,,,,Andreas Christensen,,,,,Recovery,1,Regular Play,Thomas Delaney,5527.0,Left Defensive Midfield,12,Denmark,776,['a48b3734-606d-40bd-ba2f-740a6be0cd5c'],32,,,,,,,,,,,,,,Denmark,00:02:32.809,Pass,,54.9,70.7,43.4,70.5,,,
,,,,,,,,,,,,,,,,1.16343,,,,,,,,,,,,,,,,4d7049c7-f857-4f87-8f59-c410e52a5245,105,,,"[43.4, 70.5]",3788769,2,,,,,-2.029368,,Right Foot,,,,"[35.6, 54.7]",,Ground Pass,,17.620443,,,,,Jannik Vestergaard,,,,,,1,Regular Play,Andreas Christensen,3959.0,Right Center Back,12,Denmark,776,['45d0fbf1-3e94-473c-9bf1-67d86b4de53b'],34,,,,,,,,,,,,,,Denmark,00:02:34.229,Pass,,43.4,70.5,35.6,54.7,,,
,,,,,,,,,,,,,,,,1.221707,,,,,,,,,,,,,,,,5bf9e83e-b2d3-4569-ba2a-4172c7d27a49,111,,,"[47.1, 72.3]",3788769,3,,True,,,-2.0280745,,Right Foot,,,,"[40.9, 59.7]",,Ground Pass,,14.042791,,,,,Simon Thorup Kjær,,,,,,1,Other,Andreas Christensen,3959.0,Right Center Back,15,Russia,796,['ed53e4e5-950a-4cab-a428-9fd27abff408'],16,,,,,,,,,,,,,,Denmark,00:03:16.845,Pass,,47.1,72.3,40.9,59.7,,,
