ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,7238d14b-d9c4-4492-8840-d5fc1cfb195d,1925,,,"[13.5, 40.1]",3788767,49,True,,,-1.0691923,,Right Foot,,,,"[20.3, 27.7]",,Ground Pass,,14.142136,,,,Florian Grillitsch,,,,,Free Kick,2,From Free Kick,Daniel Bachmann,21532.0,Goalkeeper,111,Austria,915,['5a48e74f-197d-457a-8715-542c00def8a5'],24,,,,,,,,,,,,,,Austria,00:04:24.984,Pass,,13.5,40.1,20.3,27.7,,,
,,,,,,,,,,,,,,,,,0.926599,,,,,,,,,,,,a76b8c56-41af-4ff1-9328-ac4ec77eeb45,1927,,,"[21.8, 27.0]",3788767,49,,,,2.4592762,,Right Foot,,,,"[7.4, 38.7]",,Ground Pass,,18.553976,,,,Daniel Bachmann,,,,,,2,From Free Kick,Florian Grillitsch,11396.0,Left Center Midfield,111,Austria,915,['68578c47-3200-454f-8dac-9517f5b0cf88'],28,,,,,,,,,,,,,,Austria,00:04:28.951,Pass,,21.8,27.0,7.4,38.7,,,
,,,,,,,,,,,,,,,,,1.195897,,,,,,,,,,,,c0550f54-7e47-40d4-bb27-cc2568244a91,1930,,,"[9.2, 40.8]",3788767,49,,,,-1.0354632,,Right Foot,,,,"[17.8, 26.3]",,Ground Pass,,16.858528,,,,Florian Grillitsch,,,,,,2,From Free Kick,Daniel Bachmann,21532.0,Goalkeeper,111,Austria,915,['1796cdd6-0a71-4ca1-a224-941cbdc31285'],30,,,,,,,,,,,,,,Austria,00:04:30.273,Pass,,9.2,40.8,17.8,26.3,,,
,,,,,,,,,,,,,,,,,1.41236,,,,,,,,,,,,491e0f91-9456-4de5-a6a3-1ffde6e68f2f,1934,,,"[15.0, 25.7]",3788767,49,,,,0.16569097,,Right Foot,,,,"[44.9, 30.7]",,Ground Pass,,30.315178,,,,Marko Arnautović,,,,,,2,From Free Kick,Florian Grillitsch,11396.0,Left Center Midfield,111,Austria,915,"['f0b923fd-357f-410f-8c0a-c9c728194b5d', 'fcd9c1f1-0db7-4021-b97c-f86977e27f74']",32,,,,,,,,,,,,,,Austria,00:04:32.603,Pass,True,15.0,25.7,44.9,30.7,,,
,,,,,,,,,,,,,,,,,0.328781,,,,,,,,,,,,b5fd9e31-a53f-4f8c-9a5c-9fbea2edc6aa,1937,,,"[43.1, 31.4]",3788767,49,,,,-1.0029523,,Right Foot,,,,"[46.8, 25.6]",,Ground Pass,,6.87968,,Incomplete,,Konrad Laimer,,,,,,2,From Free Kick,Marko Arnautović,3325.0,Center Forward,111,Austria,915,"['26367b2b-bfcd-4459-81e6-1355bd0e56f6', 'cf365505-21cc-42fc-8f20-c1f213a872a6']",34,,,,,,,,,,,,,,Austria,00:04:34.135,Pass,,43.1,31.4,46.8,25.6,,,
,,,,,,,,,,,,,,,,,1.138385,,,,,,,,,,,,d2ad4b07-9bbe-413b-b3ce-0ca7e619c332,1940,,,"[38.0, 16.9]",3788767,49,,,,-2.4353936,,Left Foot,,,,"[31.2, 11.1]",,Ground Pass,,8.937561,,,,Martin Hinteregger,,,,,Recovery,2,From Free Kick,Marko Arnautović,3325.0,Center Forward,111,Austria,915,['5c93fc11-b212-4005-98af-b2d600eda24a'],35,,,,,,,,,,,,,,Austria,00:04:35.894,Pass,,38.0,16.9,31.2,11.1,,,
,,,,,,,,,,,,,,,,,1.12728,,,,,,,,,,,,4c6d4a30-35b6-4f36-bacf-2db59508392b,1942,,,"[31.2, 13.1]",3788767,49,,,,-0.43523148,,Left Foot,,,,"[46.9, 5.8]",,Ground Pass,,17.314156,,,,David Olatukunbo Alaba,,,,,,2,From Free Kick,Martin Hinteregger,8307.0,Left Center Back,111,Austria,915,['f9cc8d2f-5c3e-42b7-8255-355a0f40b9af'],37,,,,,,,,,,,,,,Austria,00:04:37.033,Pass,,31.2,13.1,46.9,5.8,,,
,,,,,,,,,,,,,,,,,0.203533,,,,,,,,,,,,ef3d0f76-53e4-46ba-9558-fe00cd6d7a0e,1945,,,"[58.8, 4.8]",3788767,49,,,,0.071307465,,Left Foot,,,,"[61.6, 5.0]",,Ground Pass,,2.8071337,,Incomplete,,,,,,,,2,From Free Kick,David Olatukunbo Alaba,8220.0,Left Back,111,Austria,915,['4fdf8f34-a0bb-41bd-b0b9-9a5f82748185'],42,,,,,,,,,,,,,,Austria,00:04:42.426,Pass,,58.8,4.8,61.6,5.0,,,
,,,,,,,,,,,,,,,,,3.131368,,,,,,,,,,,,57e189fb-8a26-40ef-9d2c-d88268edb735,1947,,,"[46.4, 12.1]",3788767,49,,,,1.0076276,,Left Foot,,,,"[78.6, 63.1]",,High Pass,,60.31451,,,,Stefan Lainer,,True,,,Recovery,2,From Free Kick,Martin Hinteregger,8307.0,Left Center Back,111,Austria,915,['3b6e4a01-e439-49ea-9021-b75e5de75b3d'],44,,,,,,,,,,,,,,Austria,00:04:44.803,Pass,,46.4,12.1,78.6,63.1,,,
,,,,,,,,,,,,,,,,,0.72994,,,,,,,,,,,,4d9ed119-7903-457d-8e19-1fa98896bf7d,1958,,,"[31.6, 3.8]",3788767,49,,,,-0.23941286,,Left Foot,,,,"[44.3, 0.7]",,High Pass,,13.072873,,Out,,,,,,,,2,Regular Play,Vitalii Mykolenko,20827.0,Left Back,112,Ukraine,911,,52,,,,,,,,,,,,,,Ukraine,00:04:52.536,Pass,,31.6,3.8,44.3,0.7,,,
