50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,1.799181,,,,,,,,,,,,,1a0a13e8-b653-456e-b175-bf8bb437b35c,57,,"[39.9, 26.3]",3788772,0,,,,,1.838622,,Right Foot,,,"[34.0, 47.8]",,Ground Pass,22.294842,,,,John Stones,,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['564c725e-38db-461f-8619-2a17268ce390'],55,,,,,,,,,,,,,,,England,00:00:55.610,Pass,,39.9,26.3,34.0,47.8,,,
,,,,,,,,,,,,,,,,,1.588321,,,,,,,,,,,,,1eb47eb5-36c6-4a10-aa69-49dad3883851,60,,"[37.0, 49.9]",3788772,1,,,,,1.5103861,,Right Foot,,,"[38.5, 74.7]",,Ground Pass,24.845322,,,,Kalvin Phillips,,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['a915e311-916f-4834-bab2-fb2a9fafd748'],2,,,,,,,,,,,,,,,England,00:01:02.449,Pass,,37.0,49.9,38.5,74.7,,,
,,,,,,,,,,,,,,,,,1.721045,,,,,,,,,,,,,0c615297-9293-4c81-a998-5713a523a733,63,,"[37.4, 73.5]",3788772,1,,,,,-2.2745261,,Right Foot,,,"[24.5, 58.3]",,Ground Pass,19.936148,,,,John Stones,,,,,,,1,Regular Play,Kalvin Phillips,4706.0,Right Defensive Midfield,3,England,768,['88ed3f5f-de3e-4a4c-96fb-67395c079f6d'],4,,,,,,,,,,,,,,,England,00:01:04.744,Pass,,37.4,73.5,24.5,58.3,,,
,,,,,,,,,,,,,,,,,2.404639,,,,,,,,,,,,,44958569-f2a3-4d85-91cd-f7d23ccaee0f,66,,"[23.5, 56.2]",3788772,1,,,,,-2.195905,,Right Foot,,,"[9.5, 36.8]",,Ground Pass,23.924046,,,,Jordan Pickford,,,,,,,1,Regular Play,John Stones,3244.0,Right Center Back,3,England,768,['028e4ee6-365f-4ada-84ea-14982d74ae5b'],7,,,,,,,,,,,,,,,England,00:01:07.383,Pass,,23.5,56.2,9.5,36.8,,,
,,,,,,,,,,,,,,,,,2.308658,,,,,,,,,,,,,a25d2c38-1353-45dd-8d21-986e654c1162,69,,"[15.8, 32.0]",3788772,1,,,,,-1.4579769,,Right Foot,,,"[18.1, 11.7]",,Ground Pass,20.42988,,,,Harry Maguire,,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,3,England,768,['53a995d2-d1e5-4ab9-9242-291091c59b5b'],13,,,,,,,,,,,,,,,England,00:01:13.397,Pass,,15.8,32.0,18.1,11.7,,,
,,,,,,,,,,,,,,,,,2.481913,,,,,,,,,,,,,94371f55-59f3-44dd-a263-fd7109941c27,71,,"[18.1, 11.7]",3788772,1,,,,,2.1217787,,Right Foot,,,"[7.9, 28.3]",,Ground Pass,19.483326,,,,Jordan Pickford,,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['d97a505e-1bd4-433d-b80b-f975b1378800'],15,,,,,,,,,,,,,,,England,00:01:15.705,Pass,,18.1,11.7,7.9,28.3,,,
,,,,,,,,,,,,,,,,,1.139826,,,,,,,,,,,,,d1f28209-65e7-480b-94c3-2e4730758721,74,,"[6.9, 29.8]",3788772,1,,,,,-0.022552567,,Left Foot,,,"[20.2, 29.5]",,Ground Pass,13.303383,,,,Declan Rice,,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,3,England,768,"['7410e415-9e7e-47fa-9748-cf55df1d5cd5', 'b2d494fd-59d1-4bd7-8959-b2e46c5c5569']",18,,,,,,,,,,,,,,,England,00:01:18.187,Pass,True,6.9,29.8,20.2,29.5,,,
,,,,,,,,,,,,,,,,,1.84352,,,,,,,,,,,,,ceb3686e-27b5-43dd-a636-f5a928c389b8,76,,"[20.4, 28.7]",3788772,1,,,,,-1.8873656,,Left Foot,,,"[14.7, 11.3]",,Ground Pass,18.309834,,,,Harry Maguire,,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,3,England,768,['f7aa0807-4410-4fdf-bd52-ebcbd2d1b872'],19,,,,,,,,,,,,,,,England,00:01:19.327,Pass,,20.4,28.7,14.7,11.3,,,
,,,,,,,,,,,,,,,,,2.350026,,,,,,,,,,,,,16c17b5e-6602-4a85-975a-02701e30e6a6,78,,"[15.2, 10.3]",3788772,1,,,,,2.2745261,,Right Foot,,,"[2.3, 25.5]",,Ground Pass,19.936148,,,,Jordan Pickford,,,,,,,1,Regular Play,Harry Maguire,3336.0,Left Center Back,3,England,768,['bb1d36d4-4551-48c7-91d3-1399571db7f3'],21,,,,,,,,,,,,,,,England,00:01:21.171,Pass,,15.2,10.3,2.3,25.5,,,
,,,,,,,,,,,,,,,,,3.605202,,,,,,,,,,,,,4f1e5096-6bdb-4ebe-930f-ec4b719bbc30,81,,"[1.1, 23.6]",3788772,1,,,,,-0.22409777,,Left Foot,,,"[49.8, 12.5]",,High Pass,49.948975,,Incomplete,,Raheem Sterling,,,,,,,1,Regular Play,Jordan Pickford,3468.0,Goalkeeper,3,England,768,"['4676840f-c0cb-4b2c-b815-87e6e7ff5172', '85b1a929-6ee0-446b-80a7-be1542523209', '88c2809e-292e-4fe2-af8b-a1623a41a167']",23,,,,,,,,,,,,,,,England,00:01:23.521,Pass,True,1.1,23.6,49.8,12.5,,,
,,,,,,,,,,,,,,,,,1.768021,,,,,,,,,,,,,4676840f-c0cb-4b2c-b815-87e6e7ff5172,84,,"[70.3, 67.6]",3788772,1,,,,True,-0.37342864,,,,,"[87.4, 60.9]",,High Pass,18.365728,,Incomplete,,Lukáš Masopust,,,,,,Recovery,1,Regular Play,Ondrej Celustka,30328.0,Right Center Back,3,England,768,"['2b474c54-89ae-4bb5-a927-9ea8802d1aab', '4c134af2-f433-4ec0-9b77-ba737b5a7013', '4f1e5096-6bdb-4ebe-930f-ec4b719bbc30', 'cd2900bf-ec10-465a-a321-d72cfcf6dba1']",27,,,,,,,,,,,,,,,Czech Republic,00:01:27.126,Pass,True,70.3,67.6,87.4,60.9,,,
,,,,,,,,,,,,,,,,,0.942094,,,,,,,,,,,,,0d751e5a-50d8-498a-8b87-d191d22f30b7,90,,"[35.5, 29.3]",3788772,1,,,,,-1.4732052,,Right Foot,,,"[36.9, 15.0]",,Ground Pass,14.368368,,,,Declan Rice,,,,,,,1,Regular Play,Kalvin Phillips,4706.0,Right Defensive Midfield,3,England,768,['a4c99ecd-6aa9-4a2a-ba07-f134311e66f3'],30,,,,,,,,,,,,,,,England,00:01:30.981,Pass,,35.5,29.3,36.9,15.0,,,
,,,,,,,,,,,,,,,,,1.031607,,,,,,,,,,,,,745ddbe9-6e33-4727-84cf-cc2ee72dc794,93,,"[37.1, 14.0]",3788772,1,,,,,-0.15790991,,Right Foot,,,"[52.8, 11.5]",,Low Pass,15.897799,,,,Harry Kane,,,,,,,1,Regular Play,Declan Rice,3943.0,Left Defensive Midfield,3,England,768,['c0961c63-1336-4f3d-9295-c3115d720bc6'],32,,,,,,,,,,,,,,,England,00:01:32.652,Pass,,37.1,14.0,52.8,11.5,,,
,,,,,,,,,,,,,,,,,1.532267,,,,,,,,,,,,,897d47b9-9b11-48a8-a2ea-bbe0a9bc0539,97,,"[51.4, 29.9]",3788772,1,,,,,-0.7735784,,Right Foot,,,"[72.8, 9.0]",,Ground Pass,29.912706,,Incomplete,,Jack Grealish,,,,,,,1,Regular Play,Harry Kane,10955.0,Center Forward,3,England,768,"['30d6d0c9-c7e5-43d0-8a32-f63cf44ce8f1', '4c869c10-22dd-44bc-8f91-26a0a45f5bc9']",39,,,,,,,,,,,,,,,England,00:01:39.900,Pass,,51.4,29.9,72.8,9.0,,,
,,,,,,,,,,,,,,,,,1.10174,,,,,,,,,,,,,daada946-2db6-45f7-9a7f-2c856a58cbc8,102,,"[62.0, 20.9]",3788772,1,,,,,-1.6327325,,Right Foot,,,"[61.2, 8.0]",,Ground Pass,12.924783,,,,Luke Shaw,,,,,,Recovery,1,Regular Play,Harry Kane,10955.0,Center Forward,3,England,768,['02bc50a6-12f2-4b16-9280-7818f1c8c21c'],42,,,,,,,,,,,,,,,England,00:01:42.433,Pass,,62.0,20.9,61.2,8.0,,,
,,,,,,,,,,,,,,,,,3.539484,,,,,,,,,,,,,b6ae05f3-49e2-48a0-8f74-bbe657e383c3,105,,"[63.3, 8.0]",3788772,1,,,,,0.42527524,ac6e1b26-807b-4776-9ba0-d91d18c88fe5,Left Foot,,,"[107.9, 28.2]",,High Pass,48.96121,,,,Raheem Sterling,True,,,Through Ball,True,,1,Regular Play,Luke Shaw,3382.0,Left Back,3,England,768,['f36277b8-89a0-46f1-8de2-f85a3d9ea77e'],44,,,,,,,,,,,,,,,England,00:01:44.288,Pass,,63.3,8.0,107.9,28.2,,,
