ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.994996,,,,,,,,,,,,,97d67db9-e991-4531-881a-a09e6da0e760,55,,,"[22.7, 22.6]",3788757,1,,,,1.9121071,,Right Foot,,,,"[13.5, 48.5]",,Ground Pass,,27.48545,,,,,Toby Alderweireld,,,,,,1,From Free Kick,Youri Tielemans,2954.0,Left Defensive Midfield,7,Belgium,782,['f157886c-ba53-42e8-ae34-68f1fdb58c04'],28,,,,,,,,,,,,,,,Belgium,00:01:28.523,Pass,,22.7,22.6,13.5,48.5,,,
,,,,,,,,,,,,,,,,1.497607,,,,,,,,,,,,,8eae8994-3ee5-48a0-b661-a606faf3ae14,58,,,"[20.4, 54.3]",3788757,1,,,,-1.8057377,,Right Foot,,,,"[15.9, 35.5]",,Ground Pass,,19.331062,,,,,Jason Denayer,,,,,,1,From Free Kick,Toby Alderweireld,20005.0,Right Center Back,7,Belgium,782,['6e8bc80b-b87f-414a-8b1c-ef4630495be6'],33,,,,,,,,,,,,,,,Belgium,00:01:33.402,Pass,,20.4,54.3,15.9,35.5,,,
,,,,,,,,,,,,,,,,1.116124,,,,,,,,,,,,,2fb8af62-b63f-4145-a1ee-c00402a50268,63,,,"[19.3, 32.3]",3788757,1,,,,0.4135756,,Right Foot,,,,"[37.3, 40.2]",,Ground Pass,,19.657314,,,Incomplete,,Youri Tielemans,,,,,,1,From Free Kick,Jason Denayer,13116.0,Center Back,7,Belgium,782,"['e0585fbf-3450-4fd4-9b03-d39920d36cb4', 'f2388401-825d-4788-abcc-f383c146ab02', 'fb39c8dd-858b-4a37-be41-8ccab65eb617']",35,,,,,,,,,,,,,,,Belgium,00:01:35.543,Pass,True,19.3,32.3,37.3,40.2,,,
,,,,,,,,,,,,,,,,1.114913,,,,,,,,,,,,,dc890e13-7075-4a34-b776-dc96c9d843c2,69,,,"[91.6, 40.6]",3788757,1,,,,0.23342802,2fba73ef-d0bd-49fb-be0f-da32dc92f5d3,Right Foot,,,,"[105.9, 44.0]",True,Ground Pass,,14.698639,,,,,Yussuf Yurary Poulsen,,,,,,1,From Counter,Pierre-Emile Højbjerg,3570.0,Right Defensive Midfield,8,Denmark,776,"['66e8bdfb-5724-4055-a063-3b536defc36a', '8eb3c64e-47ab-4230-8789-ced4728b00e6', 'cedd1900-5170-404d-8665-16e91f25d153']",38,,,,,,,,,,,,,,,Denmark,00:01:38.087,Pass,True,91.6,40.6,105.9,44.0,,,
,,,,,,,,,,,,,,,,0.509942,,,,,,,,,,,,,d30998d4-3bdd-4cdc-b868-abf2d2e78b5f,74,,,"[61.0, 40.1]",3788757,2,True,,,3.0606885,,Right Foot,,,,"[38.8, 41.9]",,Ground Pass,,22.272854,,,,,Dries Mertens,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,9,Belgium,782,['c5911909-60d4-4554-9247-0bef89e2e355'],38,,,,,,,,,,,,,,,Belgium,00:02:38.456,Pass,,61.0,40.1,38.8,41.9,,,
,,,,,,,,,,,,,,,,1.086786,,,,,,,,,,,,,0fa9e5ce-1e1a-47dd-95b7-6c0e8c1c44ce,76,,,"[41.5, 41.9]",3788757,2,True,,,0.7810058,,Right Foot,,,,"[75.8, 75.9]",,High Pass,,48.29586,,,Incomplete,,,,,,,,1,From Kick Off,Dries Mertens,5630.0,Right Attacking Midfield,9,Belgium,782,['3c9a9ec2-4d36-4704-b664-4bec56a25190'],40,,,,,,,,,,,,,,,Belgium,00:02:40.538,Pass,,41.5,41.9,75.8,75.9,,,
,,,,,,,,,,,,,,,,0.791908,,,,,,,,,,,,,3c9a9ec2-4d36-4704-b664-4bec56a25190,77,,,"[44.3, 4.2]",3788757,2,,,,2.0222495,,Right Foot,,,,"[41.1, 10.8]",,Low Pass,,7.3348484,,,Incomplete,,Thomas Delaney,,,,,Recovery,1,From Kick Off,Joakim Mæhle,16554.0,Left Wing Back,9,Belgium,782,"['0fa9e5ce-1e1a-47dd-95b7-6c0e8c1c44ce', 'ee727a8a-9788-4183-928f-52a9eb9a76c4', 'f7347bd5-ff06-4d12-b75e-f97e3ba0b6ab']",41,,,,,,,,,,,,,,,Denmark,00:02:41.625,Pass,,44.3,4.2,41.1,10.8,,,
,,,,,,,,,,,,,,,,0.441961,,,,,,,,,,,,,f7347bd5-ff06-4d12-b75e-f97e3ba0b6ab,79,,,"[79.0, 69.3]",3788757,2,,,,-2.9546134,,Right Foot,,,,"[75.3, 68.6]",,Ground Pass,,3.765634,,,Incomplete,,Leander Dendoncker,,,,,Recovery,1,From Kick Off,Dries Mertens,5630.0,Right Attacking Midfield,9,Belgium,782,"['3c9a9ec2-4d36-4704-b664-4bec56a25190', '412a6086-d51b-4402-9ed1-e9319a2923fc', '680a5641-626f-4bcb-bfe8-2a2feb448f92']",42,,,,,,,,,,,,,,,Belgium,00:02:42.417,Pass,,79.0,69.3,75.3,68.6,,,
,,,,,,,,,,,,,,,,2.953999,,,,,,,,,,,,,da4ec174-7976-4fee-b16e-03d34e207423,84,,,"[43.3, 16.2]",3788757,2,,,,1.1330749,,Left Foot,,,,"[55.0, 41.2]",,Ground Pass,,27.602354,,,Incomplete,,Pierre-Emile Højbjerg,,,,,,1,From Kick Off,Thomas Delaney,5527.0,Left Defensive Midfield,9,Belgium,782,"['3e8f7b6e-89c0-46f8-9f0a-f26259803a0d', '80559a01-fd85-4ca0-b1d7-f638d6591d53', 'ffd37cd0-ef47-4b6d-8407-d2fa0d1884ef']",43,,,,,,,,,,,,,,,Denmark,00:02:43.646,Pass,True,43.3,16.2,55.0,41.2,,,
,,,,,,,,,,,,,,,,1.628192,,,,,,,,,,,,,da6953ad-68ba-4863-b9b2-9703567b7da6,88,,,"[68.7, 51.3]",3788757,2,,,,1.5072117,,Right Foot,,,,"[70.4, 78.0]",,Ground Pass,,26.754065,,,,,Thomas Meunier,,,,,,1,From Kick Off,Thorgan Hazard,5632.0,Left Wing Back,9,Belgium,782,['b30c954e-06f2-4dfb-bb2d-fc2eae9a8c9b'],48,,,,,,,,,,,,,,,Belgium,00:02:48.414,Pass,,68.7,51.3,70.4,78.0,,,
