ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,0.809044,,,,,,,,,,,,0c486d38-4e62-4f29-89bb-f2ae8b02959d,3036,,"[69.1, 63.7]",3788745,82,,,,1.4644035,,Left Foot,,,,"[70.2, 74.0]",,Low Pass,,10.358571,,,Šime Vrsaljko,,,,,,,2,Regular Play,Domagoj Vida,5468.0,Right Center Back,130,Croatia,785,['64d9f975-3826-46ac-a604-b5c13d4122c9'],49,,,,,,,,,,,,,,Croatia,00:37:49.889,Pass,,69.1,63.7,70.2,74.0,,,
,,,,,,,,,,,,,,,,,1.110345,,,,,,,,,,,,5799418f-57af-460b-baf8-f8daa1161410,3039,,"[70.2, 74.0]",3788745,82,,,,0.4234394,,Right Foot,,,,"[77.3, 77.2]",,Ground Pass,,7.787811,,,Josip Brekalo,,,,,,,2,Regular Play,Šime Vrsaljko,5461.0,Right Back,130,Croatia,785,['40339eb5-ab01-4610-9659-42df985cdc56'],51,,,,,,,,,,,,,,Croatia,00:37:51.771,Pass,,70.2,74.0,77.3,77.2,,,
,,,,,,,,,,,,,,,,,1.710361,,,,,,,,,,,,fa6b6692-3768-4e08-9e6d-b1acc5274c55,3042,,"[76.8, 66.9]",3788745,82,,,,-2.285605,,Right Foot,,,,"[58.4, 45.7]",,Ground Pass,,28.071337,,,Duje Ćaleta-Car,,,,,,,2,Regular Play,Josip Brekalo,8946.0,Right Wing,130,Croatia,785,['7bd4127c-78c2-439f-ac71-c5236e4de136'],57,,,,,,,,,,,,,,Croatia,00:37:57.587,Pass,,76.8,66.9,58.4,45.7,,,
,,,,,,,,,,,,,,,,,2.119729,,,,,,,,,,,,fbb931e0-5ed0-42d0-b391-1fbc2e867dbe,3045,,"[63.1, 43.8]",3788745,83,,,,-0.63515306,,Right Foot,,,,"[90.1, 23.9]",,High Pass,,33.54117,,,Ivan Perišić,,,,,,,2,Regular Play,Duje Ćaleta-Car,6307.0,Left Center Back,130,Croatia,785,['d8f955d1-a0b7-4114-adfa-3998832cc139'],0,,,,,,,,,,,,,,Croatia,00:38:00.316,Pass,,63.1,43.8,90.1,23.9,,,
,,,,,,,,,,,,,,,,,2.215804,,,,,,,,,,,,90d23ca1-572d-41f1-b308-85dc6de0df97,3048,,"[98.4, 14.5]",3788745,83,,,,0.9744187,,Left Foot,True,,,"[117.0, 41.9]",,High Pass,,33.116764,,Incomplete,,,,,,,,2,Regular Play,Ivan Perišić,5474.0,Left Wing,130,Croatia,785,['1d70fc6a-8fcd-4a85-8426-f8001cef9720'],5,,,,,,,,,,,,,,Croatia,00:38:05.147,Pass,,98.4,14.5,117.0,41.9,,,
,,,,,,,,,,,,,,,,,6.311245,,,,,,,,,,,,0c447a9d-9c48-400e-89ac-8b03edf338cd,3051,,"[17.0, 25.8]",3788745,83,,,,-0.45774797,,Drop Kick,,,,"[57.8, 5.7]",,High Pass,,45.482414,,Incomplete,Jude Bellingham,,,,,,,2,Regular Play,Jordan Pickford,3468.0,Goalkeeper,130,Croatia,785,"['484f626e-ff5d-4f3c-9927-c391588fe988', 'a56f5862-e294-44a0-b40a-ca014bede1e6']",33,,,,,,,,,,,,,,England,00:38:33.362,Pass,,17.0,25.8,57.8,5.7,,,
,,,,,,,,,,,,,,,,,1.293474,,,,,,,,,,,,f2943e1a-53d2-42e9-92c3-3cf3d7d9ae06,3055,,"[62.1, 0.1]",3788745,84,,,,0.11542666,,,,,,"[82.8, 2.5]",,High Pass,,20.838667,,Incomplete,Marcus Rashford,,,,,,Throw-in,2,From Throw In,Kieran Trippier,3308.0,Left Back,131,England,768,"['2cb3b275-4c03-4bc4-bffb-b16bd223e67b', '96e0cae5-2891-4f10-8c8a-75ff38fffeae']",2,,,,,,,,,,,,,,England,00:39:02.495,Pass,,62.1,0.1,82.8,2.5,,,
,,,,,,,,,,,,,,,,,1.596617,,,,,,,,,,,,2cb3b275-4c03-4bc4-bffb-b16bd223e67b,3057,,"[37.3, 77.6]",3788745,84,,,,-0.4064185,,Right Foot,,,,"[53.1, 70.8]",,High Pass,,17.201162,,,Luka Modrić,,,,,,Interception,2,Regular Play,Šime Vrsaljko,5461.0,Right Back,132,Croatia,785,"['f2943e1a-53d2-42e9-92c3-3cf3d7d9ae06', 'f5bc7120-54cc-49b1-9743-383642951839']",3,,,,,,,,,,,,,,Croatia,00:39:03.788,Pass,,37.3,77.6,53.1,70.8,,,
,,,,,,,,,,,,,,,,,0.624974,,,,,,,,,,,,3facb9cd-d349-4baf-9d2c-b8b0b50b468f,3064,,"[60.1, 71.0]",3788745,84,,,,0.13613896,,Right Foot,,,,"[67.4, 72.0]",,Ground Pass,,7.368175,,,Bruno Petković,,,,,,,2,Regular Play,Luka Modrić,5463.0,Right Center Midfield,132,Croatia,785,['9eb4bfdb-cf88-44e6-99d8-434145a55879'],6,,,,,,,,,,,,,,Croatia,00:39:06.863,Pass,,60.1,71.0,67.4,72.0,,,
,,,,,,,,,,,,,,,,,0.817029,,,,,,,,,,,,7407fef4-941f-4f07-a71e-09a4bda47b78,3067,,"[67.8, 72.3]",3788745,84,,,,2.4360244,,Right Foot,,,,"[65.1, 74.6]",,Low Pass,,3.5468295,,Incomplete,Luka Modrić,,,,,,,2,Regular Play,Bruno Petković,7693.0,Center Forward,132,Croatia,785,"['04987067-9a9d-4775-86ee-eb72c7566843', '9fcb1875-8fd9-4fa4-8101-42665779c34d', 'a14b3ccd-3048-4576-b80f-09293489d327']",7,,,,,,,,,,,,,,Croatia,00:39:07.488,Pass,True,67.8,72.3,65.1,74.6,,,
