50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,,1.495937,,,,,,,,,,,,,7196a704-72cf-4a55-883b-5d92da7131c2,1575,,,"[73.0, 78.1]",3788750,40,,,True,-0.63231945,,,,,,"[83.1, 70.7]",Low Pass,,12.520782,,,,Marcus Berg,,,,,,1,From Free Kick,Sebastian Larsson,5617.0,Right Midfield,62,Sweden,790,"['95d1ae38-f3e5-442c-ad21-f2621ea50fb9', 'd3a607f8-1168-4758-aed2-ab5c8a13aea6']",33,,,,,,,,,,,,,,,Sweden,00:40:33.014,Pass,True,73.0,78.1,83.1,70.7,,,
,,,,,,,,,,,,,,,,,,,2.898664,,,,,,,,,,,,,f3acd5d2-118a-4e7e-86af-6a677711f08a,1577,,,"[83.1, 70.7]",3788750,40,,,,-0.5813802,ed9a448f-e463-4a99-9874-0e8b62694f75,Right Foot,,,,"[107.6, 54.6]",High Pass,,29.316547,,,,Alexander Isak,True,,,,,1,From Free Kick,Marcus Berg,11098.0,Right Center Forward,62,Sweden,790,['f7b9097d-80dd-4b72-b4ad-3ba3f3e35f08'],34,,,,,,,,,,,,,,,Sweden,00:40:34.510,Pass,,83.1,70.7,107.6,54.6,,,
,,,,,,,,,,,,,,,,,,,2.883832,,,,,,,,,,,,,3167991f-7b89-474a-a2e2-fc166a516fac,1587,,,"[9.0, 38.0]",3788750,40,True,,,0.7052781,,Keeper Arm,,,,"[23.8, 50.6]",Ground Pass,,19.437078,,,,Pau Francisco Torres,,,,,,1,Regular Play,Unai Simón Mendibil,11748.0,Goalkeeper,63,Spain,772,['aa63d9cb-6365-4f47-853a-cc3941a9616f'],49,,,,,,,,,,,,,,,Spain,00:40:49.954,Pass,,9.0,38.0,23.8,50.6,,,
,,,,,,,,,,,,,,,,,,,2.382449,,,,,,,,,,,,,9d55c65a-3f47-4e0d-aa65-5d15c4b114af,1589,,,"[22.6, 50.6]",3788750,40,True,,,-0.94354117,,Left Foot,,,,"[45.0, 19.7]",Ground Pass,,38.165035,,,,Pedro González López,,,,,,1,Regular Play,Pau Francisco Torres,6892.0,Left Center Back,63,Spain,772,['5ee0eafe-94a6-49a8-988d-8432287c973c'],53,,,,,,,,,,,,,,,Spain,00:40:53.412,Pass,,22.6,50.6,45.0,19.7,,,
,,,,,,,,,,,,,,,,,,,2.536634,,,,,,,,,,,,,eb3c1755-59c3-40fa-830b-b98d4967ea6b,1591,,,"[51.4, 19.7]",3788750,40,,,,1.7748142,,Right Foot,,,,"[44.8, 51.6]",Low Pass,,32.575603,,,,Jorge Resurrección Merodio,,,,,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,63,Spain,772,['36b11508-2f9b-4bf6-91a6-695e2ae90a5d'],58,,,,,,,,,,,,,,,Spain,00:40:58.356,Pass,,51.4,19.7,44.8,51.6,,,
,,,,,,,,,,,,,,,,,,,2.200552,,,,,,,,,,,,,24195865-7213-4b9f-82a0-0c8244a3ee8c,1594,,,"[43.0, 59.0]",3788750,41,,,,0.6287963,,Right Foot,,,,"[63.9, 74.2]",Ground Pass,,25.842794,,,,Marcos Llorente Moreno,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,63,Spain,772,['84b5cf6e-dd1b-400a-9ec8-6e9a3c08d5b2'],2,,,,,,,,,,,,,,,Spain,00:41:02.523,Pass,,43.0,59.0,63.9,74.2,,,
,,,,,,,,,,,,,,,,,,,1.381656,,,,,,,,,,,,,67e5e58d-ad1b-41e9-a5b9-e954b4efd0c1,1597,,,"[71.3, 75.2]",3788750,41,,,,-2.2344966,,Right Foot,,,,"[65.2, 67.4]",Ground Pass,,9.90202,,,,Jorge Resurrección Merodio,,,,,,1,Regular Play,Marcos Llorente Moreno,6840.0,Right Back,63,Spain,772,['662833d0-c53a-4fc9-8e83-1f542b844121'],6,,,,,,,,,,,,,,,Spain,00:41:06.353,Pass,,71.3,75.2,65.2,67.4,,,
,,,,,,,,,,,,,,,,,,,2.534335,,,,,,,,,,,,,41c964b8-dbdb-4684-bbc2-c29368ad7012,1600,,,"[69.9, 63.5]",3788750,41,,,,-1.4896599,,Right Foot,,,,"[74.6, 5.7]",High Pass,,57.990776,,,,Jordi Alba Ramos,,True,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,63,Spain,772,['79aa66d8-e96a-4aa4-8f7d-1d84d5a669e0'],11,,,,,,,,,,,,,,,Spain,00:41:11.117,Pass,,69.9,63.5,74.6,5.7,,,
,,,,,,,,,,,,,,,,,,,1.100992,,,,,,,,,,,,,72190cd1-e667-4afa-973f-233e649daadc,1603,,,"[83.9, 17.4]",3788750,41,,,,1.5922216,,Left Foot,,,,"[83.3, 45.4]",Ground Pass,,28.006428,,,,Jorge Resurrección Merodio,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,63,Spain,772,['175f73e2-2939-4b6d-8fc4-cc66a765eac7'],17,,,,,,,,,,,,,,,Spain,00:41:17.283,Pass,,83.9,17.4,83.3,45.4,,,
,,,,,,,,,,,,,,,,,,,0.529494,,,,,,,,,,,,,319e4524-1814-4119-8efa-e8462e667611,1605,,,"[83.3, 45.8]",3788750,41,,,,-1.0219127,,Right Foot,,,,"[90.7, 33.7]",Ground Pass,,14.183441,,Incomplete,,Álvaro Borja Morata Martín,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,63,Spain,772,"['16ea719f-7572-434b-99ef-ba6b0ce43c4f', '572fcb0f-ec6a-4516-b809-58a42fc996e7']",18,,,,,,,,,,,,,,,Spain,00:41:18.384,Pass,,83.3,45.8,90.7,33.7,,,
