50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,1.400221,,,,,,,,,,,,,,8bb58da8-cff9-47f6-96fe-bb48201fd98a,840,,"[51.2, 74.0]",3795107,18,,,,,-2.3107712,,Right Foot,,,,"[42.8, 64.8]",,Ground Pass,,12.45793,,,Leonardo Bonucci,,,,,,1,Regular Play,Giovanni Di Lorenzo,11514.0,Right Back,35,Italy,914,['0955ac50-4703-4c12-9753-b859a87749a5'],42,,,,,,,,,,,,,,,,Italy,00:18:42.905,Pass,,51.2,74.0,42.8,64.8,,,
,,,,,,,,,,,,,,,,,,1.377204,,,,,,,,,,,,,,45b37cfe-fa52-4bd7-b6a1-346f63c0eb59,843,,"[47.3, 63.7]",3795107,18,,,,,0.82055956,,Left Foot,,,,"[56.9, 74.0]",,Ground Pass,,14.080128,,,Giovanni Di Lorenzo,,,,,,1,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,35,Italy,914,['3ff6dabe-2fa1-4340-905a-fa6a4536c983'],48,,,,,,,,,,,,,,,,Italy,00:18:48.012,Pass,,47.3,63.7,56.9,74.0,,,
,,,,,,,,,,,,,,,,,,1.076388,,,,,,,,,,,,,,6501e44e-2724-400e-b3dd-b4dd74d5c284,846,,"[57.4, 72.7]",3795107,18,,,,,0.53581125,,Left Foot,,,,"[63.8, 76.5]",,Ground Pass,,7.4431176,,,Nicolò Barella,,,,,,1,Regular Play,Giovanni Di Lorenzo,11514.0,Right Back,35,Italy,914,['2280e158-d835-44eb-982f-78cb7f243bda'],52,,,,,,,,,,,,,,,,Italy,00:18:52.504,Pass,,57.4,72.7,63.8,76.5,,,
,,,,,,,,,,,,,,,,,,0.859669,,,,,,,,,,,,,,6b6fec43-ad91-4202-9179-1c0f390af1e7,849,,"[63.6, 75.2]",3795107,18,,,,,0.23737425,,Right Foot,,,,"[76.0, 78.2]",,Ground Pass,,12.757743,,,Federico Chiesa,,,,,,1,Regular Play,Nicolò Barella,8181.0,Right Center Midfield,35,Italy,914,['743cdd22-26ea-43e0-973c-6467386f66ac'],54,,,,,,,,,,,,,,,,Italy,00:18:54.775,Pass,,63.6,75.2,76.0,78.2,,,
,,,,,,,,,,,,,,,,,,1.033486,,,,,,,,,,,,,,c2711b3a-6db1-478e-937f-6559f12feaa1,853,,"[76.0, 76.7]",3795107,18,,,,,3.0135837,,Right Foot,,,,"[65.9, 78.0]",,Ground Pass,,10.18332,,,Nicolò Barella,,,,,,1,Regular Play,Federico Chiesa,7156.0,Right Wing,35,Italy,914,"['777f7856-0bf4-4c25-a4eb-e345920e4eea', 'bf307080-e908-41a5-8631-fcacd00fe231']",56,,,,,,,,,,,,,,,,Italy,00:18:56.388,Pass,True,76.0,76.7,65.9,78.0,,,
,,,,,,,,,,,,,,,,,,1.646315,,,,,,,,,,,,,,fbf4b0d4-4709-4707-bbbe-6173bd852c7c,856,,"[65.3, 77.2]",3795107,18,,,,,-2.0988708,,Right Foot,,,,"[56.9, 62.8]",,Ground Pass,,16.670933,,,Leonardo Bonucci,,,,,,1,Regular Play,Nicolò Barella,8181.0,Right Center Midfield,35,Italy,914,['0fcb6ac1-8f53-482e-bdf7-128c93bf342f'],58,,,,,,,,,,,,,,,,Italy,00:18:58.575,Pass,,65.3,77.2,56.9,62.8,,,
,,,,,,,,,,,,,,,,,,2.44917,,,,,,,,,,,,,,c6cb3d10-2c95-47f9-b99a-99824bf63468,859,,"[55.4, 59.4]",3795107,19,,,,,-1.1802838,,Right Foot,,,,"[77.3, 6.2]",,High Pass,,57.531296,,,Leonardo Spinazzola,,True,,,,1,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,35,Italy,914,['b011747f-6584-4187-b1ce-7fca5f4437f6'],1,,,,,,,,,,,,,,,,Italy,00:19:01.711,Pass,,55.4,59.4,77.3,6.2,,,
,,,,,,,,,,,,,,,,,,0.996607,,,,,,,,,,,,,,26aafc7f-90bb-47dd-8b0c-091300010f71,862,,"[90.3, 16.9]",3795107,19,,,,,0.9926781,,Right Foot,,,,"[99.5, 31.0]",,Ground Pass,,16.835974,,,Ciro Immobile,,,,,,1,Regular Play,Leonardo Spinazzola,8286.0,Left Back,35,Italy,914,['87675452-7eba-4143-8580-4a7ecaddccd1'],9,,,,,,,,,,,,,,,,Italy,00:19:09.286,Pass,,90.3,16.9,99.5,31.0,,,
,,,,,,,,,,,,,,,,,,0.884348,,,,,,,,,,,,,,6b2d3c83-c063-4b24-b1d9-31332ec217b0,866,,"[98.4, 31.6]",3795107,19,,,,,-2.4805496,,Right Foot,,,,"[95.7, 29.5]",,Ground Pass,,3.4205263,,,Lorenzo Insigne,,,,,,1,Regular Play,Ciro Immobile,7788.0,Center Forward,35,Italy,914,"['75ee48e7-5ee0-41e8-a6fa-abacf0613066', 'a6037ffb-2599-4b1b-8f42-189f4dbcab58']",10,,,,,,,,,,,,,,,,Italy,00:19:10.402,Pass,True,98.4,31.6,95.7,29.5,,,
,,,,,,,,,,,,,,,,,,0.419563,,,,,,,,,,,,,,06d70872-25b5-4fa3-95e7-fbad93c245c7,870,,"[96.1, 28.8]",3795107,19,,,,,0.0,,Right Foot,,,,"[103.4, 28.8]",,Ground Pass,,7.3,Incomplete,,Leonardo Spinazzola,,,,,,1,Regular Play,Lorenzo Insigne,7037.0,Left Wing,35,Italy,914,"['30cbba24-999a-4b50-a090-edd2bec8a079', 'f317e2ca-69b3-4237-a9e7-2b72c20e9a8f', 'fcd28a35-c3f1-4df7-a3da-0ce91f8a50b3']",11,,,,,,,,,,,,,,,,Italy,00:19:11.327,Pass,True,96.1,28.8,103.4,28.8,,,
,,,,,,,,,,,,,,,,,,0.889251,,,,,,,,,,,,,,b66d2f3b-fe2a-43fc-8e16-ddd1eee409e4,873,,"[8.4, 54.1]",3795107,19,,,,,-0.08251896,,Right Foot,,,,"[21.7, 53.0]",,Ground Pass,,13.345411,,,Youri Tielemans,,,,,Recovery,1,From Counter,Thomas Meunier,3176.0,Right Wing Back,36,Belgium,782,['c3b1784e-d317-4152-8064-f694033afbaf'],13,,,,,,,,,,,,,,,,Belgium,00:19:13.471,Pass,,8.4,54.1,21.7,53.0,,,
,,,,,,,,,,,,,,,,,,1.563226,,,,,,,,,,,,,,e2acfcf1-0b83-4943-ad84-ef170629c7b3,879,,"[33.9, 51.3]",3795107,19,,True,,,-1.5182133,,Right Foot,,,,"[35.6, 19.0]",,Ground Pass,,32.344707,,,Jan Vertonghen,,,,,Free Kick,1,From Free Kick,Toby Alderweireld,20005.0,Right Center Back,37,Belgium,782,['e967168a-d491-42ea-8887-26ef37c45154'],44,,,,,,,,,,,,,,,,Belgium,00:19:44.707,Pass,,33.9,51.3,35.6,19.0,,,
,,,,,,,,,,,,,,,,,,1.724674,,,,,,,,,,,,,,2148c7d8-8880-4e2b-bac3-3489901ae1f8,881,,"[36.9, 14.7]",3795107,19,,True,,,0.08550529,,Left Foot,,,,"[71.9, 17.7]",,High Pass,,35.128338,,,Romelu Lukaku Menama,,,,,,1,From Free Kick,Jan Vertonghen,3077.0,Left Center Back,37,Belgium,782,['c8382951-9968-4a6c-8789-5d5d0d8d5807'],46,,,,,,,,,,,,,,,,Belgium,00:19:46.706,Pass,,36.9,14.7,71.9,17.7,,,
,,,,,,,,,,,,,,,,,,1.045344,,,,,,,,,,,,,,2e15f8df-95fc-46e6-81ca-20c57a5a6f9d,883,,"[74.9, 19.2]",3795107,19,,,,,1.4190787,,Right Foot,,,,"[78.6, 43.4]",,Ground Pass,,24.481216,Incomplete,,Kevin De Bruyne,,,,,,1,From Free Kick,Romelu Lukaku Menama,3289.0,Center Forward,37,Belgium,782,"['a50d619f-b38e-4970-9be5-2510c8c4bf4d', 'f48d7f7c-6ab0-4802-85ad-67fc66bb98e6']",49,,,,,,,,,,,,,,,,Belgium,00:19:49.347,Pass,,74.9,19.2,78.6,43.4,,,
,,,,,,,,,,,,,,,,,,1.595638,,,,,,,,,,,,,,f48d7f7c-6ab0-4802-85ad-67fc66bb98e6,885,,"[41.5, 36.7]",3795107,19,,,,,1.2248813,,Left Foot,,,,"[48.6, 56.4]",,Ground Pass,,20.940392,,,Nicolò Barella,,,,,Recovery,1,Regular Play,Leonardo Spinazzola,8286.0,Left Back,38,Italy,914,"['2e15f8df-95fc-46e6-81ca-20c57a5a6f9d', '394e2a60-334f-4927-a89d-e90688354e5d']",50,,,,,,,,,,,,,,,,Italy,00:19:50.393,Pass,,41.5,36.7,48.6,56.4,,,
