bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,,,1.715506,,,,,,,,,,,,,c1cfa725-5021-419d-a5f7-1b3e56d2c319,34,,,"[51.8, 15.5]",3794686,0,,,,,1.6469201,,Left Foot,,,"[49.1, 50.9]",,Ground Pass,35.502815,,,,Eric García Martret,,,,,,1,Regular Play,José Luis Gayà Peña,6596.0,Left Back,4,Spain,772,['82938861-dc7c-40e4-b27c-20cd139d656e'],43,,,,,,,,,,,,,,,,,Spain,00:00:43.183,Pass,,51.8,15.5,49.1,50.9,,,
,,,,,,,,,,,,,,,,,,1.378344,,,,,,,,,,,,,2a2221f3-0d2e-46a9-b73e-24e26ca991ee,37,,,"[63.5, 50.7]",3794686,0,,,,,-1.6169175,,Right Foot,,,"[62.6, 31.2]",,Ground Pass,19.520758,,,,Aymeric Laporte,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,4,Spain,772,['5e3204fc-b4da-43e6-92eb-a59be1b8cd2e'],49,,,,,,,,,,,,,,,,,Spain,00:00:49.720,Pass,,63.5,50.7,62.6,31.2,,,
,,,,,,,,,,,,,,,,,,1.620032,,,,,,,,,,,,,405dac50-2596-4309-805e-ce81e38216cb,40,,,"[62.6, 31.2]",3794686,0,,,,,1.3586526,,Left Foot,,,"[66.8, 50.7]",,Ground Pass,19.94718,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,4,Spain,772,['91654506-ae40-47ae-a615-a1a63a6d6d67'],51,,,,,,,,,,,,,,,,,Spain,00:00:51.866,Pass,,62.6,31.2,66.8,50.7,,,
,,,,,,,,,,,,,,,,,,1.960247,,,,,,,,,,,,,e47047dc-d15b-481f-98d7-c769100d82d0,43,,,"[68.5, 60.5]",3794686,0,,,,,-1.7877568,,Right Foot,,,"[64.4, 41.9]",,Ground Pass,19.046522,,,,Eric García Martret,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Spain,772,['757eac4a-fdda-4e87-bcff-1f0a17c17f83'],55,,,,,,,,,,,,,,,,,Spain,00:00:55.562,Pass,,68.5,60.5,64.4,41.9,,,
,,,,,,,,,,,,,,,,,,0.878602,,,,,,,,,,,,,24339cf1-c492-4e9d-8a56-26f1025bdec8,46,,,"[64.4, 41.9]",3794686,0,,,,,-1.5707964,,Right Foot,,,"[64.4, 32.6]",,Ground Pass,9.3,,,,Aymeric Laporte,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,4,Spain,772,['8bd2f30c-0406-4d7a-8523-4780a5399d04'],58,,,,,,,,,,,,,,,,,Spain,00:00:58.099,Pass,,64.4,41.9,64.4,32.6,,,
,,,,,,,,,,,,,,,,,,0.772634,,,,,,,,,,,,,ca7f8a67-7f9e-42c9-9008-dc5a9258b6d5,49,,,"[68.5, 30.1]",3794686,1,,,,,-0.4595154,,Left Foot,,,"[78.2, 25.3]",,Ground Pass,10.822661,,,,Pedro González López,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,4,Spain,772,['f9180919-a519-4e57-beb5-22db80efc78b'],1,,,,,,,,,,,,,,,,,Spain,00:01:01.494,Pass,,68.5,30.1,78.2,25.3,,,
,,,,,,,,,,,,,,,,,,1.326461,,,,,,,,,,,,,0e4107cd-d5f2-4941-beca-260d856773a0,51,,,"[78.2, 25.3]",3794686,1,,,,,2.987274,,Right Foot,,,"[69.2, 26.7]",,Ground Pass,9.108238,,,,Aymeric Laporte,,,,,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,4,Spain,772,['cb990626-3426-4e8e-a670-df8c908ac205'],2,,,,,,,,,,,,,,,,,Spain,00:01:02.267,Pass,,78.2,25.3,69.2,26.7,,,
,,,,,,,,,,,,,,,,,,0.586695,,,,,,,,,,,,,ad3b95c7-2d37-4a03-a20e-3404d7007907,55,,,"[71.0, 26.7]",3794686,1,,,,,1.360968,,Left Foot,,,"[73.3, 37.5]",,Ground Pass,11.0421915,,,,Jorge Resurrección Merodio,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Left Center Back,4,Spain,772,"['ad744e41-ce43-4cda-a4f4-ed8d30e967ce', 'c0255bb4-706a-40f7-8b5d-4f50455d43f3']",4,,,,,,,,,,,,,,,,,Spain,00:01:04.591,Pass,True,71.0,26.7,73.3,37.5,,,
,,,,,,,,,,,,,,,,,,1.289641,,,,,,,,,,,,,603d072c-9e57-4342-b042-48319c4653ac,57,,,"[73.3, 37.5]",3794686,1,,,,,3.0045264,,Right Foot,,,"[61.7, 39.1]",,Ground Pass,11.709825,,,,Eric García Martret,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,4,Spain,772,['b5276aa0-0e76-40ef-a8c9-13bfb4c45030'],5,,,,,,,,,,,,,,,,,Spain,00:01:05.178,Pass,,73.3,37.5,61.7,39.1,,,
,,,,,,,,,,,,,,,,,,0.676511,,,,,,,,,,,,,10596480-5e5c-4a17-a26e-4e5a7c1d49c9,60,,,"[66.4, 39.9]",3794686,1,,,,,0.9936041,,Right Foot,,,"[69.2, 44.2]",,Ground Pass,5.1312766,,,,Jorge Resurrección Merodio,,,,,,1,Regular Play,Eric García Martret,31953.0,Right Center Back,4,Spain,772,['d4fca701-6db1-4e6e-b1b9-3cbd9f618012'],11,,,,,,,,,,,,,,,,,Spain,00:01:11.034,Pass,,66.4,39.9,69.2,44.2,,,
