bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,2.26796,,,,,,,,,,,,,,,f8b3e506-dbb2-4703-b85f-9ca96938f2dd,67,,,"[35.3, 22.2]",3788755,0,,,,,2.0763137,,Right Foot,,,"[23.4, 43.7]",,Ground Pass,,24.573563,,,Chris Mepham,,,,,,,1,Regular Play,Joe Allen,10931.0,Center Defensive Midfield,4,Wales,907,"['1c8a2006-ac2e-4350-8aec-72a1ebc4b652', 'e5841cfe-d4a5-4630-8fc2-ef26e84da6ba']",52,,,,,,,,,,,,,,,,Wales,00:00:52.153,Pass,True,35.3,22.2,23.4,43.7,,,
,,,,,,,,,,,,,,,1.666665,,,,,,,,,,,,,,,81003172-c5ea-4f9d-acf8-196e399940be,70,,,"[21.6, 46.7]",3788755,0,,,,,1.378544,,Right Foot,,,"[26.7, 72.9]",,Ground Pass,,26.69176,,,Connor Roberts,,,,,,,1,Regular Play,Chris Mepham,4767.0,Right Center Back,4,Wales,907,"['3c2482d8-0460-437e-ad73-ca3b85cc0899', '8fb77d03-5482-41c5-9357-d9673c957c8e']",54,,,,,,,,,,,,,,,,Wales,00:00:54.421,Pass,True,21.6,46.7,26.7,72.9,,,
,,,,,,,,,,,,,,,1.551037,,,,,,,,,,,,,,,e5d8823b-a88f-4dca-8247-06b4d2661a82,73,,,"[28.1, 75.1]",3788755,0,,,,,-2.4610715,,Right Foot,,,"[15.5, 64.9]",,Ground Pass,,16.211107,,,Chris Mepham,,,,,,,1,Regular Play,Connor Roberts,4774.0,Right Back,4,Wales,907,['17231c79-0a36-4f37-956b-50c18e3ed700'],59,,,,,,,,,,,,,,,,Wales,00:00:59.175,Pass,,28.1,75.1,15.5,64.9,,,
,,,,,,,,,,,,,,,2.96169,,,,,,,,,,,,,,,d2505ac0-f2df-44ac-b3fe-611eb6f6da96,77,,,"[16.0, 68.8]",3788755,1,,,,,-0.3427685,,Right Foot,,,"[65.6, 51.1]",,High Pass,,52.663555,,,Aaron Ramsey,,,,,,,1,Regular Play,Chris Mepham,4767.0,Right Center Back,4,Wales,907,"['0ac678e9-5d31-4b22-9776-bc6237ac9be4', '7180d90e-7516-4c3a-b483-4f064f9ec579']",2,,,,,,,,,,,,,,,,Wales,00:01:02.041,Pass,True,16.0,68.8,65.6,51.1,,,
,,,,,,,,,,,,,,,1.046604,,,,,,,,,,,,,,,b938e9b0-b0cf-4a67-95a3-c7cae8acc7be,79,,,"[65.6, 51.1]",3788755,1,,,,,-0.309093,,Head,,,"[77.5, 47.3]",,Low Pass,,12.491998,Incomplete,,Kieffer Roberto Francisco Moore,,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Left Center Midfield,4,Wales,907,"['588155be-9141-43be-abf7-a7fb35ce37b1', '9077ef0b-e2fe-44ca-9bf4-2bad40376461']",5,,,,,,,,,,,,,,,,Wales,00:01:05.002,Pass,,65.6,51.1,77.5,47.3,,,
,,,,,,,,,,,,,,,2.308353,,,,,,,,,,,,,,,3a646b7b-d8bd-41d9-85ca-28009ab13aae,83,,,"[40.8, 29.3]",3788755,1,,,,,-1.5475447,,Right Foot,,,"[41.3, 7.8]",,Ground Pass,,21.505814,,,Cengiz Umut Meraş,,,,,,,1,Regular Play,Kaan Ayhan,12293.0,Right Center Back,5,Turkey,909,['2b66e173-7b52-4447-9bb2-4f3a538d74b9'],7,,,,,,,,,,,,,,,,Turkey,00:01:07.025,Pass,,40.8,29.3,41.3,7.8,,,
,,,,,,,,,,,,,,,0.860035,,,,,,,,,,,,,,,86dac8dd-6e61-4479-8dda-3844b75c9cca,86,,,"[39.1, 7.2]",3788755,1,,,,,1.4442042,,Left Foot,,,"[40.5, 18.2]",,Ground Pass,,11.088733,,,Hakan Çalhanoğlu,,,,,,,1,Regular Play,Cengiz Umut Meraş,31042.0,Left Back,5,Turkey,909,['45cd36ea-a3a3-44c1-9ff9-a5bab1ac7f46'],10,,,,,,,,,,,,,,,,Turkey,00:01:10.136,Pass,,39.1,7.2,40.5,18.2,,,
,,,,,,,,,,,,,,,1.973797,,,,,,,,,,,,,,,00042e8e-efa8-4387-a1a9-372e01be470c,90,,,"[39.3, 22.3]",3788755,1,,,,,1.8860714,,Right Foot,,,"[28.7, 54.8]",,Ground Pass,,34.184937,,,Kaan Ayhan,,,,,,,1,Regular Play,Hakan Çalhanoğlu,7039.0,Left Center Midfield,5,Turkey,909,"['629db27d-36a6-4e1f-9193-39c60d9a24bf', 'b02453f9-5dbf-4953-bcfd-5c1e43858742']",15,,,,,,,,,,,,,,,,Turkey,00:01:15.182,Pass,True,39.3,22.3,28.7,54.8,,,
,,,,,,,,,,,,,,,1.471318,,,,,,,,,,,,,,,23d31984-abab-4a74-993e-1c8aa59e1189,93,,,"[33.6, 57.1]",3788755,1,,,,,1.1484097,,Right Foot,,,"[41.6, 74.9]",,Ground Pass,,19.515121,,,Mehmet Zeki Çelik,,,,,,,1,Regular Play,Kaan Ayhan,12293.0,Right Center Back,5,Turkey,909,['fe9c4002-7d20-4af9-b807-eb9e99901684'],18,,,,,,,,,,,,,,,,Turkey,00:01:18.987,Pass,,33.6,57.1,41.6,74.9,,,
,,,,,,,,,,,,,,,1.362885,,,,,,,,,,,,,,,d168f1fd-56e7-4a15-a8ab-853f8748231c,96,,,"[41.6, 74.9]",3788755,1,,,,,-0.1101514,,Right Foot,,,"[63.3, 72.5]",,Ground Pass,,21.832315,,,Cengiz Ünder,,,,,,,1,Regular Play,Mehmet Zeki Çelik,10349.0,Right Back,5,Turkey,909,['53aa992b-2299-4be9-b8b3-d7806cea6637'],21,,,,,,,,,,,,,,,,Turkey,00:01:21.564,Pass,,41.6,74.9,63.3,72.5,,,
,,,,,,,,,,,,,,,2.544405,,,,,,,,,,,,,,,b9c55895-60c6-4be2-895d-f76d0ced769a,99,,,"[63.3, 72.5]",3788755,1,,,,,-1.0573481,,Left Foot,,,"[91.1, 23.2]",,High Pass,,56.59797,Incomplete,,Burak Yılmaz,,,True,,,,1,Regular Play,Cengiz Ünder,6971.0,Right Midfield,5,Turkey,909,"['5a1a9f0c-88f8-47de-b685-4681b00df9af', '96fd6341-7b35-47ad-9756-285a1ae65dc9']",24,,,,,,,,,,,,,,,,Turkey,00:01:24.457,Pass,,63.3,72.5,91.1,23.2,,,
,,,,,,,,,,,True,,,,2.790187,,,,,,,,,,,,,,,96fd6341-7b35-47ad-9756-285a1ae65dc9,101,,,"[29.0, 56.9]",3788755,1,,,,,-2.6779451,,Head,,,"[8.0, 46.4]",,High Pass,,23.478714,,,Danny Ward,,,,,,Interception,1,Regular Play,Connor Roberts,4774.0,Right Back,6,Wales,907,"['5d767b2d-2143-4e05-8800-c98a20227891', 'b9c55895-60c6-4be2-895d-f76d0ced769a']",27,,,,,,,,,,,,,,,,Wales,00:01:27.001,Pass,,29.0,56.9,8.0,46.4,,,
,,,,,,,,,,,,,,,1.514306,,,,,,,,,,,,,,,ed1cba36-0ffb-46da-9243-eb894c06afc6,104,,,"[11.0, 37.7]",3788755,1,,,,,-0.62740403,,Right Foot,,,"[28.1, 25.3]",,Ground Pass,,21.122736,,,Joe Allen,,,,,,,1,Regular Play,Danny Ward,9914.0,Goalkeeper,6,Wales,907,['74ad35b0-6d00-4424-b22c-350ee3380cbc'],31,,,,,,,,,,,,,,,,Wales,00:01:31.891,Pass,,11.0,37.7,28.1,25.3,,,
,,,,,,,,,,,,,,,1.305042,,,,,,,,,,,,,,,e947d651-5774-47e8-8209-def5177b2ccf,107,,,"[32.3, 23.3]",3788755,1,,,,,-0.46706057,,Right Foot,,,"[55.7, 11.5]",,Ground Pass,,26.20687,,,Aaron Ramsey,,,,,,,1,Regular Play,Joe Allen,10931.0,Center Defensive Midfield,6,Wales,907,['35e46f71-9d13-4450-bbe7-c0cee06c32c6'],34,,,,,,,,,,,,,,,,Wales,00:01:34.946,Pass,,32.3,23.3,55.7,11.5,,,
,,,,,,,,,,,,,,,0.599939,,,,,,,,,,,,,,,fe38f744-54c8-43e9-93b2-2ccfc073ebc7,115,,,"[60.1, 24.2]",3788755,1,,,,,1.7138796,,Right Foot,,,"[58.4, 36.0]",,Ground Pass,,11.921828,,,Joe Allen,,,,,,Free Kick,1,From Free Kick,Aaron Ramsey,3517.0,Left Center Midfield,7,Wales,907,['53c8fb00-7fa4-4ea5-a009-4a4bafe138e1'],52,,,,,,,,,,,,,,,,Wales,00:01:52.274,Pass,,60.1,24.2,58.4,36.0,,,
