50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,,,1.146763,,,,,,,,,,,7b40183c-5036-4b00-abd0-916f830f9607,1282,,"[53.9, 53.6]",3794688,32,,,,,0.5375866,,Left Foot,,,,"[69.5, 62.9]",,Ground Pass,,18.161774,,,,,Bukayo Saka,,,,,,1,Regular Play,John Stones,3244.0,Center Back,91,England,768,['342453e2-ff1f-41f4-aaee-c38ea98a5d8b'],57,,,,,,,,,,,,,,,,England,00:32:57.227,Pass,,53.9,53.6,69.5,62.9,,,
,,,,,,,,,,,,,,,,1.11505,,,,,,,,,,,722ad6d1-365e-4c92-bc3e-89a4524c269b,1285,,"[69.5, 62.9]",3794688,32,,,,,1.8551811,,Right Foot,,,,"[65.7, 75.9]",,Ground Pass,,13.544003,,,,,Kyle Walker,,,,,,1,Regular Play,Bukayo Saka,22084.0,Right Wing,92,England,768,['dc4b5b9a-7a3b-4415-908f-12872b05e845'],58,,,,,,,,,,,,,,,,England,00:32:58.534,Pass,,69.5,62.9,65.7,75.9,,,
,,,,,,,,,,,,,,,,2.086852,,,,,,,,,,,3cc9d4f2-3d2c-4a19-ac73-ea9b9ca8c148,1288,,"[65.7, 75.9]",3794688,32,,,,,-1.5120405,,Right Foot,,,,"[66.2, 67.4]",,Ground Pass,,8.514693,,,,,Kalvin Phillips,,,,,,1,Regular Play,Kyle Walker,3205.0,Right Center Back,93,England,768,['2c20ed7b-03ed-48dd-be5d-57999cc5ea91'],59,,,,,,,,,,,,,,,,England,00:32:59.689,Pass,,65.7,75.9,66.2,67.4,,,
,,,,,,,,,,,,,,,,2.555224,,,,,,,,,,,bfc48c82-c1c5-4208-9b65-a9ce41dc2106,1291,,"[71.8, 65.3]",3794688,33,,,,,-0.39732435,,Right Foot,,,,"[105.4, 51.2]",,High Pass,,36.43858,,,Incomplete,,Harry Kane,,,,,,1,Regular Play,Kalvin Phillips,4706.0,Right Defensive Midfield,94,England,768,"['1b59f391-0391-4233-939a-6965ea2d080d', '2a6ac0ef-b47c-48b9-82d4-35f44abd468b']",3,,,,,,,,,,,,,,,,England,00:33:03.896,Pass,,71.8,65.3,105.4,51.2,,,
,,,,,,,,,,,,,,,,1.066006,,,,,,,,,,,2a6ac0ef-b47c-48b9-82d4-35f44abd468b,1293,,"[14.7, 28.9]",3794688,33,,,,,-0.43240777,,Head,,,,"[23.8, 24.7]",,Low Pass,,10.022474,,,,,Leon Goretzka,,,,,Recovery,1,Regular Play,Mats Hummels,5572.0,Center Back,95,Germany,770,"['53c09815-4bcd-43fb-9839-8b30ff6268ad', 'bfc48c82-c1c5-4208-9b65-a9ce41dc2106']",6,,,,,,,,,,,,,,,,Germany,00:33:06.451,Pass,,14.7,28.9,23.8,24.7,,,
,,,,,,,,,,,,,,,,1.770584,,,,,,,,,,,7387c625-6ae8-44b6-b717-24c15cffbe82,1296,,"[20.6, 32.0]",3794688,33,,,,,2.2516816,,Right Foot,,,,"[7.8, 47.8]",,Ground Pass,,20.334208,,,,,Matthias Ginter,,,,,,1,Regular Play,Leon Goretzka,6324.0,Left Defensive Midfield,95,Germany,770,['67ea4256-2e24-4f90-b524-ff00c4779977'],8,,,,,,,,,,,,,,,,Germany,00:33:08.297,Pass,,20.6,32.0,7.8,47.8,,,
,,,,,,,,,,,,,,,,2.540761,,,,,,,,,,,24ce3556-bf9e-4673-b6f8-c8c5bdf464e7,1299,,"[8.5, 54.3]",3794688,33,,,,,-0.5528749,,Right Foot,,,,"[54.2, 26.1]",,High Pass,,53.70037,,,,,Timo Werner,,,,,,1,Regular Play,Matthias Ginter,8808.0,Right Center Back,95,Germany,770,['4b703f6f-1324-4eec-b665-fac38c08ad46'],12,,,,,,,,,,,,,,,,Germany,00:33:12.353,Pass,,8.5,54.3,54.2,26.1,,,
,,,,,,,,,,,,,,,,0.821243,,,,,,,,,,,99919dea-9726-4ae3-8fb3-011c4a9af837,1301,,"[54.2, 26.1]",3794688,33,,,,,1.1751068,,Right Foot,,,,"[57.5, 34.0]",,Ground Pass,,8.561542,,,,,Thomas Müller,,,,,,1,Regular Play,Timo Werner,5557.0,Center Forward,95,Germany,770,['0ee06baf-a318-4a98-af22-0e73463c0517'],14,,,,,,,,,,,,,,,,Germany,00:33:14.894,Pass,,54.2,26.1,57.5,34.0,,,
,,,,,,,,,,,,,,,,1.21797,,,,,,,,,,,734d123b-f6fb-4c61-acf7-922e4ef864f5,1303,,"[57.5, 34.0]",3794688,33,,,,,-1.7588317,,Right Foot,,,,"[52.8, 9.3]",,Ground Pass,,25.14319,,,,,Robin Gosens,,,,,,1,Regular Play,Thomas Müller,5562.0,Left Wing,95,Germany,770,['03e6e6e1-28c6-453d-beec-e478f41e3a0a'],15,,,,,,,,,,,,,,,,Germany,00:33:15.715,Pass,,57.5,34.0,52.8,9.3,,,
,,,,,,,,,,,,,,,,0.982726,,,,,,,,,,,4dcff5fe-be06-4da5-a629-ee4f7ca8ac44,1306,,"[47.3, 3.8]",3794688,33,,,,,1.2426764,,Left Foot,,,,"[48.9, 8.5]",,Ground Pass,,4.9648767,,,,,Toni Kroos,,,,,,1,Regular Play,Robin Gosens,6985.0,Left Wing Back,95,Germany,770,['ad5cfa83-2388-42f9-8b63-1dac8027861d'],19,,,,,,,,,,,,,,,,Germany,00:33:19.943,Pass,,47.3,3.8,48.9,8.5,,,
