ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure,location_x,location_y,pass_end_location_x,pass_end_location_y,shot_end_location_x,shot_end_location_y,shot_end_location_z
,,,,,,,,,,,,,,1.55396,,,,,,,,,,,,d5f00734-5b09-4463-84ae-9a5d8594e0b8,48,,"[47.3, 34.4]",3788766,1,,,,,-1.7026794,,Right Foot,,,"[44.7, 14.8]",,Ground Pass,,19.771696,,,Emerson Palmieri dos Santos,,,,,,1,Regular Play,Marco Verratti,3166.0,Left Center Midfield,4,Italy,914,['9aa028ac-8548-427e-bf9e-e5a65b451906'],25,,,,,,,,,,,,,,,Italy,00:01:25.882,Pass,,47.3,34.4,44.7,14.8,,,
,,,,,,,,,,,,,,1.279862,,,,,,,,,,,,a3edd07b-ed42-4025-b22f-ef322a434cc9,51,,"[46.1, 14.8]",3788766,1,,,,,2.3729997,,Left Foot,,,"[34.0, 26.5]",,Ground Pass,,16.831518,,,Alessandro Bastoni,,,,,,1,Regular Play,Emerson Palmieri dos Santos,4355.0,Left Back,4,Italy,914,['2891218b-3186-4898-98d8-de5df0742726'],27,,,,,,,,,,,,,,,Italy,00:01:27.918,Pass,,46.1,14.8,34.0,26.5,,,
,,,,,,,,,,,,,,0.989813,,,,,,,,,,,,c2149e49-abe3-40db-8c46-39938e17a8c4,54,,"[36.5, 26.5]",3788766,1,,,,,1.6020361,,Left Foot,,,"[36.0, 42.5]",,Ground Pass,,16.00781,,,Leonardo Bonucci,,,,,,1,Regular Play,Alessandro Bastoni,7480.0,Left Center Back,4,Italy,914,['a498d10e-c57e-45e0-a77b-9e9601a18f22'],29,,,,,,,,,,,,,,,Italy,00:01:29.998,Pass,,36.5,26.5,36.0,42.5,,,
,,,,,,,,,,,,,,2.182098,,,,,,,,,,,,33f9944f-bc23-44da-bdc1-2bba74567aea,57,,"[42.0, 41.0]",3788766,1,,,,,-1.2772676,,Right Foot,,,"[52.7, 5.6]",,Low Pass,,36.98175,,,Emerson Palmieri dos Santos,,,,,,1,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,4,Italy,914,['88a21a10-33f0-468f-a69e-36e7e88438a9'],33,,,,,,,,,,,,,,,Italy,00:01:33.451,Pass,,42.0,41.0,52.7,5.6,,,
,,,,,,,,,,,,,,1.380483,,,,,,,,,,,,610451dd-1098-497b-8503-b3599ca95609,60,,"[59.4, 5.5]",3788766,1,,,,,2.137126,,Left Foot,,,"[49.1, 21.7]",,Ground Pass,,19.197136,,,Alessandro Bastoni,,,,,,1,Regular Play,Emerson Palmieri dos Santos,4355.0,Left Back,4,Italy,914,['cb3f327f-23d3-4d11-ab0e-23f818add4e6'],39,,,,,,,,,,,,,,,Italy,00:01:39.073,Pass,,59.4,5.5,49.1,21.7,,,
,,,,,,,,,,,,,,1.440042,,,,,,,,,,,,0a297e24-d4b5-4c3a-b4b7-e75442d2c39d,63,,"[49.7, 20.7]",3788766,1,,,,,1.7259635,,Right Foot,,,"[46.9, 38.6]",,Ground Pass,,18.11767,,,Leonardo Bonucci,,,,,,1,Regular Play,Alessandro Bastoni,7480.0,Left Center Back,4,Italy,914,['c1cf959a-e955-4830-b422-43a982d81f3e'],41,,,,,,,,,,,,,,,Italy,00:01:41.569,Pass,,49.7,20.7,46.9,38.6,,,
,,,,,,,,,,,,,,1.952624,,,,,,,,,,,,89372e5f-06df-49b9-b40a-d16ed153df0f,66,,"[51.6, 39.9]",3788766,1,,,,,-1.2196658,,Right Foot,,,"[65.3, 2.5]",,Low Pass,,39.830265,,,Emerson Palmieri dos Santos,,,,,,1,Regular Play,Leonardo Bonucci,7173.0,Right Center Back,4,Italy,914,['a0721761-8d44-4844-8eab-8ccb616bae11'],44,,,,,,,,,,,,,,,Italy,00:01:44.007,Pass,,51.6,39.9,65.3,2.5,,,
,,,,,,,,,,,,,,0.85579,,,,,,,,,,,,74b68148-d5b6-4cce-8ded-d74bc8b13a6d,69,,"[68.5, 4.4]",3788766,1,,,,,1.2106032,,Left Foot,,,"[71.4, 12.1]",,Ground Pass,,8.228001,,,Marco Verratti,,,,,,1,Regular Play,Emerson Palmieri dos Santos,4355.0,Left Back,4,Italy,914,['f559fd23-8abe-49c2-91b3-72dd8a0864ba'],49,,,,,,,,,,,,,,,Italy,00:01:49.061,Pass,,68.5,4.4,71.4,12.1,,,
,,,,,,,,,,,,,,1.00315,,,,,,,,,,,,723e4c16-c544-49b8-9bf3-5cf29e1df3df,71,,"[70.3, 11.3]",3788766,1,,,,,-1.9878455,,Right Foot,,,"[66.8, 3.4]",,Ground Pass,,8.640602,,,Emerson Palmieri dos Santos,,,,,,1,Regular Play,Marco Verratti,3166.0,Left Center Midfield,4,Italy,914,['b2488c4a-523c-4ec0-8e6c-a1185b178f07'],49,,,,,,,,,,,,,,,Italy,00:01:49.917,Pass,,70.3,11.3,66.8,3.4,,,
,,,,,,,,,,,,,,0.754232,,,,,,,,,,,,47a641bf-0b20-4206-ba51-d1cbf003417a,73,,"[67.3, 3.9]",3788766,1,,,,,2.64517,,Left Foot,,,"[57.7, 9.1]",,Ground Pass,,10.917875,,,Alessandro Bastoni,,,,,,1,Regular Play,Emerson Palmieri dos Santos,4355.0,Left Back,4,Italy,914,['aead598b-f45f-472d-bf80-1fdd532007f4'],50,,,,,,,,,,,,,,,Italy,00:01:50.920,Pass,,67.3,3.9,57.7,9.1,,,
